code_nat,d_code_nat,text_nat,d_text_nat,code_plus,d_code_plus,text_plus,d_text_plus,ast,country
+A4402,,"Fine motor skills of hand, moderate activity limitation",,+A4402,,"Fine motor skills of hand, moderate activity limitation",,N,den
+A4403,,"Fine motor skills of hand, severe activity limitation",,+A4403,,"Fine motor skills of hand, severe activity limitation",,N,den
+A4404,,"Fine motor skills of hand, total activity limitation",,+A4404,,"Fine motor skills of hand, total activity limitation",,N,den
+A4500,,Walking independently,,+A4500,,Walking independently,,N,den
+A4501,,Walking modified independently,,+A4501,,Walking modified independently,,N,den
+A4502,,Walking with mild to moderate dependency,,+A4502,,Walking with mild to moderate dependency,,N,den
+A4503,,Walking with severe dependency,,+A4503,,Walking with severe dependency,,N,den
+A4504,,Walking with total dependency,,+A4504,,Walking with total dependency,,N,den
+A45A0,,Walking short distance independently,,+A45A0,,Walking short distance independently,,N,den
+A45A1,,Walking short distance modified independently,,+A45A1,,Walking short distance modified independently,,N,den
+A45A2,,Walking short distance with moderate dependency,,+A45A2,,Walking short distance with moderate dependency,,N,den
+A45A3,,Walking short distance with severe dependency,,+A45A3,,Walking short distance with severe dependency,,N,den
+A45A4,,Walking short distance with total dependency,,+A45A4,,Walking short distance with total dependency,,N,den
+A4650,,Moving around using equipment independently,,+A4650,,Moving around using equipment independently,,N,den
+A4651,,Moving around using equipment modified independently,,+A4651,,Moving around using equipment modified independently,,N,den
+A4652,,Moving around using equipment with mild to moderate dependency,,+A4652,,Moving around using equipment with mild to moderate dependency,,N,den
+A4653,,Moving around using equipment with severe dependency,,+A4653,,Moving around using equipment with severe dependency,,N,den
+A4654,,Moving around using equipment with total dependency,,+A4654,,Moving around using equipment with total dependency,,N,den
+A5100,,Wash oneself independently,,+A5100,,Wash oneself independently,,N,den
+A5101,,Wash oneself modified independently,,+A5101,,Wash oneself modified independently,,N,den
+A5102,,Wash oneself with mild to moderate dependency,,+A5102,,Wash oneself with mild to moderate dependency,,N,den
+A5103,,Wash oneself with severe dependency,,+A5103,,Wash oneself with severe dependency,,N,den
+A5104,,Wash oneself with total dependency,,+A5104,,Wash oneself with total dependency,,N,den
+A5200,,Caring for body parts indipendently,,+A5200,,Caring for body parts indipendently,,N,den
+A5201,,Caring for body parts modified independently,,+A5201,,Caring for body parts modified independently,,N,den
+A5202,,Caring for body parts with mild to moderate dependency,,+A5202,,Caring for body parts with mild to moderate dependency,,N,den
+A5203,,Caring for body parts with severe dependency,,+A5203,,Caring for body parts with severe dependency,,N,den
+A5204,,Caring for body parts with total dependency,,+A5204,,Caring for body parts with total dependency,,N,den
+A5250,,Defecation functions without impairment,,+A5250,,Defecation functions without impairment,,N,den
+A5251,,Defecation functions with mild impairment,,+A5251,,Defecation functions with mild impairment,,N,den
+A5252,,Defecation functions with moderate impairment,,+A5252,,Defecation functions with moderate impairment,,N,den
+A5253,,Defecation functions with severe impairment,,+A5253,,Defecation functions with severe impairment,,N,den
+A5254,,Defecation functions with complete impairment,,+A5254,,Defecation functions with complete impairment,,N,den
+A5300,,Toileting indipendently,,+A5300,,Toileting indipendently,,N,den
+A5301,,Toileting modified independently,,+A5301,,Toileting modified independently,,N,den
+A5302,,Toileting with mild to moderate dependency,,+A5302,,Toileting with mild to moderate dependency,,N,den
+A5303,,Toileting with severe dependency,,+A5303,,Toileting with severe dependency,,N,den
+A5304,,Toileting with total dependency,,+A5304,,Toileting with total dependency,,N,den
+A53A0,,Controll of urination independently,,+A53A0,,Controll of urination independently,,N,den
+A53A1,,Controll of urination modified independently,,+A53A1,,Controll of urination modified independently,,N,den
+A53A2,,Controll of urination with mild to moderate dependency,,+A53A2,,Controll of urination with mild to moderate dependency,,N,den
+A53A3,,Controll of urination with severe dependency,,+A53A3,,Controll of urination with severe dependency,,N,den
+A53A4,,Controll of urination with total dependency,,+A53A4,,Controll of urination with total dependency,,N,den
+A53B0,,Controll of defecation independently,,+A53B0,,Controll of defecation independently,,N,den
+A53B1,,Controll of defecation modified independently,,+A53B1,,Controll of defecation modified independently,,N,den
+A53B2,,Controll of defecation with moderate dependency,,+A53B2,,Controll of defecation with moderate dependency,,N,den
+A53B3,,Controll of defecation with severe dependency,,+A53B3,,Controll of defecation with severe dependency,,N,den
+A53B4,,Controll of defecation with total dependency,,+A53B4,,Controll of defecation with total dependency,,N,den
+A5400,,Putting on clothes independently,,+A5400,,Putting on clothes independently,,N,den
+A5401,,Putting on clothes modified independently,,+A5401,,Putting on clothes modified independently,,N,den
+A5402,,Putting on clothes with mild to moderate dependency,,+A5402,,Putting on clothes with mild to moderate dependency,,N,den
+A5403,,Putting on clothes with severe dependency,,+A5403,,Putting on clothes with severe dependency,,N,den
+A5404,,Putting on clothes with total dependency,,+A5404,,Putting on clothes with total dependency,,N,den
+A5500,,Eating independently,,+A5500,,Eating independently,,N,den
+A5501,,Eating with modified independency,,+A5501,,Eating with modified independency,,N,den
+A5502,,Eating with mild to moderate dependency,,+A5502,,Eating with mild to moderate dependency,,N,den
+A5503,,Eating with severe dependency,,+A5503,,Eating with severe dependency,,N,den
+A5504,,Eating with total dependency,,+A5504,,Eating with total dependency,,N,den
+A5600,,Drinking independently,,+A5600,,Drinking independently,,N,den
+A5601,,Drinking with modified independency,,+A5601,,Drinking with modified independency,,N,den
+A5602,,Drinking with mild to moderate dependency,,+A5602,,Drinking with mild to moderate dependency,,N,den
+A5603,,Drinking with severe dependency,,+A5603,,Drinking with severe dependency,,N,den
+A5604,,Drinking with total dependency,,+A5604,,Drinking with total dependency,,N,den
+B1140,,Orientation independently,,+B1140,,Orientation independently,,N,den
+B1141,,Orientation modified independently,,+B1141,,Orientation modified independently,,N,den
+B1142,,Orientation with moderate dependency,,+B1142,,Orientation with moderate dependency,,N,den
+B1143,,Orientation with severe dependency,,+B1143,,Orientation with severe dependency,,N,den
+B1144,,Orientation with total dependency,,+B1144,,Orientation with total dependency,,N,den
+B1440,,"Memory, no activity limitation",,+B1440,,"Memory, no activity limitation",,N,den
+B1441,,"Memory, mild activity limitation",,+B1441,,"Memory, mild activity limitation",,N,den
+B1442,,"Memory, moderate activity limitation",,+B1442,,"Memory, moderate activity limitation",,N,den
+B1443,,"Memory, severe activity limitation",,+B1443,,"Memory, severe activity limitation",,N,den
+B1444,,"Memory, total activity limitation",,+B1444,,"Memory, total activity limitation",,N,den
+B1640,,"Higher cognitive functions, no activity limitation",,+B1640,,"Higher cognitive functions, no activity limitation",,N,den
+B1641,,"Higher cognitive functions, mild activity limitation",,+B1641,,"Higher cognitive functions, mild activity limitation",,N,den
+B1642,,"Higher cognitive functions, moderate activity limitation",,+B1642,,"Higher cognitive functions, moderate activity limitation",,N,den
+B1643,,"Higher cognitive functions, severe activity limitation",,+B1643,,"Higher cognitive functions, severe activity limitation",,N,den
+B1644,,"Higher cognitive functions, total activity limitation",,+B1644,,"Higher cognitive functions, total activity limitation",,N,den
+B6200,,Urination independently,,+B6200,,Urination independently,,N,den
+B6201,,Urination with modified independency,,+B6201,,Urination with modified independency,,N,den
+B6202,,Urination with mild to moderate dependency,,+B6202,,Urination with mild to moderate dependency,,N,den
+B6203,,Urination with severe dependency,,+B6203,,Urination with severe dependency,,N,den
+B6204,,Urination with total dependency,,+B6204,,Urination with total dependency,,N,den
+P7100,,"Basic interpersonal interactions, no activity limitation",,+P7100,,"Basic interpersonal interactions, no activity limitation",,N,den
+P7101,,"Basic interpersonal interactions, mild activity limitation",,+P7101,,"Basic interpersonal interactions, mild activity limitation",,N,den
+P7102,,"Basic interpersonal interactions, moderate activity limitation",,+P7102,,"Basic interpersonal interactions, moderate activity limitation",,N,den
+P7103,,"Basic interpersonal interactions, severe activity limitation",,+P7103,,"Basic interpersonal interactions, severe activity limitation",,N,den
+P7104,,"Basic interpersonal interactions, total activity limitation",,+P7104,,"Basic interpersonal interactions, total activity limitation",,N,den
+P7990,,Interpersonal interactions and relationships independently,,+P7990,,Interpersonal interactions and relationships independently,,N,den
+P7991,,Interpersonal interactions and relationships modified independent,,+P7991,,Interpersonal interactions and relationships modified independent,,N,den
+P7992,,Interpersonal interactions and relationships with mild to moderat,,+P7992,,Interpersonal interactions and relationships with mild to moderat,,N,den
+P7993,,Interpersonal interactions and relationships with severe dependen,,+P7993,,Interpersonal interactions and relationships with severe dependen,,N,den
+P7994,,Interpersonal interactions or relationships with total dependency,,+P7994,,Interpersonal interactions or relationships with total dependency,,N,den
A000,,"Cholera due to Vibrio cholerae 01, biovar cholerae",,A0000,,"Cholera due to Vibrio cholerae 01, biovar cholerae",,,den
A001,,"Cholera due to Vibrio cholerae 01, biovar eltor",,A0010,,"Cholera due to Vibrio cholerae 01, biovar eltor",,,den
A009,,"Cholera, unspecified",,A0090,,"Cholera, unspecified",,,den
A010,,Typhoid fever,,A0100,,Typhoid fever,,,den
A011,,Paratyphoid fever A,,A0110,,Paratyphoid fever A,,,den
A012,,Paratyphoid fever B,,A0120,,Paratyphoid fever B,,,den
A013,,Paratyphoid fever C,,A0130,,Paratyphoid fever C,,,den
A014,,"Paratyphoid fever, unspecified",,A0140,,"Paratyphoid fever, unspecified",,,den
A01AA,,Caries prophylactic agents,,A01AA,,Caries prophylactic agents,,,den
A01AB,,Antiinfectives and antiseptics for local oral treatment,,A01AB,,Antiinfectives and antiseptics for local oral treatment,,,den
A01AC,,Corticosteroids for local oral treatment,,A01AC,,Corticosteroids for local oral treatment,,,den
A01AD,,Other agents for local oral treatment,,A01AD,,Other agents for local oral treatment,,,den
A020,,Salmonella enteritis,,A0200,,Salmonella enteritis,,,den
A021,,Salmonella septicaemia,,A0210,,Salmonella septicaemia,,,den
A022,,Localized salmonella infections,,A0220,,Localized salmonella infections,,+,den
A028,,Other specified salmonella infections,,A0280,,Other specified salmonella infections,,,den
A029,,"Salmonella infection, unspecified",,A0290,,"Salmonella infection, unspecified",,,den
A02AA,,Magnesium compounds,,A02AA,,Magnesium compounds,,,den
A02AB,,Aluminium compounds,,A02AB,,Aluminium compounds,,,den
A02AC,,Calcium compounds,,A02AC,,Calcium compounds,,,den
A02AD,,"Combinations and complexes of aluminium, calcium and magnesium compounds",,A02AD,,"Combinations and complexes of aluminium, calcium and magnesium compounds",,,den
A02AF,,Antacids with antiflatulents,,A02AF,,Antacids with antiflatulents,,,den
A02AG,,Antacids with antispasmodics,,A02AG,,Antacids with antispasmodics,,,den
A02AH,,Antacids with sodium bicarbonate,,A02AH,,Antacids with sodium bicarbonate,,,den
A02AX,,"Antacids, other combinations",,A02AX,,"Antacids, other combinations",,,den
A02BA,,H2-receptor antagonists,,A02BA,,H2-receptor antagonists,,,den
A02BB,,Prostaglandins,,A02BB,,Prostaglandins,,,den
A02BC,,Proton pump inhibitors,,A02BC,,Proton pump inhibitors,,,den
A02BD,,Combinations for eradication of Helicobacter pylori,,A02BD,,Combinations for eradication of Helicobacter pylori,,,den
A02BX,,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),,A02BX,,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),,,den
A030,,Shigellosis due to Shigella dysenteriae,,A0300,,Shigellosis due to Shigella dysenteriae,,,den
A031,,Shigellosis due to Shigella flexneri,,A0310,,Shigellosis due to Shigella flexneri,,,den
A032,,Shigellosis due to Shigella boydii,,A0320,,Shigellosis due to Shigella boydii,,,den
A033,,Shigellosis due to Shigella sonnei,,A0330,,Shigellosis due to Shigella sonnei,,,den
A038,,Other shigellosis,,A0380,,Other shigellosis,,,den
A039,,"Shigellosis, unspecified",,A0390,,"Shigellosis, unspecified",,,den
A03AA,,"Synthetic anticholinergics, esters with tertiary amino group",,A03AA,,"Synthetic anticholinergics, esters with tertiary amino group",,,den
A03AB,,"Synthetic anticholinergics, quaternary ammonium compounds",,A03AB,,"Synthetic anticholinergics, quaternary ammonium compounds",,,den
A03AC,,"Synthetic antispasmodics, amides with tertiary amines",,A03AC,,"Synthetic antispasmodics, amides with tertiary amines",,,den
A03AD,,Papaverine and derivatives,,A03AD,,Papaverine and derivatives,,,den
A03AE,,Drugs acting on serotonin receptors,,A03AE,,Drugs acting on serotonin receptors,,,den
A03AX,,Other drugs for functional bowel disorders,,A03AX,,Other drugs for functional bowel disorders,,,den
A03BA,,"Belladonna alkaloids, tertiary amines",,A03BA,,"Belladonna alkaloids, tertiary amines",,,den
A03BB,,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",,A03BB,,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",,,den
A03CA,,Synthetic anticholinergic agents in combination with psycholeptics,,A03CA,,Synthetic anticholinergic agents in combination with psycholeptics,,,den
A03CB,,Belladonna and derivatives in combination with psycholeptics,,A03CB,,Belladonna and derivatives in combination with psycholeptics,,,den
A03CC,,Other antispasmodics in combination with psycholeptics,,A03CC,,Other antispasmodics in combination with psycholeptics,,,den
A03DA,,Synthetic anticholinergic agents in combination with analgesics,,A03DA,,Synthetic anticholinergic agents in combination with analgesics,,,den
A03DB,,Belladonna and derivatives in combination with analgesics,,A03DB,,Belladonna and derivatives in combination with analgesics,,,den
A03DC,,Other antispasmodics in combination with analgesics,,A03DC,,Other antispasmodics in combination with analgesics,,,den
A03EA,,"Antispasmodics, psycholeptics and analgesics in combination",,A03EA,,"Antispasmodics, psycholeptics and analgesics in combination",,,den
A03ED,,Antispasmodics in combination with other drugs,,A03ED,,Antispasmodics in combination with other drugs,,,den
A03FA,,Propulsives,,A03FA,,Propulsives,,,den
A040,,Enteropathogenic Escherichia coli infection,,A0400,,Enteropathogenic Escherichia coli infection,,,den
A041,,Enterotoxigenic Escherichia coli infection,,A0410,,Enterotoxigenic Escherichia coli infection,,,den
A042,,Enteroinvasive Escherichia coli infection,,A0420,,Enteroinvasive Escherichia coli infection,,,den
A043,,Enterohaemorrhagic Escherichia coli infection,,A0430,,Enterohaemorrhagic Escherichia coli infection,,,den
A044,,Other intestinal Escherichia coli infections,,A0440,,Other intestinal Escherichia coli infections,,,den
A045,,Campylobacter enteritis,,A0450,,Campylobacter enteritis,,,den
A046,,Enteritis due to Yersinia enterocolitica,,A0460,,Enteritis due to Yersinia enterocolitica,,,den
A047,,Enterocolitis due to Clostridium difficile,,A0470,,Enterocolitis due to Clostridium difficile,,,den
A048,,Other specified bacterial intestinal infections,,A0480,,Other specified bacterial intestinal infections,,,den
A049,,"Bacterial intestinal infection, unspecified",,A0490,,"Bacterial intestinal infection, unspecified",,,den
A04AA,,Serotonin (5HT3) antagonists,,A04AA,,Serotonin (5HT3) antagonists,,,den
A04AD,,Other antiemetics,,A04AD,,Other antiemetics,,,den
A050,,Foodborne staphylococcal intoxication,,A0500,,Foodborne staphylococcal intoxication,,,den
A051,,Botulism,,A0510,,Botulism,,,den
A052,,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,,A0520,,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,,,den
A053,,Foodborne Vibrio parahaemolyticus intoxication,,A0530,,Foodborne Vibrio parahaemolyticus intoxication,,,den
A054,,Foodborne Bacillus cereus intoxication,,A0540,,Foodborne Bacillus cereus intoxication,,,den
A058,,Other specified bacterial foodborne intoxications,,A0580,,Other specified bacterial foodborne intoxications,,,den
A059,,"Bacterial foodborne intoxication, unspecified",,A0590,,"Bacterial foodborne intoxication, unspecified",,,den
A05AA,,Bile acid preparations,,A05AA,,Bile acid preparations,,,den
A05AB,,Preparations for biliary tract therapy,,A05AB,,Preparations for biliary tract therapy,,,den
A05AX,,Other drugs for bile therapy,,A05AX,,Other drugs for bile therapy,,,den
A05BA,,Liver therapy,,A05BA,,Liver therapy,,,den
A060,,Acute amoebic dysentery,,A0600,,Acute amoebic dysentery,,,den
A061,,Chronic intestinal amoebiasis,,A0610,,Chronic intestinal amoebiasis,,,den
A062,,Amoebic nondysenteric colitis,,A0620,,Amoebic nondysenteric colitis,,,den
A063,,Amoeboma of intestine,,A0630,,Amoeboma of intestine,,,den
A064,,Amoebic liver abscess,,A0640,,Amoebic liver abscess,,,den
A065,,Amoebic lung abscess,,A0650,,Amoebic lung abscess (J99.8*),,+,den
A066,,Amoebic brain abscess,,A0660,,Amoebic brain abscess (G07*),,+,den
A067,,Cutaneous amoebiasis,,A0670,,Cutaneous amoebiasis,,,den
A068,,Amoebic infection of other sites,,A0680,,Amoebic infection of other sites,,,den
A069,,"Amoebiasis, unspecified",,A0690,,"Amoebiasis, unspecified",,,den
A06AA,,"Softeners, emollients",,A06AA,,"Softeners, emollients",,,den
A06AB,,Contact laxatives,,A06AB,,Contact laxatives,,,den
A06AC,,Bulk producers,,A06AC,,Bulk producers,,,den
A06AD,,Osmotically acting laxatives,,A06AD,,Osmotically acting laxatives,,,den
A06AG,,Enemas,,A06AG,,Enemas,,,den
A06AX,,Other laxatives,,A06AX,,Other laxatives,,,den
A070,,Balantidiasis,,A0700,,Balantidiasis,,,den
A071,,Giardiasis [lambliasis],,A0710,,Giardiasis [lambliasis],,,den
A072,,Cryptosporidiosis,,A0720,,Cryptosporidiosis,,,den
A073,,Isosporiasis,,A0730,,Isosporiasis,,,den
A078,,Other specified protozoal intestinal diseases,,A0780,,Other specified protozoal intestinal diseases,,,den
A079,,"Protozoal intestinal disease, unspecified",,A0790,,"Protozoal intestinal disease, unspecified",,,den
A07AA,,Antibiotics,,A07AA,,Antibiotics,,,den
A07AB,,Sulfonamides,,A07AB,,Sulfonamides,,,den
A07AC,,Imidazole derivatives,,A07AC,,Imidazole derivatives,,,den
A07AX,,Other intestinal antiinfectives,,A07AX,,Other intestinal antiinfectives,,,den
A07BA,,Charcoal preparations,,A07BA,,Charcoal preparations,,,den
A07BB,,Bismuth preparations,,A07BB,,Bismuth preparations,,,den
A07BC,,Other intestinal adsorbents,,A07BC,,Other intestinal adsorbents,,,den
A07CA,,Oral rehydration salt formulations,,A07CA,,Oral rehydration salt formulations,,,den
A07DA,,Antipropulsives,,A07DA,,Antipropulsives,,,den
A07EA,,Corticosteroids acting locally,,A07EA,,Corticosteroids acting locally,,,den
A07EB,,"Antiallergic agents, excl. corticosteroids",,A07EB,,"Antiallergic agents, excl. corticosteroids",,,den
A07EC,,Aminosalicylic acid and similar agents,,A07EC,,Aminosalicylic acid and similar agents,,,den
A07FA,,Antidiarrheal microorganisms,,A07FA,,Antidiarrheal microorganisms,,,den
A07XA,,Other antidiarrheals,,A07XA,,Other antidiarrheals,,,den
A080,,Rotaviral enteritis,,A0800,,Rotaviral enteritis,,,den
A081,,Acute gastroenteropathy due to Norwalk agent,,A0810,,Acute gastroenteropathy due to Norwalk agent,,,den
A082,,Adenoviral enteritis,,A0820,,Adenoviral enteritis,,,den
A083,,Other viral enteritis,,A0830,,Other viral enteritis,,,den
A084,,"Viral intestinal infection, unspecified",,A0840,,"Viral intestinal infection, unspecified",,,den
A085,,Other specified intestinal infections,,A0850,,Other specified intestinal infections,,,den
A08AA,,Centrally acting antiobesity products,,A08AA,,Centrally acting antiobesity products,,,den
A08AB,,Peripherally acting antiobesity products,,A08AB,,Peripherally acting antiobesity products,,,den
A09,,Diarrhoea and gastroenteritis of presumed infectious origin,,A0900,,Diarrhoea and gastroenteritis of presumed infectious origin,,,den
A09AA,,Enzyme preparations,,A09AA,,Enzyme preparations,,,den
A09AB,,Acid preparations,,A09AB,,Acid preparations,,,den
A09AC,,"Enzyme and acid preparations, combinations",,A09AC,,"Enzyme and acid preparations, combinations",,,den
A10AB,,"Insulins and analogues, fast-acting",,A10AB,,"Insulins and analogues, fast-acting",,,den
A10AC,,"Insulins and analogues, intermediate-acting",,A10AC,,"Insulins and analogues, intermediate-acting",,,den
A10AD,,"Insulins and analogues, intermediate-acting combined with fast-acting",,A10AD,,"Insulins and analogues, intermediate-acting combined with fast-acting",,,den
A10AE,,"Insulins and analogues, long-acting",,A10AE,,"Insulins and analogues, long-acting",,,den
A10BA,,Biguanides,,A10BA,,Biguanides,,,den
A10BB,,"Sulfonamides, urea derivatives",,A10BB,,"Sulfonamides, urea derivatives",,,den
A10BC,,Sulfonamides (heterocyclic),,A10BC,,Sulfonamides (heterocyclic),,,den
A10BD,,Combinations of oral blood glucose lowering drugs,,A10BD,,Combinations of oral blood glucose lowering drugs,,,den
A10BF,,Alpha glucosidase inhibitors,,A10BF,,Alpha glucosidase inhibitors,,,den
A10BG,,Thiazolidinediones,,A10BG,,Thiazolidinediones,,,den
A10BX,,Other oral blood glucose lowering drugs,,A10BX,,Other oral blood glucose lowering drugs,,,den
A10XA,,Aldose reductase inhibitors,,A10XA,,Aldose reductase inhibitors,,,den
A11AA,,Multivitamins with minerals,,A11AA,,Multivitamins with minerals,,,den
A11AB,,"Multivitamins, other combinations",,A11AB,,"Multivitamins, other combinations",,,den
A11BA,,"Multivitamins, plain",,A11BA,,"Multivitamins, plain",,,den
A11CA,,"Vitamin A, plain",,A11CA,,"Vitamin A, plain",,,den
A11CB,,Vitamin A and D in combination,,A11CB,,Vitamin A and D in combination,,,den
A11CC,,Vitamin D and analogues,,A11CC,,Vitamin D and analogues,,,den
A11DA,,"Vitamin B1, plain",,A11DA,,"Vitamin B1, plain",,,den
A11DB,,Vitamin B1 in combination with vitamin B6 and/or vitamin B12,,A11DB,,Vitamin B1 in combination with vitamin B6 and/or vitamin B12,,,den
A11EA,,"Vitamin B-complex, plain",,A11EA,,"Vitamin B-complex, plain",,,den
A11EB,,Vitamin B-complex with vitamin C,,A11EB,,Vitamin B-complex with vitamin C,,,den
A11EC,,Vitamin B-complex with minerals,,A11EC,,Vitamin B-complex with minerals,,,den
A11ED,,Vitamin B-complex with anabolic steroids,,A11ED,,Vitamin B-complex with anabolic steroids,,,den
A11EX,,"Vitamin B-complex, other combinations",,A11EX,,"Vitamin B-complex, other combinations",,,den
A11GA,,"Ascorbic acid (vitamin C), plain",,A11GA,,"Ascorbic acid (vitamin C), plain",,,den
A11GB,,"Ascorbic acid (vitamin C), combinations",,A11GB,,"Ascorbic acid (vitamin C), combinations",,,den
A11HA,,Other plain vitamin preparations,,A11HA,,Other plain vitamin preparations,,,den
A11JA,,Combinations of vitamins,,A11JA,,Combinations of vitamins,,,den
A11JB,,Vitamins with minerals,,A11JB,,Vitamins with minerals,,,den
A11JC,,"Vitamins, other combinations",,A11JC,,"Vitamins, other combinations",,,den
A12AA,,Calcium,,A12AA,,Calcium,,,den
A12AX,,"Calcium, combinations with other drugs",,A12AX,,"Calcium, combinations with other drugs",,,den
A12BA,,Potassium,,A12BA,,Potassium,,,den
A12CA,,Sodium,,A12CA,,Sodium,,,den
A12CB,,Zinc,,A12CB,,Zinc,,,den
A12CC,,Magnesium,,A12CC,,Magnesium,,,den
A12CD,,Fluoride,,A12CD,,Fluoride,,,den
A12CE,,Selenium,,A12CE,,Selenium,,,den
A12CX,,Other mineral products,,A12CX,,Other mineral products,,,den
A14AA,,Androstan derivatives,,A14AA,,Androstan derivatives,,,den
A14AB,,Estren derivatives,,A14AB,,Estren derivatives,,,den
A150,,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",,A1500,,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",,,den
A151,,"Tuberculosis of lung, confirmed by culture only",,A1510,,"Tuberculosis of lung, confirmed by culture only",,,den
A152,,"Tuberculosis of lung, confirmed histologically",,A1520,,"Tuberculosis of lung, confirmed histologically",,,den
A153,,"Tuberculosis of lung, confirmed by unspecified means",,A1530,,"Tuberculosis of lung, confirmed by unspecified means",,,den
A154,,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",,A1540,,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",,,den
A155,,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",,A1550,,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",,,den
A156,,"Tuberculous pleurisy, confirmed bacteriologically and histologically",,A1560,,"Tuberculous pleurisy, confirmed bacteriologically and histologically",,,den
A157,,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",,A1570,,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",,,den
A158,,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",,A1580,,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",,,den
A159,,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",,A1590,,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",,,den
A160,,"Tuberculosis of lung, bacteriologically and histologically negative",,A1600,,"Tuberculosis of lung, bacteriologically and histologically negative",,,den
A161,,"Tuberculosis of lung, bacteriological and histological examination not done",,A1610,,"Tuberculosis of lung, bacteriological and histological examination not done",,,den
A162,,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",,A1620,,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",,,den
A163,,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",,A1630,,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",,,den
A164,,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",,A1640,,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",,,den
A165,,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",,A1650,,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",,,den
