mdc,mdc_text_nat,mdc_text_comb,country
1,Nervu sistēmas slimības,Diseases of nervous system,lat
2,Acs slimības un traucējumi,Diseases and disorders of the eye,lat
3,"Auss, deguna, mutes un rīkles slimības un traucējumi","Diseases and disorders of the ear, nose, mouth and throat",lat
4,Elpošanas sistēmas slimības un traucējumi,Diseases and disorders of the respiratory system,lat
5,Asinsrites sistēmas slimības un traucējumi,Diseases and disorders of the circulatory system,lat
6,Gremošanas sistēmas slimības un traucējumitraucējumi,Diseases and disorders of the digestive system,lat
7,Aknas un aizkuņģa dziedzera slimības un traucējumi,Diseases and disorders of the hepatobiliary system and pancreas,lat
8,"Skeleta, muskuļu un saistaudu slimības un traucējumi",Diseases and disorders of the musculoskeletal system and connective tissue,lat
9,Ādas un zemādas slimības un traucējumi,Diseases and disorders of the skin and subcutaneous tissue,lat
10,"Endokrīnās, uztura un vielmaiņas slimības un traucējumi","Endocrine, nutritional and metabolic diseases and disorders",lat
11,Nieru un urīnizvadsistēmas slimības un traucējumi,Diseases and disorders of the kidney and urinary tract,lat
12,Vīriešu reproduktīvās sistēmas slimības un traucējumi,Diseases and disorders of the male reproductive system,lat
13,Sieviešu reproduktīvās sistēmas slimības un traucējumi,Diseases and disorders of the female reproductive system,lat
14,"Grūtniecība, dzemdības un pēcdzemdību periods","Pregnancy, childbirth and puerperium",lat
15,"Jaundzimušie, ar stāvokļiem, kas radušies perinatālā periodā",Newborns and other neonates with conditions originating in the perinatal period,lat
16,"Asins, asinsrades orgānu un imunoloģisko traucējumu slimības ",Diseases and disorders of the blood and blood forming organs and immunological disorders,lat
17,"Mieloproliferatīvās slimības un traucējumi, maz diferencēti audzēji","Myeloproliferative diseases and disorders, poorly differentiated neoplasms",lat
18,Infekciju un parazitārās slimības,Infectious and parasitic diseases,lat
19,Psihiskās slimības un traucējumi,Mental diseases and disorders,lat
21,"Ievainojumi, saindēšanās un toksiska zāļu iedarbība","Injuries, poisonings and toxic effects of drugs",lat
22,Apdegumi,Burns,lat
23,"Faktori, kas ietekmē veselības stāvokli un citi kontakti ar veselības aprūpes pakalpojumiem",Factors influencing health status and other contacts with health services,lat
24,Multiplas nozīmīgas traumas,Multiple significant trauma,lat
30,Krūts dziedzera problēmas,Breast problem,lat
98,Sieviešu / vīriešu reproduktīvo orgānu slimības un traucējumi,Diseases and disorders of male/female reprodutive organs,lat
99,Nestandarta vai kļūdaina informācija,Unspecific or erroneous information,lat
0,PreMDC DRG,PreMDC DRG,nor
1,Sykdommer i nervesystemet,Diseases of nervous system,nor
2,Øyesykdommer,Diseases and disorders of the eye,nor
3,"Øre-, nese- og halssykdommer","Diseases and disorders of the ear, nose, mouth and throat",nor
4,Sykdommer i åndedrettsorganene,Diseases and disorders of the respiratory system,nor
5,Sykdommer i sirkulasjonsorganene,Diseases and disorders of the circulatory system,nor
6,Sykdommer i fordøyelsesorganene,Diseases and disorders of the digestive system,nor
7,"Sykdommer i lever, galleveier og bukspyttkjertel",Diseases and disorders of the hepatobiliary system and pancreas,nor
8,"Sykdommer i muskel-, skjelettsystemet og bindevev",Diseases and disorders of the musculoskeletal system and connective tissue,nor
9,Sykdommer i hud og underhud,Diseases and disorders of the skin and subcutaneous tissue,nor
10,"Indresekretoriske-, ernærings- og stoffskiftesykdommer","Endocrine, nutritional and metabolic diseases and disorders",nor
11,Nyre og urinveissykdommer,Diseases and disorders of the kidney and urinary tract,nor
12,Sykdommer i mannlige kjønnsorganer,Diseases and disorders of the male reproductive system,nor
13,Sykdommer i kvinnelige kjønnsorganer,Diseases and disorders of the female reproductive system,nor
14,"Sykdommer under svangerskap, fødsel og barseltid","Pregnancy, childbirth and puerperium",nor
15,Nyfødte med tilstander som har oppstått i perinatalperioden,Newborns and other neonates with conditions originating in the perinatal period,nor
16,"Sykdommer i blod, bloddannede organer og immunapparat",Diseases and disorders of the blood and blood forming organs and immunological disorders,nor
17,Myeloproliferative sykdommer og lite differensierte svulster,"Myeloproliferative diseases and disorders, poorly differentiated neoplasms",nor
18,Infeksiøse og parasittære sykdommer,Infectious and parasitic diseases,nor
19,Psykiske lidelser og rusproblemer,Mental diseases and disorders,nor
21,"Skade, forgiftninger og toksiske effekter av medikamenter/andre stoffer, medikamentmisbruk og organiske ","Injuries, poisonings and toxic effects of drugs",nor
22,Forbrenninger,Burns,nor
23,Faktorer som påvirker helsetilstand – andre kontakter med helsetjenesten,Factors influencing health status and other contacts with health services,nor
24,Multiple significant trauma,Multiple significant trauma,nor
30,Sykdommer i bryst,Breast problem,nor
40,Kategorier på tvers av flere hoveddiagnosegrupper,MDC overlapping groups,nor
98,Diseases and disorders of male/female reprodutive organs,Diseases and disorders of male/female reprodutive organs,nor
99,Kategorier for feil og uvanlige diagnose-prosedyrekombinasjoner,Unspecific or erroneous information,nor
0,Pre-MDC,PreMDC DRG,swe
1,Sjukdomar i nervsystemet,Diseases of nervous system,swe
2,Sjukdomar i öga och närliggande organ,Diseases and disorders of the eye,swe
3,"Sjukdomar i öra, näsa, mun och hals","Diseases and disorders of the ear, nose, mouth and throat",swe
4,Andningsorganens sjukdomar,Diseases and disorders of the respiratory system,swe
5,Cirkulationsorganens sjukdomar,Diseases and disorders of the circulatory system,swe
6,Matsmältningsorganens sjukdomar,Diseases and disorders of the digestive system,swe
7,"Sjukdomar i lever, gallvägar och bukspottkörtel",Diseases and disorders of the hepatobiliary system and pancreas,swe
8,"Sjukdomar i muskler, skelett och bindväv",Diseases and disorders of the musculoskeletal system and connective tissue,swe
9,Sjukdomar i hud och underhud,Diseases and disorders of the skin and subcutaneous tissue,swe
10,"Endokrina, metabola och nutritionssjukdomar","Endocrine, nutritional and metabolic diseases and disorders",swe
11,Sjukdomar i njure och urinvägar,Diseases and disorders of the kidney and urinary tract,swe
12,Sjukdomar i manliga könsorgan,Diseases and disorders of the male reproductive system,swe
13,Sjukdomar i kvinnliga könsorgan,Diseases and disorders of the female reproductive system,swe
14,"Graviditet, förlossning och barnsängstid","Pregnancy, childbirth and puerperium",swe
15,Nyfödda och vissa perinatala tillstånd,Newborns and other neonates with conditions originating in the perinatal period,swe
16,Blodsjukdomar och immunologiska rubbningar,Diseases and disorders of the blood and blood forming organs and immunological disorders,swe
17,Myeloproliferativa sjukdomar och icke specificerade tumörer,"Myeloproliferative diseases and disorders, poorly differentiated neoplasms",swe
18,Infektions- och parasitsjukdomar inklusive HIV,Infectious and parasitic diseases,swe
19,"Psykiska sjukdomar, beteendestörningar och alkohol- eller drogberoende",Mental diseases and disorders,swe
21,"Skador, förgiftningar och toxiska effekter","Injuries, poisonings and toxic effects of drugs",swe
22,Brännskador,Burns,swe
23,Andra hälsoproblem och kontakter med hälso- och sjukvården,Factors influencing health status and other contacts with health services,swe
24,Multipelt trauma utom ytliga skador och sårskador,Multiple significant trauma,swe
30,Bröstkörtelsjukdomar,Breast problem,swe
40,MDC-övergripande problem i öppenvård,MDC overlapping groups,swe
50,Vårdgivarberoende grupper i öppenvård,Caregiver dependant groups,swe
98,Sjukdomar i manliga/kvinnliga könsorgan,Diseases and disorders of male/female reprodutive organs,swe
99,Ospecifik eller felaktig information,Unspecific or erroneous information,swe
