drg_comb,drg_text_comb,drg_text_short_comb,mdc,nat_ver
002B,Surgery of chronic subdural hematoma,Surgery of chronic subdural hematoma,1.0,est/lat/ice/fin/nor
002BN,Surgery of chronic subdural hematoma,Surgery of chronic subdural hematoma,1.0,swe
003N,Stereotactic intracranial radiotherapy,Stereotactic intracranial radiotherapy,1.0,est/swe/lat/ice/nor
003O,"Craniotomy, short therapy","Craniotomy, short therapy",1.0,est/swe/lat/ice/fin/nor
003P,"Stereotactic intracranial radiotherapy, short therapy","Stereotactic intracranial radiotherapy, short therapy",1.0,est/swe/lat/ice/fin/nor
004N,Spinal procedures,Spinal procedures,1.0,swe
004O,"Spinal procedures, short therapy","Spinal procedures, short therapy",1.0,est/swe/lat/ice/fin/nor
004X,Spinal procedures,Spinal procedures,1.0,est/lat/ice/fin/nor
005C,"Extracranial vascular procedures, w CC","Extracranial vascular procedures, w CC",1.0,swe
005N,"Extracranial vascular procedures, w/o CC","Extracranial vascular procedures, w/o CC",1.0,swe
005O,"Extracranial vascular procedures, short therapy","Extracranial vascular procedures, short therapy",1.0,est/swe/lat/ice/fin/nor
005X,Extracranial vascular procedures,Extracranial vascular procedures,1.0,est/lat/ice/fin/nor
006O,"Carpal tunnel release, short therapy","Carpal tunnel release, short therapy",1.0,est/swe/lat/ice/fin/nor
006X,Carpal tunnel release,Carpal tunnel release,1.0,est/swe/lat/ice/fin/nor
007M,"Peripheral & cranial nerve & other nervous system procedures,  w MCC","Peripheral & cranial nerve & other nervous system procedures,  w MCC",1.0,swe
007X,"Peripheral & cranial nerve & other nervous system procedures,  w CC","Peripheral & cranial nerve & other nervous system procedures,  w CC",1.0,est/swe/lat/ice/fin/nor
008O,"Peripheral & cranial nerve & other nervous system procedures, short therapy","Peripheral & cranial nerve & other nervous system procedures, short therapy",1.0,est/swe/lat/ice/fin/nor
008X,"Peripheral & cranial nerve & other nervous system procedures, w/o CC","Peripheral & cranial nerve & other nervous system procedures, w/o CC",1.0,est/swe/lat/ice/fin/nor
009C,"Spinal disorders & injuries, w CC","Spinal disorders & injuries, w CC",1.0,swe
009M,"Spinal disorders & injuries, w MCC","Spinal disorders & injuries, w MCC",1.0,swe
009N,"Spinal disorders & injuries, w/o CC","Spinal disorders & injuries, w/o CC",1.0,swe
009O,Doctor visits for spinal disorders & injuries,Doctor visits for spinal disorders & injuries,1.0,swe
009X,Spinal disorders & injuries,Spinal disorders & injuries,1.0,est/lat/ice/fin/nor
010C,"Nervous system neoplasms, w CC","Nervous system neoplasms, w CC",1.0,swe
010M,"Nervous system neoplasms, w MCC","Nervous system neoplasms, w MCC",1.0,swe
010X,Nervous system neoplasm w cc,Nervous system neoplasm w cc,1.0,est/lat/ice/fin/nor
011FA,"Nervous system neoplasm w/o cc, radiotherapy","Nervous system neoplasm w/o cc, radiotherapy",1.0,fin
011FB,"Nervous system neoplasm w/o cc, stereotactic radiotherapy or isotope therapy","Nervous system neoplasm w/o cc, ste radioth or isot ther",1.0,fin
011FC,"Nervous system neoplasm w/o cc, demanding isotope therapy","Nervous system neoplasm w/o cc, demanding isotope therapy",1.0,fin
011FD,"Nervous system neoplasm w/o cc, cytostatic therapy","Nervous system neoplasm w/o cc, cytostatic therapy",1.0,fin
011FF,Nervous system neoplasm w/o cc,Nervous system neoplasm w/o cc,1.0,fin
011P,"Doctor visits for neoplasms in the nervous system, w CC","Doctor visits for neoplasms in the nervous system, w CC",1.0,swe
011Q,"Doctor visits for neoplasms in the nervous system, w/o CC","Doctor visits for neoplasms in the nervous system, w/o CC",1.0,swe
011X,"Nervous system neoplasms, w/o CC","Nervous system neoplasms, w/o CC",1.0,est/swe/lat/ice/nor
012M,"Degenerative nervous system disorders,  w MCC","Degenerative nervous system disorders,  w MCC",1.0,swe
012N,"Degenerative nervous system disorders, w/o CC","Degenerative nervous system disorders, w/o CC",1.0,swe
012O,"Doctor visits for degenerative nervous system disorders, short therapy","Doctor visits for degenerative nervous system disorders, short therapy",1.0,swe/nor
012X,Degenerative nervous system disorders,Degenerative nervous system disorders,1.0,est/lat/ice/fin/nor
013C,"Multiple sclerosis and cerebellar ataxia, w CC","Multiple sclerosis and cerebellar ataxia, w CC",1.0,swe
013N,"Multiple sclerosis and cerebellar ataxia, w/o CC","Multiple sclerosis and cerebellar ataxia, w/o CC",1.0,swe
013O,"Multiple sclerosis and cerebellar ataxia, short therapy","Multiple sclerosis and cerebellar ataxia, short therapy",1.0,swe
013X,Multiple sclerosis and cerebellar ataxia,Multiple sclerosis and cerebellar ataxia,1.0,est/lat/ice/fin/nor
014A,"Specific cerebrovascular disorders except TIA, without thrombolysis, with cc","Specific cerebrovascular disorders except TIA, w/o thrombolysis, w cc",1.0,est/lat/ice/fin/nor
014B,"Specific cerebrovascular disorders except TIA, without thrombolysis, without cc","Specific cerebrovascular disorders except TIA, w/o thrombolysis, w/o cc",1.0,est/lat/ice/fin/nor
014C,"Specific cerebrovascular disorders except TIA, with thrombolysis, w CC","Specific cerebrovascular disorders except TIA, with thrombolysis, w CC",1.0,est/swe/lat/fin
014D,"Specific cerebrovascular disorders except TIA, with thrombolysis, with cc","Specific cerebrovascular disorders except TIA, w thrombolysis, w cc",1.0,est/lat/fin
014M,"Specific cerebrovascular disorders except TIA, w MCC","Specific cerebrovascular disorders except TIA, w MCC",1.0,swe
014N,"Specific cerebrovascular disorders except TIA, w/o CC","Specific cerebrovascular disorders except TIA, w/o CC",1.0,swe
014O,Doctor visits for specific cerebrovascular disorders,Doctor visits for specific cerebrovascular disorders,1.0,swe
015N,Transient ischemic attac & precerebral occlusions,Transient ischemic attac & precerebral occlusions,1.0,swe
015O,Doctor visits for transient ischemic attack & precerebral occlusion,Doctor visits for transient ischemic attack & precerebral occlusion,1.0,swe
015X,Transient ischemic attac & precerebral occlusions,Transient ischemic attac & precerebral occlusions,1.0,est/lat/ice/fin/nor
016X,Nonspecific cerebrovascular disorders w cc,Nonspecific cerebrovascular disorders w cc,1.0,est/lat/ice/fin/nor
017O,Doctor visits for nonspecific cerebrovascular disorders ,Doctor visits for nonspecific cerebrovascular disorders ,1.0,swe
017X,"Nonspecific cerebrovascular disorders, w/o CC","Nonspecific cerebrovascular disorders, w/o CC",1.0,est/swe/lat/ice/fin/nor
018C,"Cranial & peripheral nerve disorders, w CC","Cranial & peripheral nerve disorders, w CC",1.0,swe
018M,"Cranial & peripheral nerve disorders, w MCC","Cranial & peripheral nerve disorders, w MCC",1.0,swe
018X,Cranial & periferal nerve disorders w cc,Cranial & periferal nerve disorders w cc,1.0,est/lat/ice/fin/nor
019O,"Cranial & peripheral nerve disorders, short therapy","Cranial & peripheral nerve disorders, short therapy",1.0,swe/nor
019X,"Cranial & peripheral nerve disorders, w/o CC","Cranial & peripheral nerve disorders, w/o CC",1.0,est/swe/lat/ice/fin/nor
020C,Nervoussystem infection except viral meningitis with cc,Nervoussystem infection except viral meningitis with cc,1.0,fin
020M,"Nervous system infections except viral meningitis, w MCC","Nervous system infections except viral meningitis, w MCC",1.0,swe
020N,"Nervous system infections except viral meningitis, w/o CC","Nervous system infections except viral meningitis, w/o CC",1.0,swe/fin
020O,Doctor visits for nervous system infections except viral meningitis,Doctor visits for nervous system infections except viral meningitis,1.0,swe
020X,Nervoussystem infection except viral meningitis,Nervoussystem infection except viral meningitis,1.0,est/lat/ice/nor
021C,"Viral meningitis, w CC","Viral meningitis, w CC",1.0,swe
021N,"Viral meningitis, w/o CC","Viral meningitis, w/o CC",1.0,swe
021O,Doctor visits for viral meningitis,Doctor visits for viral meningitis,1.0,swe
021X,Viral meningitis,Viral meningitis,1.0,est/lat/ice/fin/nor
023C,"Nontraumatic stupor & coma, w CC","Nontraumatic stupor & coma, w CC",1.0,swe
023N,"Nontraumatic stupor & coma, w/o CC","Nontraumatic stupor & coma, w/o CC",1.0,swe
023O,Doctor visits for nontraumatic stupor & coma,Doctor visits for nontraumatic stupor & coma,1.0,swe
023X,Nontraumatic stupor & coma,Nontraumatic stupor & coma,1.0,est/lat/ice/fin/nor
024X,Seizure & headache age > 17 w cc,Seizure & headache age > 17 w cc,1.0,est/lat/ice/fin/nor
025NP,"Headache, short therapy","Headache, short therapy",1.0,nor
025NR,"Seizure, short therapy","Seizure, short therapy",1.0,nor
025X,Seizure & headache age > 17 w/o cc,Seizure & headache age > 17 w/o cc,1.0,est/lat/ice/fin/nor
026C,"Seizure & headache, age w CC","Seizure & headache, age w CC",1.0,swe
026M,"Seizure & headache, age w MCC ","Seizure & headache, age w MCC ",1.0,swe
026N,"Seizure & headache, age w/o CC","Seizure & headache, age w/o CC",1.0,swe
026P,"Doctor visits for seizure & headache, w CC","Doctor visits for seizure & headache, w CC",1.0,swe
026Q,"Doctor visits for seizure & headache, w/o CC","Doctor visits for seizure & headache, w/o CC",1.0,swe
026X,Seizure & headache age 0-17,Seizure & headache age 0-17,1.0,est/lat/ice/fin/nor
027M,"Severe traumatic brain injury, w MCC","Severe traumatic brain injury, w MCC",1.0,swe
027N,"Severe traumatic brain injury, w/o CC","Severe traumatic brain injury, w/o CC",1.0,swe
027O,Doctor visits for severe traumatic brain injury,Doctor visits for severe traumatic brain injury,1.0,swe
027X,Severe traumatic brain injury,Severe traumatic brain injury,1.0,est/lat/ice/fin/nor
028X,"Traumatic brain injury, age > 17, with cc","Traumatic brain injury, age > 17, with cc",1.0,est/lat/ice/fin/nor
029X,"Traumatic brain injury, age > 17, w/o cc","Traumatic brain injury, age > 17, w/o cc",1.0,est/lat/ice/fin/nor
030C,"Traumatic brain injury, w CC","Traumatic brain injury, w CC",1.0,swe
030N,"Traumatic brain injury, w/o CC","Traumatic brain injury, w/o CC",1.0,swe
030O,Doctor visits for traumatic brain injury,Doctor visits for traumatic brain injury,1.0,swe
030X,"Traumatic brain injury, age 0-17","Traumatic brain injury, age 0-17",1.0,est/lat/ice/fin/nor
031X,"Concussion, age > 17 w cc","Concussion, age > 17 w cc",1.0,est/lat/ice/fin/nor
032X,"Concussion, age > 17 w/o cc","Concussion, age > 17 w/o cc",1.0,est/lat/ice/fin/nor
033C,"Concussion, w CC","Concussion, w CC",1.0,swe
033N,"Concussion,  w/o CC","Concussion,  w/o CC",1.0,swe
033O,Doctor visits for concussion,Doctor visits for concussion,1.0,swe
033X,"Concussion, age 0-17","Concussion, age 0-17",1.0,est/lat/ice/fin/nor
034C,"Other disorders of the nervous system, w CC","Other disorders of the nervous system, w CC",1.0,swe
034M,"Other disorders of the nervous system,  w MCC","Other disorders of the nervous system,  w MCC",1.0,swe
034X,Other disorders of nervous system w cc,Other disorders of nervous system w cc,1.0,est/lat/ice/fin/nor
035X,"Other disorders of the nervous system, w/o CC","Other disorders of the nervous system, w/o CC",1.0,est/swe/lat/ice/fin/nor
036C,Brachytherapy to eye     ,Brachytherapy to eye     ,2.0,est/swe/lat/ice/fin/nor
036D,Major eye procedures,Major eye procedures,2.0,est/swe/lat/ice/fin/nor
036E,Retinal procedures,Retinal procedures,2.0,est/swe/lat/ice/fin/nor
036O,"Retinal procedures, short therapy","Retinal procedures, short therapy",2.0,est/swe/lat/ice/fin/nor
036P,"Transplantation of cornea, short therapy","Transplantation of cornea, short therapy",2.0,est/swe/lat/fin/nor/ice
036R,"Laser procedures on iris and chamber angle, short therapy         ","Laser procedures on iris and chamber angle, short therapy         ",2.0,est/swe/lat/fin/nor/ice
036S,"Major procedure on intraocular pressure, short therapy","Major procedure on intraocular pressure, short therapy",2.0,est/swe/lat/fin/nor/ice
037C,"Orbital OR procedures, w CC","Orbital OR procedures, w CC",2.0,swe
037N,"Orbital OR procedures, w/o CC","Orbital OR procedures, w/o CC",2.0,swe
037O,"Orbital OR procedures, short therapy","Orbital OR procedures, short therapy",2.0,est/swe/lat/ice/fin/nor
037X,Orbital procedures,Orbital procedures,2.0,est/lat/ice/fin/nor
039FO,"Unilateral lens procedures with or without vitrectomy, short therapy","Unilateral lens procedures with or without vitrectomy, sh th",2.0,fin
039FP,"Bilateral lens procedures, short therapy","Bilateral lens procedures, short therapy",2.0,ice/fin/nor
039O,"Lens procedures with or without vitrectomy, short therapy","Lens procedures with or without vitrectomy, short therapy",2.0,ice
039P,"Bilateral lens procedures with or without vitrectomy, short therapy","Bilateral lens procedures with or without vitrectomy, short therapy",2.0,est/swe/lat
039Q,"Unilateral lens procedures with or without vitrectomy, short therapy","Unilateral lens procedures with or without vitrectomy, short therapy",2.0,est/swe/lat/nor
039X,Lens procedures with or without vitrectomy ,Lens procedures with or without vitrectomy ,2.0,est/swe/lat/ice/fin/nor
040X,Extraocular procedures except orbit,Extraocular procedures except orbit,2.0,est/lat/ice/fin/nor
041C,Extraocular procedures except orbit w cc,Extraocular procedures except orbit w cc,2.0,swe
041N,"Strabismus surgery and other extraocular procedures except orbit, w/o CC   ","Strabismus surgery and other extraocular procedures except orbit, w/o CC   ",2.0,swe
041O,"Extraocular procedures except orbit, short therapy","Extraocular procedures except orbit, short therapy",2.0,est/swe/lat/ice/nor
041P,"Strabismus surgery, short therapy","Strabismus surgery, short therapy",2.0,est/swe/lat/ice/fin/nor
041Q,"Other interventions for problems in eye region, with anestesia, short therapy","Other interventions for problems in eye region, with anestes",2.0,fin
041R,"Other interventions for problems in eye region, without anestesia, short therapy","Other interventions for problems in eye region, without anes",2.0,fin
042C,"Intraocular procedures except retina and lens, w CC","Intraocular procedures except retina and lens, w CC",2.0,swe
042N,"Intraocular procedures except retina and lens, w/o CC","Intraocular procedures except retina and lens, w/o CC",2.0,swe
042P,"Other intraocular procedures except on retina and lens, short therapy","Other intraocular procedures except on retina and lens, short therapy",2.0,est/swe/lat/ice/fin/nor
042X,Intraocular procedures except retina and lens,Intraocular procedures except retina and lens,2.0,est/lat/ice/fin/nor
043O,Doctor visits for injury in the eye region,Doctor visits for injury in the eye region,2.0,swe
043X,Injury in the eye region ,Injury in the eye region ,2.0,est/swe/lat/ice/fin/nor
044O,Doctor visits for acute eye infections,Doctor visits for acute eye infections,2.0,swe
044X,Acute major eye infections ,Acute major eye infections ,2.0,est/swe/lat/ice/fin/nor
045O,Doctor visits for neurological eye diseases,Doctor visits for neurological eye diseases,2.0,swe
045X,Neurological eye diseases,Neurological eye diseases,2.0,est/swe/lat/ice/fin/nor
046X,"Other disorders of the eye, age > 17 w cc","Other disorders of the eye, age > 17 w cc",2.0,est/lat/ice/fin/nor
047X,"Other disorders of the eye, age > 17 w/o cc","Other disorders of the eye, age > 17 w/o cc",2.0,est/lat/ice/fin/nor
048C,"Other disorders of the eye, w CC","Other disorders of the eye, w CC",2.0,swe
048N,"Other disorders of the eye, w/o CC","Other disorders of the eye, w/o CC",2.0,swe
048X,"Other disorders of the eye, age 0-17","Other disorders of the eye, age 0-17",2.0,est/lat/ice/fin/nor
049A,Other major operations on head and neck,Other major operations on head and neck,3.0,est/swe/lat/ice/fin/nor
049B,Insertion of cochlear implant,Insertion of cochlear implant,3.0,est/swe/lat/ice/fin/nor
049N,"Upgrading of speech processor for cochlear implant, short therapy","Upgrading of speech processor for cochlear implant, short therapy",3.0,swe
049P,"Swe - Insättning av kokleaimplantat, öppenvård",Insättning av kokleaimplantat O,3.0,swe
050N,Parotidectomy,Parotidectomy,3.0,est/swe/lat/ice/fin/nor
051N,Salivary gland procedures except parotidectomy,Salivary gland procedures except parotidectomy,3.0,est/swe/lat/ice/fin/nor
051O,"Salivary gland procedures except paroditectomy, short therapy","Salivary gland procedures except paroditectomy, short therap",3.0,est/swe/lat/ice/fin/nor
052X,Cleft lip & palate repair,Cleft lip & palate repair,3.0,est/swe/lat/ice/fin/nor
053A,Sinus procedures,Sinus procedures,3.0,est/swe/lat/ice/fin/nor
053B,"Mastoid, temporal bone and inner ear procedures","Mastoid, temporal bone and inner ear procedures",3.0,est/swe/lat/ice/fin/nor
054O,"Sinus procedure, short therapy","Sinus procedure, short therapy",3.0,est/swe/lat/ice/fin/nor
054P,"Mastoid, temporal bone and inner ear procedures, short therapy","Mastoid, temporal bone and inner ear procedures, short thera",3.0,est/swe/lat/ice/fin/nor
055O,"Miscellaneous major ear, nose , mouth & throat procedures, short therapy","Miscellaneous major ear, nose , mouth & throat procedures, s",3.0,est/swe/lat/ice/fin/nor
055P,"Other minor ear, nose , mouth & throat procedures, short therapy","Other minor ear, nose , mouth & throat procedures, short the",3.0,est/swe/lat/ice/fin/nor
055X,"Miscellaneous ear, nose , mouth & throat procedures","Miscellaneous ear, nose , mouth & throat procedures",3.0,est/swe/lat/ice/fin/nor
056O,"Rhinoplasty, short therapy","Rhinoplasty, short therapy",3.0,est/swe/lat/ice/fin/nor
056X,Rhinoplasty,Rhinoplasty,3.0,est/swe/lat/ice/fin/nor
057A,Major jaw operations,Major jaw operations,3.0,nor
059N,Operasjoner på tonsiller eller adenoid vev >17 år,,3.0,nor
060N,Tonsilectomy &/or adenoidectomy,Tonsilectomy &/or adenoidectomy,3.0,ice/fin/nor
060O,"Operations on tonsils or adenoids, short therapy","Operations on tonsils or adenoids, short therapy",3.0,est/swe/lat/ice/fin/nor
060X,Tonsillectomy &/or adenoidectomy only ,Tonsillectomy &/or adenoidectomy only ,3.0,est/swe/lat
061A,Insertion of osseous hearing implant/hearing aid,Insertion of osseous hearing implant/hearing aid,3.0,swe
061B,"Insertion of osseous hearing implant/hearing aid, short therapy","Insertion of osseous hearing implant/hearing aid, short therapy",3.0,swe
061C,"Upgrading/connection of transcutaneous osseous hearing implant, complicated, short therapy","Upgrading/connection of transcutaneous osseous hearing implant, complicated, short therapy",3.0,swe
061D,"Upgrading/connection of transcutaneous osseous hearing implant, complicated, short therapy","Upgrading/connection of transcutaneous osseous hearing implant, complicated, short therapy",3.0,swe
063O,"Other major ear, nose, mouth & throat OR procedures, short therapy","Other major ear, nose, mouth & throat OR procedures, short therapy",3.0,est/swe/lat/ice/fin/nor
063X,"Other major ear, nose, mouth & throat OR procedures","Other major ear, nose, mouth & throat OR procedures",3.0,est/swe/lat/ice/fin/nor
064C,"Ear, nose, mouth & throat malignancy, w CC","Ear, nose, mouth & throat malignancy, w CC",3.0,swe
064FA,"Ear, nose, mouth & throat malignancy, radiotherapy","Ear, nose, mouth & throat malignancy, radiotherapy",3.0,fin
064FB,"Ear, nose, mouth & throat malignancy, cytostatic therapy","Ear, nose, mouth & throat malignancy, cytostatic therapy",3.0,fin
064FE,"Ear, nose, mouth & throat malignancy","Ear, nose, mouth & throat malignancy",3.0,fin
064M,"Ear, nose, mouth & throat malignancy, w MCC                                ","Ear, nose, mouth & throat malignancy, w MCC                                ",3.0,swe
064N,"Ear, nose, mouth & throat malignancy, w/o CC","Ear, nose, mouth & throat malignancy, w/o CC",3.0,swe
064O,"Doctor visits for ear, nose, mouth & throat malignancies","Doctor visits for ear, nose, mouth & throat malignancies",3.0,swe
064X,"Ear, nose, mouth & throat malignancy","Ear, nose, mouth & throat malignancy",3.0,est/lat/ice/nor
065C,"Dysequilibrium, w CC","Dysequilibrium, w CC",3.0,swe
065N,"Dysequilibrium, w/o CC","Dysequilibrium, w/o CC",3.0,swe
065O,Doctor visits for dysequilibrium,Doctor visits for dysequilibrium,3.0,swe
065X,Dysequilibrium,Dysequilibrium,3.0,est/lat/ice/fin/nor
066N,Epistaxis,Epistaxis,3.0,swe
066O,Doctor visits for epistaxis,Doctor visits for epistaxis,3.0,swe
066X,Epistaxis,Epistaxis,3.0,est/lat/ice/fin/nor
067X,Epiglottitis,Epiglottitis,3.0,est/swe/lat/ice/fin/nor
068X,"Otitis media & uri, age > 17 w cc","Otitis media & uri, age > 17 w cc",3.0,est/lat/ice/fin/nor
069O,"Otitis media & uri, short therapy","Otitis media & uri, short therapy",3.0,nor
069X,"Otitis media & uri, age > 17 w/o cc","Otitis media & uri, age > 17 w/o cc",3.0,est/lat/ice/fin/nor
070A,"Otitis media & uri, age 0-17, w cc","Otitis media & uri, age 0-17, w cc",3.0,est/lat/ice/fin/nor
070B,"Otitis media & uri, age 0-17, w/o cc","Otitis media & uri, age 0-17, w/o cc",3.0,est/lat/ice/fin/nor
070C,"Otitis media & upper respiratory infections,  w CC ","Otitis media & upper respiratory infections,  w CC ",3.0,swe
070N,"Otitis media & upper respiratory infections,  w/o CC ","Otitis media & upper respiratory infections,  w/o CC ",3.0,swe
070O,Doctor visits for infections in the ears and upper airways,Doctor visits for infections in the ears and upper airways,3.0,swe
071O,Doctor visits for viral croup and laryngothracheitis,Doctor visits for viral croup and laryngothracheitis,3.0,swe
071X,Viral croup and laryngotracheitis,Viral croup and laryngotracheitis,3.0,est/swe/lat/ice/fin/nor
072C,"Nasal trauma & deformity, w CC","Nasal trauma & deformity, w CC",3.0,swe
072N,"Nasal trauma & deformity, w/o CC","Nasal trauma & deformity, w/o CC",3.0,swe
072O,Doctor visits for nasal trauma & deformity,Doctor visits for nasal trauma & deformity,3.0,swe
072X,Nasal trauma & deformity,Nasal trauma & deformity,3.0,est/lat/ice/fin/nor
073C,"Other ear, nose, mouth & throat diagnoses, age > 17, w CC","Other ear, nose, mouth & throat diagnoses, age > 17, w CC",3.0,swe
073N,"Other ear, nose, mouth & throat diagnoses, age  >17, w/o cc","Other ear, nose, mouth & throat diagnoses, age  >17, w/o cc",3.0,swe
073O,"Doctor visits for other ear, nose, mouth & throat diseases, age > 17 ","Doctor visits for other ear, nose, mouth & throat diseases, age > 17 ",3.0,swe
073X,"Other ear, nose, mouth & throat diagnoses age > 17","Other ear, nose, mouth & throat diagnoses age > 17",3.0,est/lat/ice/fin/nor
074O,"Doctor visits for other ear, nose, mouth & throat diseases, age 0-17 ","Doctor visits for other ear, nose, mouth & throat diseases, age 0-17 ",3.0,swe
074X,"Other ear, nose, mouth & throat diagnoses, age 0-17","Other ear, nose, mouth & throat diagnoses, age 0-17",3.0,est/swe/lat/ice/fin/nor
075M,"Major thorax procedures, w MCC","Major thorax procedures, w MCC",3.0,swe
075N,"Major thorax procedures, w/o CC","Major thorax procedures, w/o CC",4.0,swe
075O,"Major thorax procedures, short therapy","Major thorax procedures, short therapy",4.0,est/swe/lat/ice/fin/nor
075X,Major chest procedures,Major chest procedures,4.0,est/lat/ice/fin/nor
076C,"Other respiratory system OR procedures, w CC","Other respiratory system OR procedures, w CC",4.0,swe
076M,"Other respiratory system OR procedures, w MCC","Other respiratory system OR procedures, w MCC",4.0,swe
076X,Other resp system o. r. procedures w cc,Other resp system o. r. procedures w cc,4.0,est/lat/ice/fin/nor
077O,"Other respiratory system OR procedures, short therapy","Other respiratory system OR procedures, short therapy",4.0,est/swe/lat/ice/fin/nor
077X,"Other respiratory system OR procedures, w/o CC","Other respiratory system OR procedures, w/o CC",4.0,est/swe/lat/ice/fin/nor
078C,"Pulmonary embolism,  w CC","Pulmonary embolism,  w CC",4.0,swe
078M,"Pulmonary embolism,  w MCC","Pulmonary embolism,  w MCC",4.0,swe
078N,"Pulmonary embolism, w/o CC","Pulmonary embolism, w/o CC",4.0,swe
078O,Doctor visits for pulmonary embolism,Doctor visits for pulmonary embolism,4.0,swe
078X,Pulmonary embolism,Pulmonary embolism,4.0,est/lat/ice/fin/nor
079X,"Respiratory infections & inflammations, age > 17 w cc","Respiratory infections & inflammations, age > 17 w cc",4.0,est/lat/ice/fin/nor
080C,"Respiratory infections & inflammations, age >17,  w CC","Respiratory infections & inflammations, age >17,  w CC",4.0,swe
080M,"Respiratory infections & inflammations, age >17,  w MCC","Respiratory infections & inflammations, age >17,  w MCC",4.0,swe
080N,"Respiratory infections & inflammations, age  >17, w/o CC","Respiratory infections & inflammations, age  >17, w/o CC",4.0,swe
080O,"Respiratory infections & inflammations,  age >17, short therapy","Respiratory infections & inflammations,  age >17, short therapy",4.0,swe/nor
080X,"Respiratory infections & inflammations, age > 17 w/o cc","Respiratory infections & inflammations, age > 17 w/o cc",4.0,est/lat/ice/fin/nor
081C,"Respiratory infections & inflammations, age 0-17, w CC","Respiratory infections & inflammations, age 0-17, w CC",4.0,swe
081N,"Respiratory infections & inflammations, age 0-17, w/o CC","Respiratory infections & inflammations, age 0-17, w/o CC",4.0,swe
081O,"Doctor visits for respiratory infections & inflammations, age 0-17","Doctor visits for respiratory infections & inflammations, age 0-17",4.0,swe
081X,"Respiratory infections & inflammations, age 0-17","Respiratory infections & inflammations, age 0-17",4.0,est/lat/ice/fin/nor
082C,"Respiratory neoplasms, w CC","Respiratory neoplasms, w CC",4.0,swe
082FA,"Respiratory neoplasms, radiotherapy","Respiratory neoplasms, radiotherapy",4.0,fin
082FB,"Respiratory neoplasms, cytostatic therapy","Respiratory neoplasms, cytostatic therapy",4.0,fin
082FE,Respiratory neoplasms,Respiratory neoplasms,4.0,fin
082M,"Respiratory neoplasms, w MCC","Respiratory neoplasms, w MCC",4.0,swe
082N,"Respiratory neoplasms, w/o CC","Respiratory neoplasms, w/o CC",4.0,swe
082O,"Doctor visits for respiratory neoplasms, short therapy","Doctor visits for respiratory neoplasms, short therapy",4.0,swe/nor
082X,Respiratory neoplasms ,Respiratory neoplasms w/o cc,4.0,est/lat/ice/nor
083C,"Major thorax trauma, w CC","Major thorax trauma, w CC",4.0,swe
083M,"Major thorax trauma, w MCC                            ","Major thorax trauma, w MCC                            ",4.0,swe
083X,Major chest trauma w cc,Major chest trauma w cc,4.0,est/lat/ice/fin/nor
084O,Doctor visits for major thorax trauma,Doctor visits for major thorax trauma,4.0,swe
084X,"Major thorax trauma, w/o CC","Major thorax trauma, w/o CC",4.0,est/swe/lat/ice/fin/nor
085C,"Pleural effusion, w CC","Pleural effusion, w CC",4.0,swe
085M,"Pleural effusion, w MCC","Pleural effusion, w MCC",4.0,swe
085X,Pleural effusion w cc,Pleural effusion w cc,4.0,est/lat/ice/fin/nor
086O,Doctor visits for pleural effusion,Doctor visits for pleural effusion,4.0,swe
