drg_nat,drg_text_nat,drg_text_short_nat,drg_comb,drg_text_comb,drg_text_short_comb,mdc,country
012,Närvisüsteemi degeneratiivsed haigused,Närvisüsteemi degeneratiivsed haigused,012X,Degenerative nervous system disorders,Degenerative nervous system disorders,1,est
013,Polüskleroos ja tserebellaarne ataksia,Polüskleroos ja tserebellaarne ataksia,013X,Multiple sclerosis and cerebellar ataxia,Multiple sclerosis and cerebellar ataxia,1,est
014A,"Spetsiifilised peaajuveresoonte haigused, v.a transitoorse isheemia atakk, trombolüüsita, kht-ga","Spets. peaajuveresoonte haigused, v.a TIA, tromb-ta, kht-ga",014A,"Specific cerebrovascular disorders except TIA, without thrombolysis, with cc","Specific cerebrovascular disorders except TIA, w/o thrombolysis, w cc",1,est
014B,"Spetsiifilised peaajuveresoonte haigused, v.a transitoorse isheemia atakk, trombolüüsita, kht-ta","Spets. peaajuveresoonte haigused, v.a TIA, tromb-ta, kht-ta",014B,"Specific cerebrovascular disorders except TIA, without thrombolysis, without cc","Specific cerebrovascular disorders except TIA, w/o thrombolysis, w/o cc",1,est
014C,"Spetsiifilised peaajuveresoonte haigused, v.a transitoorse isheemia atakk, trombolüüsiga, kht-ta","Spets. peaajuveresoonte haigused, v.a TIA, tromb-ga, kht-ta",014C,"Specific cerebrovascular disorders except TIA, with thrombolysis, w CC","Specific cerebrovascular disorders except TIA, with thrombolysis, w CC",1,est
014D,"Spetsiifilised peaajuveresoonte haigused, v.a transitoorse isheemia atakk, trombolüüsiga, kht-ga","Spets. peaajuveresoonte haigused, v.a TIA, tromb-ga, kht-ga",014D,"Specific cerebrovascular disorders except TIA, with thrombolysis, with cc","Specific cerebrovascular disorders except TIA, w thrombolysis, w cc",1,est
015,Transitoorse isheemia atakk ja ajuväliste veresoonte sulgused,TIA ja ajuväliste veresoonte sulgused,015X,Transient ischemic attac & precerebral occlusions,Transient ischemic attac & precerebral occlusions,1,est
016,"Peaajuveresoonte mittespetsiifilised haigused, kht-ga","Peaajuveresoonte mittespetsiifilised haigused, kht-ga",016X,Nonspecific cerebrovascular disorders w cc,Nonspecific cerebrovascular disorders w cc,1,est
017,"Peaajuveresoonte mittespetsiifilised haigused, kht-ta","Peaajuveresoonte mittespetsiifilised haigused, kht-ta",017X,"Nonspecific cerebrovascular disorders, w/o CC","Nonspecific cerebrovascular disorders, w/o CC",1,est
018,"Kraniaal- ja perifeersete närvide haigused, kht-ga","Kraniaal- ja perifeersete närvide haigused, kht-ga",018X,Cranial & periferal nerve disorders w cc,Cranial & periferal nerve disorders w cc,1,est
019,"Kraniaal- ja perifeersete närvide haigused, kht-ta","Kraniaal- ja perifeersete närvide haigused, kht-ta",019X,"Cranial & peripheral nerve disorders, w/o CC","Cranial & peripheral nerve disorders, w/o CC",1,est
020,"Närvisüsteemi infektsioon, v.a viirusmeningiit","Närvisüsteemi infektsioon, v.a viirusmeningiit",020X,Nervoussystem infection except viral meningitis,Nervoussystem infection except viral meningitis,1,est
021,Viirusmeningiit,Viirusmeningiit,021X,Viral meningitis,Viral meningitis,1,est
023,Mittetraumaatiline stuupor ja kooma,Mittetraumaatiline stuupor ja kooma,023X,Nontraumatic stupor & coma,Nontraumatic stupor & coma,1,est
024,"Krambihood ja peavalu, vanus >17, kht-ga","Krambihood ja peavalu, vanus >17, kht-ga",024X,Seizure & headache age > 17 w cc,Seizure & headache age > 17 w cc,1,est
025,"Krambihood ja peavalu, vanus >17, kht-ta","Krambihood ja peavalu, vanus >17, kht-ta",025X,Seizure & headache age > 17 w/o cc,Seizure & headache age > 17 w/o cc,1,est
026,"Krambihood ja peavalu, vanus 0-17","Krambihood ja peavalu, vanus 0-17",026X,Seizure & headache age 0-17,Seizure & headache age 0-17,1,est
027,Raske traumaatiline ajukahjustus,Raske traumaatiline ajukahjustus,027X,Severe traumatic brain injury,Severe traumatic brain injury,1,est
028,"Traumaatiline ajukahjustus, vanus >17, kht-ga","Traumaatiline ajukahjustus, vanus >17, kht-ga",028X,"Traumatic brain injury, age > 17, with cc","Traumatic brain injury, age > 17, with cc",1,est
029,"Traumaatiline ajukahjustus, vanus >17, kht-ta","Traumaatiline ajukahjustus, vanus >17, kht-ta",029X,"Traumatic brain injury, age > 17, w/o cc","Traumatic brain injury, age > 17, w/o cc",1,est
030,"Traumaatiline ajukahjustus, vanus 0-17","Traumaatiline ajukahjustus, vanus 0-17",030X,"Traumatic brain injury, age 0-17","Traumatic brain injury, age 0-17",1,est
031,"Põrutus, vanus >17, kht-ga","Põrutus, vanus >17, kht-ga",031X,"Concussion, age > 17 w cc","Concussion, age > 17 w cc",1,est
032,"Põrutus, vanus >17, kht-ta","Põrutus, vanus >17, kht-ta",032X,"Concussion, age > 17 w/o cc","Concussion, age > 17 w/o cc",1,est
033,"Põrutus, vanus 0-17","Põrutus, vanus 0-17",033X,"Concussion, age 0-17","Concussion, age 0-17",1,est
034,"Närvisüsteemi muud haigused, kht-ga","Närvisüsteemi muud haigused, kht-ga",034X,Other disorders of nervous system w cc,Other disorders of nervous system w cc,1,est
035,"Närvisüsteemi muud haigused, kht-ta","Närvisüsteemi muud haigused, kht-ta",035X,"Other disorders of the nervous system, w/o CC","Other disorders of the nervous system, w/o CC",1,est
036C,Kiiritusravi protseduur silmal,Kiiritusravi protseduur silmal,036C,Brachytherapy to eye     ,Brachytherapy to eye     ,2,est
036D,Suur operatsioon silmal,Suur op silmal,036D,Major eye procedures,Major eye procedures,2,est
036E,Võrkkesta operatsioonid,Võrkkesta operatsioonid,036E,Retinal procedures,Retinal procedures,2,est
036O,"Võrkkesta operatsioonid, lühike ravi","Võrkkesta opid, lüh.ravi",036O,"Retinal procedures, short therapy","Retinal procedures, short therapy",2,est
036P,"Silma sarvkesta siirdamine,  lühike ravi","Silma sarvkesta siirdamine,  lühike ravi",036P,"Transplantation of cornea, short therapy","Transplantation of cornea, short therapy",2,est
036R,"Laserprotseduur vikerkestal ja eeskambris, lühike ravi","Laserprotseduur vikerkestal ja eeskambris, lühike ravi",036R,"Laser procedures on iris and chamber angle, short therapy         ","Laser procedures on iris and chamber angle, short therapy         ",2,est
036S,"Silma siserõhuga seostud protseduurid, lühike ravi","Silma siserõhuga seostud protseduurid, lühike ravi",036S,"Major procedure on intraocular pressure, short therapy","Major procedure on intraocular pressure, short therapy",2,est
037,Silmakoopa operatsioonid,Silmakoopa opid,037X,Orbital procedures,Orbital procedures,2,est
037O,"Silmakoopa operatsioonid, lühike ravi","Silmakoopa opid, lüh.ravi",037O,"Orbital OR procedures, short therapy","Orbital OR procedures, short therapy",2,est
039,Läätse operatsioonid,Läätse opid,039X,Lens procedures with or without vitrectomy ,Lens procedures with or without vitrectomy ,2,est
039P,"Kahepoolne läätse operatsioon, lühike ravi","Kahepoolne läätse op, lüh.ravi",039P,"Bilateral lens procedures with or without vitrectomy, short therapy","Bilateral lens procedures with or without vitrectomy, short therapy",2,est
039Q,"Ühepoolne läätse operatsioon, lühike ravi","Ühepoolne läätse operatsioon, lühike ravi",039Q,"Unilateral lens procedures with or without vitrectomy, short therapy","Unilateral lens procedures with or without vitrectomy, short therapy",2,est
040X,"Silmavälised protseduurid, v.a. silmakoobas","Silmavälised protseduurid, v.a. silmakoobas",040X,Extraocular procedures except orbit,Extraocular procedures except orbit,2,est
041O,"Muud silmavälised operatsioonid, lühike ravi","Muud silmavälised opid, lüh.ravi",041O,"Extraocular procedures except orbit, short therapy","Extraocular procedures except orbit, short therapy",2,est
041P,"Operatsioonid kõõrdsilmsuse korral, lühike ravi","Opid kõõrdsilmsuse korral, lüh.ravi",041P,"Strabismus surgery, short therapy","Strabismus surgery, short therapy",2,est
042,"Silmasisesed operatsioonid, v.a võrkkestal, vikerkestal ja läätsel","Silmasisesed opid, v.a võrkkestal, vikerkestal ja läätsel",042X,Intraocular procedures except retina and lens,Intraocular procedures except retina and lens,2,est
042P,"Muud silmasisesed protseduurid, lühike ravi","Muud silmasisesed protseduurid, lühike ravi",042P,"Other intraocular procedures except on retina and lens, short therapy","Other intraocular procedures except on retina and lens, short therapy",2,est
043,Hüpheem,Hüpheem,043X,Injury in the eye region ,Injury in the eye region ,2,est
044,Peamised ägedad silmainfektsioonid,Peamised ägedad silmainfektsioonid,044X,Acute major eye infections ,Acute major eye infections ,2,est
045,Neuroloogilised silmahaigused,Neuroloogilised silmahaigused,045X,Neurological eye diseases,Neurological eye diseases,2,est
046,"Muud silmahaigused, vanus >17, kht-ga","Muud silmahaigused, vanus >17, kht-ga",046X,"Other disorders of the eye, age > 17 w cc","Other disorders of the eye, age > 17 w cc",2,est
047,"Muud silmahaigused, vanus >17, kht-ta","Muud silmahaigused, vanus >17, kht-ta",047X,"Other disorders of the eye, age > 17 w/o cc","Other disorders of the eye, age > 17 w/o cc",2,est
048,"Muud silmahaigused, vanus 0-17","Muud silmahaigused, vanus 0-17",048X,"Other disorders of the eye, age 0-17","Other disorders of the eye, age 0-17",2,est
049A,Muud pea ja kaela suured operatsioonid,Muud pea ja kaela suured opid,049A,Other major operations on head and neck,Other major operations on head and neck,3,est
049B,Kohleaarimplantatsioon,Kohleaarimplantatsioon,049B,Insertion of cochlear implant,Insertion of cochlear implant,3,est
050N,Süljenäärme eemaldamine,Süljenäärme eemaldamine,050N,Parotidectomy,Parotidectomy,3,est
051N,"Süljenäärmete operatsioonid, v.a süljenäärmete eemaldamine","Süljenäärmete opid, v.a süljen. eemaldamine",051N,Salivary gland procedures except parotidectomy,Salivary gland procedures except parotidectomy,3,est
051O,"Süljenäärmete operatsioonid, v.a süljenäärmete eemaldamine, lühike ravi","Süljenäärmete opid, v.a süljen. eemaldamine, lüh.ravi",051O,"Salivary gland procedures except paroditectomy, short therapy","Salivary gland procedures except paroditectomy, short therap",3,est
052,Huule- ja suulaelõhede korrektsioon,Huule- ja suulaelõhede korrektsioon,052X,Cleft lip & palate repair,Cleft lip & palate repair,3,est
053A,Nina kõrvalurgete operatsioonid,Nina kõrvalurgete opid,053A,Sinus procedures,Sinus procedures,3,est
053B,"Nibujätke, temporaalluu ja sisekõrva operatsioonid","Nibujätke, temporaalluu ja sisekõrva opid",053B,"Mastoid, temporal bone and inner ear procedures","Mastoid, temporal bone and inner ear procedures",3,est
054O,"Nina kõrvalurgete operatsioonid, lühike ravi","Nina kõrvalurgete opid, lüh.ravi",054O,"Sinus procedure, short therapy","Sinus procedure, short therapy",3,est
054P,"Nibujätke, temporaalluu ja sisekõrva operatsioonid, lühike ravi","Nibujätke, temporaalluu ja sisekõrva opid, lüh.ravi",054P,"Mastoid, temporal bone and inner ear procedures, short therapy","Mastoid, temporal bone and inner ear procedures, short thera",3,est
055,"Kõrva, nina, suu ja kurgu mitmesugused operatsioonid","Kõrva, nina, suu ja kurgu mitmesugused opid",055X,"Miscellaneous ear, nose , mouth & throat procedures","Miscellaneous ear, nose , mouth & throat procedures",3,est
055O,"Kõrva, nina, suu ja kurgu mitmesugused suured operatsioonid, lühike ravi","Kõrva, nina, suu ja kurgu mitmes.suured opid, lüh.ravi",055O,"Miscellaneous major ear, nose , mouth & throat procedures, short therapy","Miscellaneous major ear, nose , mouth & throat procedures, s",3,est
055P,"Kõrva, nina, suu ja kurgu muud väikesed operatsioonid, lühike ravi","Kõrva, nina, suu ja kurgu muud väikesed opid, lüh.ravi",055P,"Other minor ear, nose , mouth & throat procedures, short therapy","Other minor ear, nose , mouth & throat procedures, short the",3,est
056,Ninaplastika,Ninaplastika,056X,Rhinoplasty,Rhinoplasty,3,est
056O,"Ninaplastika, lühike ravi","Ninaplastika, lüh.ravi",056O,"Rhinoplasty, short therapy","Rhinoplasty, short therapy",3,est
060,Kurgu- ja/või ninaneelumandli eemaldamine,"Kurgu- ja/või ninaneelumandli eemaldamine, vanus 0-17",060X,Tonsillectomy &/or adenoidectomy only ,Tonsillectomy &/or adenoidectomy only ,3,est
060O,"Kurgu- ja ninaneelumandlite operatsioonid, lühike ravi","Kurgu- ja ninaneelumandlite opid, lüh.ravi",060O,"Operations on tonsils or adenoids, short therapy","Operations on tonsils or adenoids, short therapy",3,est
063,"Kõrva, nina, suu ja kurgu muud suured operatsioonid","Kõrva, nina, suu ja kurgu muud suured opid",063X,"Other major ear, nose, mouth & throat OR procedures","Other major ear, nose, mouth & throat OR procedures",3,est
063O,"Kõrva, nina, suu ja kurgu muud suured operatsioonid, lühike ravi","Kõrva, nina, suu ja kurgu muud suured opid, lüh.ravi",063O,"Other major ear, nose, mouth & throat OR procedures, short therapy","Other major ear, nose, mouth & throat OR procedures, short therapy",3,est
064,"Kõrva, nina, suu ja kurgu pahaloomulised kasvajad","Kõrva, nina, suu ja kurgu pahaloomulised kasvajad",064X,"Ear, nose, mouth & throat malignancy","Ear, nose, mouth & throat malignancy",3,est
065,Tasakaaluhäired,Tasakaaluhäired,065X,Dysequilibrium,Dysequilibrium,3,est
066,Ninaverejooks,Ninaverejooks,066X,Epistaxis,Epistaxis,3,est
067,Kõripealise põletik,Kõripealise põletik,067X,Epiglottitis,Epiglottitis,3,est
068,"Keskkõrva põletik või ülemiste hingamisteede infektsioon, vanus >17, kht-ga","Keskkõrva põletik või ÜHI, vanus >17, kht-ga",068X,"Otitis media & uri, age > 17 w cc","Otitis media & uri, age > 17 w cc",3,est
069,"Keskkõrva põletik või ülemiste hingamisteede infektsioon, vanus >17, kht-ta","Keskkõrva põletik või ÜHI, vanus >17, kht-ta",069X,"Otitis media & uri, age > 17 w/o cc","Otitis media & uri, age > 17 w/o cc",3,est
070A,"Keskkõrva põletik või ülemiste hingamisteede infektsioon, vanus 0-17, kht-ga","Keskkõrva põletik või ÜHI, vanus 0-17, kht-ga",070A,"Otitis media & uri, age 0-17, w cc","Otitis media & uri, age 0-17, w cc",3,est
070B,"Keskkõrva põletik või ülemiste hingamisteede infektsioon, vanus 0-17, kht-ta","Keskkõrva põletik või ÜHI, vanus 0-17, kht-ta",070B,"Otitis media & uri, age 0-17, w/o cc","Otitis media & uri, age 0-17, w/o cc",3,est
071,Kõri ja hingetoru põletik,Kõri ja hingetoru põletik,071X,Viral croup and laryngotracheitis,Viral croup and laryngotracheitis,3,est
072,Nina traumad ja deformatsioonid,Nina traumad ja deformatsioonid,072X,Nasal trauma & deformity,Nasal trauma & deformity,3,est
073,"Kõrva, nina, suu ja kurgu muud haigused, vanus >17","Kõrva, nina, suu ja kurgu muud haigused, vanus >17",073X,"Other ear, nose, mouth & throat diagnoses age > 17","Other ear, nose, mouth & throat diagnoses age > 17",3,est
074,"Kõrva, nina, suu ja kurgu muud haigused, vanus 0-17","Kõrva, nina, suu ja kurgu muud haigused, vanus 0-17",074X,"Other ear, nose, mouth & throat diagnoses, age 0-17","Other ear, nose, mouth & throat diagnoses, age 0-17",3,est
075,Suured rindkereoperatsioonid,Suured rindkereopid,075X,Major chest procedures,Major chest procedures,4,est
075O,"Suured rindkereoperatsioonid, lühike ravi","Suured rindkereopid, lüh.ravi",075O,"Major thorax procedures, short therapy","Major thorax procedures, short therapy",4,est
076,"Hingamiselundite muud operatsioonid, kht-ga","Hingamiselundite muud opid, kht-ga",076X,Other resp system o. r. procedures w cc,Other resp system o. r. procedures w cc,4,est
077,"Hingamiselundite muud operatsioonid, kht-ta","Hingamiselundite muud opid, kht-ta",077X,"Other respiratory system OR procedures, w/o CC","Other respiratory system OR procedures, w/o CC",4,est
077O,"Hingamiselundite muud operatsioonid, lühike ravi","Hingamiselundite muud opid, lüh.ravi",077O,"Other respiratory system OR procedures, short therapy","Other respiratory system OR procedures, short therapy",4,est
078,Kopsuarteri emboolia,Kopsuarteri emboolia,078X,Pulmonary embolism,Pulmonary embolism,4,est
079,"Hingamisteede infektsioonid ja põletikud, vanus >17, kht-ga","Hing.teede infektsioonid ja põletikud, vanus >17, kht-ga",079X,"Respiratory infections & inflammations, age > 17 w cc","Respiratory infections & inflammations, age > 17 w cc",4,est
080,"Hingamisteede infektsioonid ja põletikud, vanus >17, kht-ta","Hing.teede infektsioonid ja põletikud, vanus >17, kht-ta",080X,"Respiratory infections & inflammations, age > 17 w/o cc","Respiratory infections & inflammations, age > 17 w/o cc",4,est
081,"Hingamisteede infektsioonid ja põletikud, vanus 0-17","Hingamisteede infektsioonid ja põletikud, vanus 0-17",081X,"Respiratory infections & inflammations, age 0-17","Respiratory infections & inflammations, age 0-17",4,est
082,Hingamiselundite kasvajad,Hingamiselundite kasvajad,082X,Respiratory neoplasms ,Respiratory neoplasms w/o cc,4,est
083,"Suured rindkeretraumad, kht-ga","Suured rindkeretraumad, kht-ga",083X,Major chest trauma w cc,Major chest trauma w cc,4,est
084,"Suured rindkeretraumad, kht-ta","Suured rindkeretraumad, kht-ta",084X,"Major thorax trauma, w/o CC","Major thorax trauma, w/o CC",4,est
085,"Vedelik pleuraõõnes, kht-ga","Vedelik pleuraõõnes, kht-ga",085X,Pleural effusion w cc,Pleural effusion w cc,4,est
086,"Vedelik pleuraõõnes, kht-ta","Vedelik pleuraõõnes, kht-ta",086X,"Pleural effusion, w/o CC","Pleural effusion, w/o CC",4,est
087,Kopsuturse ja hingamispuudulikkus,Kopsuturse ja hingamispuudulikkus,087X,Pulmonary edema & respiratory failure,Pulmonary edema & respiratory failure,4,est
088,Krooniline obstruktiivne kopsuhaigus,Krooniline obstruktiivne kopsuhaigus,088X,Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,4,est
089,"Kopsupõletikud ja pleuriidid, vanus >17, kht-ga","Kopsupõletikud ja pleuriidid, vanus >17, kht-ga",089X,"Simple pneumonia & pleurisy, age > 17 w cc","Simple pneumonia & pleurisy, age > 17 w cc",4,est
090,"Kopsupõletikud ja pleuriidid, vanus >17, kht-ta","Kopsupõletikud ja pleuriidid, vanus >17, kht-ta",090X,"Simple pneumonia & pleurisy, age > 17 w/o cc","Simple pneumonia & pleurisy, age > 17 w/o cc",4,est
091A,"Kopsupõletikud ja pleuriidid, vanus 0-17, kht-ga","Kopsupõletikud ja pleuriidid, vanus 0-17, kht-ga",091A,"Simple pneumonia & pleurisy, age 0-17, w cc","Simple pneumonia & pleurisy, age 0-17, w cc",4,est
091B,"Kopsupõletikud ja pleuriidid, vanus 0-17, kht-ta","Kopsupõletikud ja pleuriidid, vanus 0-17, kht-ta",091B,"Simple pneumonia & pleurisy, age 0-17, w/o cc","Simple pneumonia & pleurisy, age 0-17, w/o cc",4,est
092,"Interstitsiaalsed kopsuhaigused, kht-ga","Interstitsiaalsed kopsuhaigused, kht-ga",092X,Interstitial lung disease w cc,Interstitial lung disease w cc,4,est
093,"Interstitsiaalsed kopsuhaigused, kht-ta","Interstitsiaalsed kopsuhaigused, kht-ta",093X,"Interstitial lung disease, w/o CC","Interstitial lung disease, w/o CC",4,est
094,"Õhkrind, kht-ga","Õhkrind, kht-ga",094X,Pneumothorax w cc,Pneumothorax w cc,4,est
095,"Õhkrind, kht-ta","Õhkrind, kht-ta",095X,"Pneumothorax, w/o CC","Pneumothorax, w/o CC",4,est
096,"Bronhiidid ja bronhiaalastma, vanus >17, kht-ga","Bronhiidid ja bronhiaalastma, vanus >17, kht-ga",096X,"Bronchitis & asthma, age > 17 w cc","Bronchitis & asthma, age > 17 w cc",4,est
097,"Bronhiidid ja bronhiaalastma, vanus >17, kht-ta","Bronhiidid ja bronhiaalastma, vanus >17, kht-ta",097X,"Bronchitis & asthma, age > 17 w/o cc","Bronchitis & asthma, age > 17 w/o cc",4,est
098A,"Bronhiidid ja bronhiaalastma, vanus 0-17, kht-ga","Bronhiidid ja bronhiaalastma, vanus 0-17, kht-ga",098A,"Bronchitis & asthma, age 0-17, w cc","Bronchitis & asthma, age 0-17, w cc",4,est
098B,"Bronhiidid ja bronhiaalastma, vanus 0-17, kht-ta","Bronhiidid ja bronhiaalastma, vanus 0-17, kht-ta",098B,"Bronchitis & asthma, age 0-17, w/o cc","Bronchitis & asthma, age 0-17, w/o cc",4,est
099,"Hingamiselunditega seotud haigustunnused ja sümptomid, kht-ga","Hing.elunditega seotud h.tunnused ja sümptomid, kht-ga",099X,Respiratory signs & symtoms w cc,Respiratory signs & symtoms w cc,4,est
100,"Hingamiselunditega seotud haigustunnused ja sümptomid, kht-ta","Hing.elunditega seotud h.tunnused ja sümptomid, kht-ta",100X,Respiratory signs & symtoms w/o cc,Respiratory signs & symtoms w/o cc,4,est
101,"Hingamiselundite muud haigused, kht-ga","Hingamiselundite muud haigused, kht-ga",101X,Other respiratory system diagnoses w cc,Other respiratory system diagnoses w cc,4,est
102,"Hingamiselundite muud haigused, kht-ta","Hingamiselundite muud haigused, kht-ta",102X,Other respiratory system diagnoses w/o cc,Other respiratory system diagnoses w/o cc,4,est
103,Südame siirdamine,Südame siirdamine,103X,Heart transplantation and ventricular assist device,Heart transplantation and ventricular assist device,5,est
104A,Südame ühe klapi operatsioon,Südame ühe klapi op,104A,Single heart valve operations,Single heart valve operations,5,est
104B,"Südameklappide operatsioonid või südame ühe klapi operatsioon, kht-ga","Südameklappide opid või südame ühe klapi op, kht-ga",104B,Multiple heart valve operations or single valve operations w CC,Multiple heart valve operations or single valve operations w,5,est
104D,Perkutaanne südameklapi implanteerimine,Perkutaanne südameklapi implanteerimine,104D,Percutaneous heart valve implantation,Percutaneous heart valve implantation,5,est
104O,"Südameklappide operatsioonid koos südame kateeterdamisega, lühike ravi","Südameklappide opid koos südame kat-ga, lüh.ravi",104O,"Cardiac valve procedures with cardiac catheterization, short therapy","Cardiac valve procedures with cardiac catheterization, short therapy",5,est
107A,Koronaararterite šuntimine ilma südame kateeterdamiseta,Kor.arterite šuntimine ilma südame kateeterdamiseta,107A,Other coronary bypass without cathetherisation,Other coronary bypass without cathetherisation,5,est
107B,Koronaararterite šuntimine koos südame kateeterdamisega,Kor.arterite šuntimine koos südame kateeterdamisega,107B,Other coronary bypass with cathetherization,Other coronary bypass with cathetherization,5,est
107C,Koronaararterite šuntimine koos keerukate operatsioonidega või kht-ga,Kor.arterite šuntimine koos keerukate opidega või kht-ga,107C,Coronary bypass with complex associated procedures or with CC,Coronary bypass with complex associated procedures or with C,5,est
107O,"Koronaararterite šuntimine ilma südame kateeterdamiseta, lühike ravi","Kor.arterite šuntimine ilma südame kat-ta, lüh.ravi",107O,"Coronary bypass without cardiac catheterization, short therapy","Coronary bypass without cardiac catheterization, short therapy",5,est
108,Muud kardiotorakaalsed operatsioonid,Muud kardiotorakaalsed opid,108X,Other cardiothoracic procedures,Other cardiothoracic procedures,5,est
108O,"Muud kardiotorakaalsed operatsioonid, lühike ravi","Muud kardiotorakaalsed opid, lüh.ravi",108O,"Other cardiothoracic procedures, short therapy","Other cardiothoracic procedures, short therapy",5,est
109N,Torakaalaneurüsmi operatsioon,Torakaalaneurüsmi op,109N,OR procedure for thoracic aortic aneurysm,OR procedure for thoracic aortic aneurysm,5,est
110,"Suured kardiovaskulaarsed operatsioonid, kht-ga","Suured kardiovaskulaarsed opid, kht-ga",110X,Major cardiovascular procedures w cc,Major cardiovascular procedures w cc,5,est
111,"Suured kardiovaskulaarsed operatsioonid, kht-ta","Suured kardiovaskulaarsed opid, kht-ta",111X,"Major cardiovascular procedures, w/o CC","Major cardiovascular procedures, w/o CC",5,est
111O,"Suured kardiovaskulaarsed operatsioonid, lühike ravi","Suured kardiovaskulaarsed opid, lüh.ravi",111O,"Major cardiovascular procedures, short therapy","Major cardiovascular procedures, short therapy",5,est
112A,Muud perkutaansed kardiovaskulaarsed protseduurid,Muud perkutaansed k/v protseduurid,112A,Other percutaneous cardiovascular procedures and hyperthermic perfusion ,Other percutaneous cardiovascular procedures and hyperthermic perfusion ,5,est
112B,Perkutaanne ablatsioon südamearütmia puhul,Perkutaanne ablatsioon südamearütmia puhul,112B,Percutaneuous ablations for cardiac arrhytmia,Percutaneuous ablations for cardiac arrhytmia,5,est
