code_plus,text_plus,nat_ver
_1BC04,Inactivated at 31.12.2021 - C01BC04 -,
_1BC05,Inactivated at 31.12.2021 - L01BC05 -,
_1BC06,Inactivated at 31.12.2021 - L01BC06 -,
_1BC07,Inactivated at 31.12.2021 - C01BC07 -,
_1BC08,Inactivated at 31.12.2021 - Decitabine,
_1BC52,Inactivated at 31.12.2021 - L01BC52 -,
_1BC53,Inactivated at 31.12.2021 - L01BC53 -,
_1BD01,Inactivated at 31.12.2021 - 1BD01ZX120,
_1BG11,Inactivated at 31.12.2021 - Brinavess 12 ml inj,
_1BX04,Inactivated at 31.12.2021 - Capsaicin,
_1CA01,"Inactivated at 31.12.2021 - Velbe, vinblastin",
_1CA04,Inactivated at 31.12.2021 - C01CA04 -,
_1CB02,Inactivated at 31.12.2021 - H01CB02 -,
_1CB03,Inactivated at 31.12.2021 - Somatuline autogel,
_1CD01,Inactivated at 31.12.2021 - L01CD01 -,
_1CD02,Inactivated at 31.12.2021 - L01CD02 -,
_1CD04,Inactivated at 31.12.2021 - Jevtana (kabatsitakseli) lääkeannos laskimoon,
_1CX01,Inactivated at 31.12.2021 - L01CX01 -,
_1CX08,Inactivated at 31.12.2021 - C01CX08 -,
_1DB02,Inactivated at 31.12.2021 - J01DB02 -,
_1DB03,Inactivated at 31.12.2021 - J01DB03 -,
_1DB04,Inactivated at 31.12.2021 - J01DB04 -,
_1DB05,Inactivated at 31.12.2021 - J01DB05 -,
_1DB06,Inactivated at 31.12.2021 - J01DB06 -,
_1DB07,Inactivated at 31.12.2021 - J01DB07 -,
_1DB08,Inactivated at 31.12.2021 - J01DB08 -,
_1DB09,Inactivated at 31.12.2021 - J01DB09 -,
_1DC01,Inactivated at 31.12.2021 - J01DC01 -,
_1DC02,Inactivated at 31.12.2021 - J01DC02 -,
_1DC03,Inactivated at 31.12.2021 - J01DC03 -,
_1DH02,Inactivated at 31.12.2021 - J01DH02 -,
_1DH03,Inactivated at 31.12.2021 - J01DH03 -,
_1DH04,Inactivated at 31.12.2021 - xx1DH04 -,
_1DH51,Inactivated at 31.12.2021 - J01DH51 -,
_1DX19,Inactivated at 31.12.2021 - C01DX19 -,
_1EA01,Inactivated at 31.12.2021 - Prostivas 0.5mg amp keskuslaskimokatetriin tai Pro,
_1EB16,Inactivated at 31.12.2021 - Pedea 5mg amp. laskimoon,
_1EB19,Inactivated at 31.12.2021 - xx1EB19 -,
_1LA01,Inactivated at 31.12.2021 - Behandling med legemiddel S01LA01 (Verteporfin),
_1LA04,Inactivated at 31.12.2021 - Behandling med legemiddel S01LA04 (Ranibizumab),
_1LA05,Inactivated at 31.12.2021 - Aflibercept,
_1XA03,Inactivated at 31.12.2021 - L01XA03 -,
_1XA22,Inactivated at 31.12.2021 - Behandling med legemiddel S01XA22 (Okriplasmin),
_1XC01,Inactivated at 31.12.2021 - J01XC01 -,
_1XC02,Inactivated at 31.12.2021 - Behandling med legemiddel L01XC02 (Rituximab),
_1XC03,Inactivated at 31.12.2021 - Behandling med legemiddel L01XC03 (Trastuzumab),
_1XC04,Inactivated at 31.12.2021 - Behandling med legemiddel L01XC04 (Alemtuzumab),
_1XC05,Inactivated at 31.12.2021 - L01XC05 -,
_1XC06,Inactivated at 31.12.2021 - L01XC06 -,
_1XC07,Inactivated at 31.12.2021 - Behandling med legemiddel L01XC07 (Bevacizumab),
_1XC08,Inactivated at 31.12.2021 - L01XC08 -,
_1XC10,Inactivated at 31.12.2021 - Ofatumumab,
_1XC11,Inactivated at 31.12.2021 - Ipilimumab,
_1XC12,Inactivated at 31.12.2021 - L01XC12,
_1XC13,Inactivated at 31.12.2021 - L01XC13,
_1XC15,Inactivated at 31.12.2021 - L01XC15,
_1XC16,Inactivated at 31.12.2021 - Quarziba (dinutuksimab),
_1XC17,Inactivated at 31.12.2021 - L01XC17,
_1XC18,Inactivated at 31.12.2021 - L01XC18,
_1XC32,Inactivated at 31.12.2021 - Atezolizumab,
_1XD04,Inactivated at 31.12.2021 - L01XD04 -,
_1XD05,Inactivated at 31.12.2021 - L01XD05 -,
_1XD06,Inactivated at 31.12.2021 - L01XD06 -,
_1XE01,Inactivated at 31.12.2021 - J01XE01 -,
_1XE04,Inactivated at 31.12.2021 - L01XE04 -,
_1XE05,Inactivated at 31.12.2021 - L01XE05 -,
_1XE06,Inactivated at 31.12.2021 - Sprycel 50 mg tbl suun kautta,
_1XE12,Inactivated at 31.12.2021 - Vandetanib,
_1XE15,Inactivated at 31.12.2021 - Vemurafenib,
_1XE18,Inactivated at 31.12.2021 - Ruxolitinib,
_1XE21,Inactivated at 31.12.2021 - Regorafenib,
_1XE23,Inactivated at 31.12.2021 - Treatment with Dabrafenig (L01XE23),
_1XE25,Inactivated at 31.12.2021 - L01XE25,
_1XE27,Inactivated at 31.12.2021 - L01XE27,
_1XE39,Inactivated at 31.12.2021 - Midostaurin,
_1XX02,Inactivated at 31.12.2021 - Behandling med studiemedikament i LUCAS-studien,
_1XX08,Inactivated at 31.12.2021 - J01XX08 -,
_1XX09,Inactivated at 31.12.2021 - J01XX09 -,
_1XX0N,Inactivated at 31.12.2021 - XX1XX0N,
_1XX10,Inactivated at 31.12.2021 - L01XX10 -,
_1XX11,Inactivated at 31.12.2021 - L01XX11 -,
_1XX14,Inactivated at 31.12.2021 - L01XX14 -,
_1XX16,Inactivated at 31.12.2021 - L01XX16 -,
_1XX17,Inactivated at 31.12.2021 - L01XX17 -,
_1XX18,Inactivated at 31.12.2021 - L01XX18 -,
_1XX19,Inactivated at 31.12.2021 - L01XX19 -,
_1XX22,Inactivated at 31.12.2021 - L01XX22 -,
_1XX23,Inactivated at 31.12.2021 - L01XX23 -,
_1XX24,Inactivated at 31.12.2021 - L01XX24 -,
_1XX25,Inactivated at 31.12.2021 - L01XX25 -,
_1XX27,Inactivated at 31.12.2021 - L01XX27 -,
_1XX28,Inactivated at 31.12.2021 - xx1XX28 -,
_1XX29,Inactivated at 31.12.2021 - L01XX29 -,
_1XX31,Inactivated at 31.12.2021 - xx1XX31 -,
_1XX32,Inactivated at 31.12.2021 - L01XX32 -,
_1XX33,Inactivated at 31.12.2021 - L01XX33 -,
_1XX34,Inactivated at 31.12.2021 - xx1XX34 -,
_1XX35,Inactivated at 31.12.2021 - L01XX35 -,
_1XX41,Inactivated at 31.12.2021 - Eribuliin - L01XX41,
_1XX44,Inactivated at 31.12.2021 - Aflibercept - L01XX44,
_1XX46,Inactivated at 31.12.2021 - L01XX46,
_1XX47,Inactivated at 31.12.2021 - L01XX47,
_1XX52,Inactivated at 31.12.2021 - Venetoclax,
_2AA01,Inactivated at 31.12.2021 - A02AA01 -,
_2AB02,Inactivated at 31.12.2021 - Prolastina 1000 mg laskimoon (alfa-1-proteinaasiestäjä),
_2AB04,Inactivated at 31.12.2021 - Kortisonipulssihoito,
_2AC03,Inactivated at 31.12.2021 - J02AC03 -,
_2AC04,Inactivated at 31.12.2021 - C02AC04 -,
_2AE01,Inactivated at 31.12.2021 - D02AE01 -,
_2AE02,Inactivated at 31.12.2021 - L02AE02 -,
_2AX04,Inactivated at 31.12.2021 - J02AX04 -,
_2AX05,Inactivated at 31.12.2021 - J02AX05 -,
_2AX06,Inactivated at 31.12.2021 - J02AX06 -,
_2BB01,Inactivated at 31.12.2021 - B02BB01,
_2BB04,Inactivated at 31.12.2021 - Treatment with Enzalutamid (L02BB04),
_2BC30,Inactivated at 31.12.2021 - Tachosil lääketyyny,
_2BD01,Inactivated at 31.12.2021 - _2BD01 -,
_2BD02,"Inactivated at 31.12.2021 - Lansoprazole, tetracycline and metronidazole - A02BD02",
_2BD03,Inactivated at 31.12.2021 - _2BD03 -,
_2BD04,Inactivated at 31.12.2021 - _2BD04 -,
_2BD06,Inactivated at 31.12.2021 - _2BD06 -,
_2BD07,Inactivated at 31.12.2021 - B02BD07 -,
_2BD08,Inactivated at 31.12.2021 - Coagulation factor VIIa - B02BD08,
_2BD09,Inactivated at 31.12.2021 - B02BD09 -,
_2BD10,Inactivated at 31.12.2021 - Von Willebrand factor concentrate,
_2BD11,Inactivated at 31.12.2021 - B02BD11,
_2BDXX,Inactivated at 31.12.2021 - Von Willebrand factor,
_2BX03,Inactivated at 31.12.2021 - Treatment with Abirateronacetat (L02BX03),
_2BX04,"Inactivated at 31.12.2021 - Nplate (romiplostiimi, subcutis)",
_2CX01,Inactivated at 31.12.2021 - G02CX01 -,
_2KX01,Inactivated at 31.12.2021 - C02KX01,
_2KX02,Inactivated at 31.12.2021 - C02KX02,
_2KX04,Inactivated at 31.12.2021 - C02KX04,
_2KX05,Inactivated at 31.12.2021 - C02KX05,
_3A002,"Inactivated at 31.12.2021 - Octagam 50mg/ml 100ml (=5g)(Immunoglobuliini, iv",
_3A006,Inactivated at 31.12.2021 - Cancidas 70 mg (kaspofungiini),
_3A007,Inactivated at 31.12.2021 - Xigris 20 mg (drotrekogiini alfa),
_3A010,Inactivated at 31.12.2021 - Osigraft 3.3mg impl.ka 1 inj.plo (BMP-7),
_3A012,Inactivated at 31.12.2021 - Inductos 12mg (dibotermiini alfa),
_3A013,Inactivated at 31.12.2021 - Humira 40mg 0.8ml (adalimumabi),
_3A019,Inactivated at 31.12.2021 - Nanogam 50 mg/ml 400 ml (immunoglobuliini),
_3A021,"Inactivated at 31.12.2021 - Nonafact 1000IU inj.ka+sol, Nonafact lääkeannos laskimoon",
_3A022,Inactivated at 31.12.2021 - Ambisome 50mg inf.ka 1inj.plo (amfoterisiini),
_3A023,"Inactivated at 31.12.2021 - Kiovig 100mg/ml 10ml (=1g)(Immunoglobuliini, iv)",
_3A034,"Inactivated at 31.12.2021 - Privigen 100mg/ml 25ml (=2.5g)(Immunoglobuliini, iv",
_3A045,Inactivated at 31.12.2021 - Mabthera 100mg 10ml inf.kons (Rituksimabi),
_3A059,Inactivated at 31.12.2021 - Ecalta 100mg inf.ka (Anidulafungiini),
_3A063,Inactivated at 31.12.2021 - Remicade 100mg inf.ka (Infliksimabi),
_3A064,Inactivated at 31.12.2021 - Octaplex 500IU (tekijä IX) inj.ka + liuotin 20ml 1 inj.plo,
_3A073,Inactivated at 31.12.2021 - Wilfactin 1000 IU (von Willebrandt-tekijä),
_3A075,Inactivated at 31.12.2021 - Benefix 500 IU (hyytymistekijä IX),
_3A077,Inactivated at 31.12.2021 - Cofact 500 IU (protombiibikompleksi),
_3A095,Refacto AF 250IU inj.ka (hyytymistekijä VIII),
_3A109,Inactivated at 31.12.2021 - Deflux 1 ml,
_3A111,Inactivated at 31.12.2021 - Haemocomplettan 1g (fibrinogeeni),
_3A118,Inactivated at 31.12.2021 - Cofact 250 IU (protombiibikompleksi),
_3A125,Inactivated at 31.12.2021 - Vistide 75mg/ml 5ml inf.kons (Sidofoviiri),
_3A126,"Inactivated at 31.12.2021 - Privigen 100mg/ml 50ml (=5g)Immunoglobuliini, iv",
_3A129,Novoseven 1 mg (aktivoitua rekombinantti hyytymistekijä VII),
_3A146,Inactivated at 31.12.2021 - Icatibant,
_3A149,Inactivated at 31.12.2021 - Haemate 500 IU (von Willebrandt-tekijä+hyytymistekijä VII),
_3A158,Inactivated at 31.12.2021 - Mycamine 50mg inf.ka (Mikafungiini),
_3A168,Inactivated at 31.12.2021 - Human C1 esterase inhibitor,
_3A176,Inactivated at 31.12.2021 - Cebitor 100U (C1-esteraasiestäjä) laskimoon,
_3A192,"Inactivated at 31.12.2021 - Ozurdex 700 microg implantti silmän lasiaiseen, muu reitti",
_3A197,Inactivated at 31.12.2021 - Feiba 1000 IU,
_3A201,Inactivated at 31.12.2021 - Dantrium 20 mg (dantroleeni),
_3A245,"Inactivated at 31.12.2021 - ATG-Fresenius 20mg/ml 5ml inj.neste (3607104), ATG-Fresenius",
_3A310,Inactivated at 31.12.2021 - Dantrolen 20 mg (dantroleeni),
_3A332,Inactivated at 31.12.2021 - Precedex 100 microg/ml 2 ml inf.kons,
_3A376,Inactivated at 31.12.2021 - Dabigatran,
_3A379,Inactivated at 31.12.2021 - Sandostatin LAR 10 mg inj.ka+sol (Oktreotidi),
_3A387,Inactivated at 31.12.2021 - Abelcet 100 mg (amfoterisiini B),
_3A389,Inactivated at 31.12.2021 - Antithrombin III,
_3A407,"Inactivated at 31.12.2021 - Coagulation Factor VIIa, recombinant human",
_3A422,Inactivated at 31.12.2021 - Human fibriinogen,
_3A453,Inactivated at 31.12.2021 - Human plasma coagulation factor XIII,
_3A460,Inactivated at 31.12.2021 - Orthoclone OKT 3 1mg/ml 5ml inj.neste (Muromonabi-CD3),
_3A476,Inactivated at 31.12.2021 - Argatroban,
_3A500,Inactivated at 31.12.2021 - Recombinate 250IU inj.ka(hyytymistekijä VIII),
_3A522,Inactivated at 31.12.2021 - Simulect 20mg inf.ka (Basiliksimabi),
_3A559,"Inactivated at 31.12.2021 - Gammagard S/D 2.5g (Immunoglobuliini, iv)",
_3A560,Inactivated at 31.12.2021 - Simdax 12.5 mg (levosimendaani),
_3A566,"Inactivated at 31.12.2021 - Simdax 12,5 mg laskimoon",
_3A938,Inactivated at 31.12.2021 - Fibrinogammin 1250 IU (hyytymistekijä XIII),
_3A969,Inactivated at 31.12.2021 - Cetor 500 IU (C1-esteraasiestäjä),
_3A973,Inactivated at 31.12.2021 - Fibrinogammin 250 IU (hyytymistekijä XIII),
_3A979,Inactivated at 31.12.2021 - Lioresal Intrathecal 2mg/ml 5 ml inj (Baklofeeni),
_3AA02,Inactivated at 31.12.2021 - _3AA02 -,
_3AA13,Inactivated at 31.12.2021 - _3AA13 -,
_3AA14,Inactivated at 31.12.2021 - L03AA14,
_3AB03,Inactivated at 31.12.2021 - Imukin  0.5ml ihon alle,
_3AB05,Inactivated at 31.12.2021 - A03AB05 -,
_3AB07,Inactivated at 31.12.2021 - L03AB07,
_3AB08,Inactivated at 31.12.2021 - Behandling med legemiddel L03AB08 (Interferon beta-1b),
_3AB13,Inactivated at 31.12.2021 - L03AB13,
_3AB24,Inactivated at 31.12.2021 - Digoxin-specific antibody,
_3AB33,Inactivated at 31.12.2021 - Hydroxocobalamin (vitamin B12a),
_3AB34,Inactivated at 31.12.2021 - V03AB34 -,
_3AB37,Inactivated at 31.12.2021 - Dabigatran,
_3AC01,Inactivated at 31.12.2021 - Ferinject 50mg,
_3AE00,Inactivated at 31.12.2021 - Aprotinin (aprotiniini) 50 ml,
_3AF02,Inactivated at 31.12.2021 - N03AF02 -,
_3AF07,Inactivated at 31.12.2021 - Fasturtec (rasburikaasi) laskimoon,
_3AF08,Inactivated at 31.12.2021 - V03AF08 -,
_3AF09,Inactivated at 31.12.2021 - V03AF09 -,
_3AX01,Inactivated at 31.12.2021 - A03AX01 -,
_3AX03,Inactivated at 31.12.2021 - A03AX03 -,
_3AX05,Inactivated at 31.12.2021 - A03AX05 -,
_3AX13,Inactivated at 31.12.2021 - Behandling med legemiddel L03AX13 (Glatirameracetat),
_3AX16,"Inactivated at 31.12.2021 - Mozobil 20mg/ml 1,2ml",
_3BA03,Inactivated at 31.12.2021 - A03BA03 -,
_3BX01,Inactivated at 31.12.2021 - H03BX01 -,
_3CA01,Inactivated at 31.12.2021 - Dantrium lääkeannos laskimoon (dantroleeni),
_3DX05,Inactivated at 31.12.2021 - R03DX05 -,
_3DX08,Inactivated at 31.12.2021 - Reslizumab,
_3DX09,Inactivated at 31.12.2021 - Mepolizumab,
_3DX10,Inactivated at 31.12.2021 - Benralizumab,
_3XA01,Inactivated at 31.12.2021 - B03XA01,
_3XA02,Inactivated at 31.12.2021 - B03XA02 -,
_3XA03,Inactivated at 31.12.2021 - B03XA03,
_4AA01,Inactivated at 31.12.2021 - A04AA01 -,
_4AA02,Inactivated at 31.12.2021 - A04AA02 -,
_4AA03,Inactivated at 31.12.2021 - 4AA03 Lymphoglobulin  100 mg,
_4AA04,Inactivated at 31.12.2021 - A04AA04 -,
_4AA08,Inactivated at 31.12.2021 - A14AA08 -,
_4AA09,Inactivated at 31.12.2021 - A14AA09 -,
_4AA11,Inactivated at 31.12.2021 - L04AA11 -,
_4AA12,Inactivated at 31.12.2021 - D04AA12 -,
_4AA13,L04AA13,
_4AA17,Inactivated at 31.12.2021 - L04AA17 -,
_4AA18,Inactivated at 31.12.2021 - Everolimus,
_4AA21,Inactivated at 31.12.2021 - Behandling med legemiddel L04AA21 (Efalizumab),
_4AA23,Inactivated at 31.12.2021 - L04AA23,
_4AA24,Inactivated at 31.12.2021 - L04AA24,
_4AA25,Inactivated at 31.12.2021 - Ekulitsumabi,
_4AA26,Inactivated at 31.12.2021 - L04AA26,
_4AA27,Inactivated at 31.12.2021 - L04AA27,
_4AA29,L04AA29,
_4AA31,Inactivated at 31.12.2021 - L04AA31,
_4AA32,Treatment with L04AA32 (Apremilast),
_4AA33,Inactivated at 31.12.2021 - Treatment with L04AA33 (Vedolizumab),
_4AA34,Inactivated at 31.12.2021 - Alemtuzumab,
_4AA36,Inactivated at 31.12.2021 - Ocrelizumab,
_4AA37,Inactivated at 31.12.2021 - Barisitinib,
_4AAX4,Inactivated at 31.12.2021 - Anti-human T-lymphocyte immunoglobulin (Grafalon),
_4AB01,Inactivated at 31.12.2021 - L04AB01,
_4AB02,Inactivated at 31.12.2021 - Ethylestrenol  - L04AB02,
_4AB04,Inactivated at 31.12.2021 - L04AB04,
_4AB05,Inactivated at 31.12.2021 - L04AB05,
_4AB06,Inactivated at 31.12.2021 - L04AB06,
_4AC03,Inactivated at 31.12.2021 - L04AC03,
_4AC05,Inactivated at 31.12.2021 - L04AC05,
_4AC06,Inactivated at 31.12.2021 - Mepolitsumabi,
_4AC07,Inactivated at 31.12.2021 - L04AC07,
_4AC10,Inactivated at 31.12.2021 - L04AC10,
_4AX02,Inactivated at 31.12.2021 - C04AX02 -,
_4AX04,Inactivated at 31.12.2021 - L04AX04 -,
_4BA02,Inactivated at 31.12.2021 - J04BA02 -,
_4BE03,Inactivated at 31.12.2021 - G04BE03,
_4BE08,Inactivated at 31.12.2021 - G04BE08,
_4CJ01,Inactivated at 31.12.2021 - V04CJ01 -,
_4CX01,Inactivated at 31.12.2021 - Indocyanine green,
_5AB01,Inactivated at 31.12.2021 - A05AB01 -,
_5AB02,Inactivated at 31.12.2021 - J05AB02 -,
_5AB04,Inactivated at 31.12.2021 - J05AB04 -,
_5AB12,Inactivated at 31.12.2021 - J05AB12 -,
_5AB14,Inactivated at 31.12.2021 - J05AB14 -,
_5AB15,Inactivated at 31.12.2021 - J05AB15 -,
_5AD01,Inactivated at 31.12.2021 - C05AD01 -,
_5AE14,Inactivated at 31.12.2021 - J05AE14 -,
_5AH01,Inactivated at 31.12.2021 - Relenza-inhalation powder,
_5AH02,Inactivated at 31.12.2021 - Tamiflu,
_5AP51,Inactivated at 31.12.2021 - Sofosbuvir and ledipasvir,
_5AX14,Inactivated at 31.12.2021 - J05AX14,
_5AX15,Inactivated at 31.12.2021 - J05AX15,
_5AX16,Inactivated at 31.12.2021 - Behandling med legemiddel J05AX16 (Dasabuvir),
_5AX65,Inactivated at 31.12.2021 - J05AX65,
_5AX67,Inactivated at 31.12.2021 - J05AX67,
_5BA03,"Inactivated at 31.12.2021 - PAMIFOS, 3mg/ml, 10 ml",
_5BA06,Inactivated at 31.12.2021 - A05BA06 -,
_5BA08,Inactivated at 31.12.2021 - M05BA08 -,
_5BC01,Inactivated at 31.12.2021 - B05BC01 -,
_5BC02,Inactivated at 31.12.2021 - B05BC02 -,
_5BX01,Inactivated at 31.12.2021 - C05BX01 -,
_5BX04,Inactivated at 31.12.2021 - Treatment with Denosumab (M05BX04),
_5CM18,Inactivated at 31.12.2021 - N05CM18 -,
_5VM18,Inactivated at 31.12.2021 - XX5VM18,
_6AA03,Inactivated at 31.12.2021 - A16AA03 -,
_6AB02,Inactivated at 31.12.2021 - A06AB02 -,
_6AB03,Inactivated at 31.12.2021 - A06AB03 -,
_6AB04,Inactivated at 31.12.2021 - A06AB04 -,
_6AB05,Inactivated at 31.12.2021 - Laronidase,
_6AB07,Inactivated at 31.12.2021 - A06AB07 -,
_6AB09,Inactivated at 31.12.2021 - Elaprase 3mg/ml,
_6AB10,Inactivated at 31.12.2021 - Velaglucerase alfa (VPRIV),
_6AB13,Inactivated at 31.12.2021 - Asfotase alfa (Strensiq),
_6AC01,Inactivated at 31.12.2021 - C1-esterase inhibitor,
_6AC02,Inactivated at 31.12.2021 - Icatibant (Firazyr),
_6AX04,Inactivated at 31.12.2021 - A16AX04 -,
_6AX06,Inactivated at 31.12.2021 - Zavesca  (miglustaatti),
_6BA01,Inactivated at 31.12.2021 - D06BA01 -,
_6BA02,Inactivated at 31.12.2021 - Behandling med legemiddel J06BA02 (humant normalt immunglobulin),
_6BB03,Inactivated at 31.12.2021 - Variguin 100IU/ml,
_6BB04,Inactivated at 31.12.2021 - D06BB04 -,
_6BB05,Inactivated at 31.12.2021 - D06BB05 -,
_6BB16,Inactivated at 31.12.2021 - J06BB16 -,
_6BB21,Inactivated at 31.12.2021 - Bezlotoxumab,
_6BCXX,Inactivated at 31.12.2021 - Anti-human-T-lymphocyte immunoglobulin,
_7AA02,Inactivated at 31.12.2021 - Poractant alfa (Curosurf),
_7AX01,Inactivated at 31.12.2021 - Nitrogen oxide for inhalaaion,
_7XX09,Inactivated at 31.12.2021 - Behandling med legemiddel N07XX09 (dimethyl fumarat),
_7XX10,Behandling med legemiddel N07XX10 (laquinimod),
_9AB02,Inactivated at 31.12.2021 - Collagenase Clostridium histolyticum,
_9AX01,Inactivated at 31.12.2021 - Hyaluronate (Hyalgan),
_9AX07,Inactivated at 31.12.2021 - Nusinersen,
_A16AX,Inactivated at 31.12.2021 - Ammonul injection 10% 50 ml,
_AX01Z,Inactivated at 31.12.2021 - Defibrotide,
_B02BC,Inactivated at 31.12.2021 - Fibrinogen and thrombin for locall haemosthasis (Evicel),
_B06AB,Inactivated at 31.12.2021 - Human hemin,
_CTL09,Inactivated at 31.12.2021 - Tisagenlecleucel,
_G04BX,Inactivated at 31.12.2021 - Deflux-geeli,
_GO4BX,Inactivated at 31.12.2021 - GO4BX Cystistat annos virtsarakkoon,
_L01XC,Inactivated at 31.12.2021 - L01XCZX120,
A01AA,Caries prophylactic agents,est/swe/lat/ice/den
A01AA01,Sodium fluoride,fin/swe
A01AA02,Sodium monofluorophosphate,fin/swe
A01AA03,Olaflur,fin/swe
A01AA04,Stannous fluoride,fin/swe
A01AA30,Combinations,fin/swe
A01AA51,"Sodium fluoride, combinations",fin/swe
A01AB,Antiinfectives and antiseptics for local oral treatment,est/swe/lat/ice/den
A01AB02,Hydrogen peroxide,fin/swe
A01AB03,Chlorhexidine,fin/swe
A01AB04,Amphotericin B,fin/swe
A01AB05,Polynoxylin,fin/swe
A01AB06,Domiphen,fin/swe
A01AB07,Oxyquinoline,fin/swe
A01AB08,Neomycin,fin/swe
A01AB09,Miconazole,fin/swe
A01AB10,Natamycin,fin/swe
A01AB11,Various,fin/swe
A01AB12,Hexetidine,fin/swe
A01AB13,Tetracycline,fin/swe
A01AB14,Benzoxonium chloride,fin/swe
A01AB15,Tibezonium iodide,fin/swe
A01AB16,Mepartricin,fin/swe
A01AB17,Metronidazole,fin/swe
A01AB18,Clotrimazole,fin/swe
A01AB19,Sodium perborate,fin/swe
A01AB21,Chlortetracycline,fin/swe
A01AB22,Doxycycline,fin/swe
A01AB23,Minocycline,fin/swe
A01AC,Corticosteroids for local oral treatment,est/swe/lat/ice/den
A01AC01,Triamcinolone,fin/swe
A01AC02,Dexamethasone,fin/swe
A01AC03,Hydrocortisone,fin/swe
A01AC54,"Prednisolone, combinations",fin/swe
A01AD,Other agents for local oral treatment,est/swe/lat/ice/den
A01AD01,Epinephrine,fin/swe
A01AD02,Benzydamine,fin/swe
A01AD05,Acetylsalicylic acid,fin/swe
A01AD06,Adrenalone,fin/swe
A01AD07,Amlexanox,fin/swe
A01AD08,Becaplermin,fin/swe
A01AD11,Various,fin/swe
A02AA,Magnesium compounds,est/swe/lat/ice/den
A02AA01,Magnesium carbonate,fin/swe
A02AA02,Magnesium oxide,fin/swe
A02AA03,Magnesium peroxide,fin/swe
A02AA04,Magnesium hydroxide,fin/swe
A02AA05,Magnesium silicate,fin/swe
A02AA10,Combinations,fin/swe
A02AB,Aluminium compounds,est/swe/lat/ice/den
A02AB01,Aluminium hydroxide,fin/swe
A02AB02,Algeldrate,fin/swe
A02AB03,Aluminium phosphate,fin/swe
A02AB04,Dihydroxialumini sodium carbonate,fin/swe
A02AB05,Aluminium acetoacetate,fin/swe
A02AB06,Aloglutamol,fin/swe
A02AB07,Aluminium glycinate,fin/swe
A02AB10,Combinations,fin/swe
A02AC,Calcium compounds,est/swe/lat/ice/den
A02AC01,Calcium carbonate,fin/swe
A02AC02,Calcium silicate,fin/swe
A02AC10,Combinations,fin/swe
