ord,id,drg_comb,rtc,icd,mdc,dgcat,pdgprop,compl,or_proc,procpro,secpro,dgprop1,dgprop2,dgprop3,dgprop4,agelim,sex,dur,disch,nat_ver
1400,#00D000140,Z78R,9,+,,,,,S,14S01,,99X50,14X31,,,,,<1,N,swe
1440,#00D000144,P05S,0,+,,,14P01,,,,,99X50,50X55,,,,,<1,N,swe
1450,#00D000145,P05S,0,+,,,14P01,1.0,,,,99X50,,,,,,<1,N,swe
1500,#00D000150,P05T,0,+,,,14P01,,,,,99X50,,,,,,<1,N,swe
1650,#00D000165,C70R,0,+,3.0,,,,P,03E01,,99X50,,,,,,<1,N,swe
1700,#00D000170,C70R,0,+,3.0,,,,,03E01,,99X50,00X10,,,,,<1,N,swe
1750,#00D000175,Z60R,7,+,5.0,,,,S,05S21,,99X50,,,,,,<1,N,swe
1800,#00D000180,F68R,0,+,6.0,,,,P,06E08,,99X50,,,,,,<1,N,swe
1850,#00D000185,M32R,0,+,11.0,11M02,,,,,,99X50,,,,,,<1,N,swe
1910,#00D000191,M32R,0,+,11.0,,,,,11S09,,99X50,,,,,,<1,N,swe
1930,#00D000192,M32R,0,+,,,11P01,,,11S09,,99X50,,,,,,<1,N,swe
1950,#00D000195,N20R,0,+,12.0,,,,S,12S05,,99X50,,,,,,<1,N,swe
2000,#00D000200,C70R,0,+,17.0,,,,P,17E01,,99X50,,,,,,<1,N,swe
2050,#00D000205,W63R,0,+,23.0,23M01,,,,,,99X50,,,,,,<1,N,swe
2100,#00D000210,Z50R,7,+,,,,,S,99S90,,99X50,,,,,,<1,N,swe
2150,#00D000215,X23R,0,,,,,,,40V54,,99X50,90X11,,,,,<1,N,swe
2175,#00D000217,A92R,0,+,,,01P02,,,,,99X50,93X93,,,,,<1,N,swe
2200,#00D000220,A93R,0,+,1.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2250,#00D000225,B93R,0,+,2.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2300,#00D000230,C93R,0,+,3.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2350,#00D000235,D93R,0,+,4.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2375,#00D000236,D93R,0,+,,,04P02,,,,,99X50,93X93,,,,,<1,N,swe
2376,#00D0002377,E92R,0,+,,,05P09,,,,,99X50,93X93,,,,,<1,N,swe
2378,#00D0002380,E91R,0,+,,,,,,,,99X50,93X93,50X79,,,,<1,N,swe
2381,#00D0002385,E91R,0,+,,,05P06,,,,,99X50,93X93,,,,,<1,N,swe
2387,#00D0002393,E90R,0,+,,,05P07,,,,,99X50,93X93,,,,,<1,N,swe
2400,#00D000240,E93R,0,+,5.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2450,#00D000245,F93R,0,+,6.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2500,#00D000250,G93R,0,+,7.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2550,#00D000255,H93R,0,+,8.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2600,#00D000260,J93R,0,+,9.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2650,#00D000265,K93R,0,+,30.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2700,#00D000270,L93R,0,+,10.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2750,#00D000275,M93R,0,+,11.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2800,#00D000280,N93R,0,+,12.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2850,#00D000285,O93R,0,+,13.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2900,#00D000290,P93R,0,+,14.0,,,,,,,99X50,93X93,,,,,<1,N,swe
2950,#00D000295,Q93R,0,+,15.0,,,,,,,99X50,93X93,,,,,<1,N,swe
3000,#00D000300,R93R,0,+,16.0,,,,,,,99X50,93X93,,,,,<1,N,swe
3050,#00D000305,R94R,0,+,17.0,,,,,,,99X50,93X93,,,,,<1,N,swe
3100,#00D000310,S93R,0,+,18.0,,,,,,,99X50,93X93,,,,,<1,N,swe
3150,#00D000315,T93R,0,+,19.0,,,,,,,99X50,93X93,,,,,<1,N,swe
3200,#00D000320,U93R,0,+,21.0,,,,,,,99X50,93X93,,,,,<1,N,swe
3250,#00D000325,V93R,0,+,22.0,,,,,,,99X50,93X93,,,,,<1,N,swe
3262,#00D000327,W92R,0,+,,,,,,40V58,,99X50,93X93,,,,,<1,N,swe
3275,#00D000328,W92R,0,+,,,18P10,,,,,99X50,93X93,,,,,<1,N,swe
3300,#00D000330,W93R,0,+,23.0,,,,,,,99X50,93X93,,,,,<1,N,swe
3350,#00D000335,X93R,0,,,,,,,,,99X50,93X93,,,,,<1,N,swe
4600,#00D000460,X46R,0,,,,,,,40V08,,99X50,,,,,,<1,N,swe
4650,#00D000465,H75R,0,,,,,,,08V02,,99X50,,,,,,<1,N,swe
4700,#00D000470,R78R,0,,,,,,,16V04,,99X50,,,,,,<1,N,swe
4725,#00D000471,Z71R,8,+,,99M02,,,,99V22,,99X50,,,,,,<1,N,swe
4737,#00D000473,Z71R,8,+,,99M02,,,,99V21,,99X50,,,,,,<1,N,swe
4750,#00D000475,R99U,0,+,17.0,,,,,99V22,,99X50,,,,,,<1,N,swe
4800,#00D000480,R99U,0,+,23.0,23M04,,,,99V22,,99X50,17K99,,,,,<1,N,swe
4840,#00D000484,R30S,0,+,17.0,17M01,,,N,99V20,99V35,99X50,50X55,,,>6574,,<1,N,swe
4850,#00D000485,R30S,0,+,17.0,17M01,,1.0,N,99V20,99V35,99X50,,,,>6574,,<1,N,swe
4900,#00D000490,R30T,0,+,17.0,17M01,,,N,99V20,99V35,99X50,,,,>6574,,<1,N,swe
4990,#00D000499,R31S,0,+,17.0,17M01,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
5000,#00D000500,R31S,0,+,17.0,17M01,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
5050,#00D000505,R31T,0,+,17.0,17M01,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
5140,#00D000514,R29S,0,+,17.0,17M02,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
5150,#00D000515,R29S,0,+,17.0,17M02,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
5200,#00D000520,R29T,0,+,17.0,17M02,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
5300,#00D000530,R60R,0,+,17.0,17M05,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
5330,#00D000533,R91R,0,+,17.0,,,,,40V20,,99X50,,,,,,<1,N,swe
5350,#00D000535,R99R,0,+,17.0,,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
5400,#00D000540,R99R,0,+,23.0,23M04,,,N,99V20,99V35,99X50,17K99,,,,,<1,N,swe
5450,#00D000545,R99W,0,+,17.0,,,,,99V23,99V35,99X50,,,,,,<1,N,swe
5500,#00D000550,G99U,0,+,7.0,,,,,99V22,,99X50,,,,,,<1,N,swe
5550,#00D000555,G99U,0,+,23.0,23M04,,,,99V22,,99X50,07K99,,,,,<1,N,swe
5590,#00D000559,G30S,0,+,7.0,07M01,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
5600,#00D000560,G30S,0,+,7.0,07M01,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
5700,#00D000570,G30T,0,+,7.0,07M01,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
5740,#00D000574,G33S,0,+,7.0,07M02,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
5750,#00D000575,G33S,0,+,7.0,07M02,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
5850,#00D000585,G33T,0,+,7.0,07M02,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
5900,#00D000590,G35R,0,+,7.0,07M03,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
5950,#00D000595,G38R,0,+,7.0,07M04,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
6000,#00D000600,G99R,0,,,,,,N,07V01,99V35,99X50,,,,,,<1,N,swe
6050,#00D000605,G99R,0,+,7.0,,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
6100,#00D000610,G99R,0,+,23.0,23M04,,,N,99V20,99V35,99X50,07K99,,,,,<1,N,swe
6150,#00D000615,G99W,0,+,7.0,,,,,99V23,99V35,99X50,,,,,,<1,N,swe
6200,#00D000620,R98U,0,+,16.0,,,,,99V22,,99X50,,,,,,<1,N,swe
6250,#00D000625,R98U,0,+,23.0,23M04,,,,99V22,,99X50,16K99,,,,,<1,N,swe
6290,#00D000629,R06S,0,+,16.0,16M01,,,N,99V20,99V35,99X50,50X55,,,>6574,,<1,N,swe
6300,#00D000630,R06S,0,+,16.0,16M01,,1.0,N,99V20,99V35,99X50,,,,>6574,,<1,N,swe
6350,#00D000635,R06T,0,+,16.0,16M01,,,N,99V20,99V35,99X50,,,,>6574,,<1,N,swe
6450,#00D000645,R07R,0,+,16.0,16M01,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
6490,#00D000649,R08S,0,+,16.0,16M02,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
6500,#00D000650,R08S,0,+,16.0,16M02,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
6550,#00D000655,R08T,0,+,16.0,16M02,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
6600,#00D000660,R89R,0,+,16.0,,,,,40V20,,99X50,,,,,,<1,N,swe
6650,#00D000665,R98R,0,+,16.0,,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
6700,#00D000670,R98R,0,+,23.0,23M04,,,N,99V20,99V35,99X50,16K99,,,,,<1,N,swe
6750,#00D000675,R98W,0,+,16.0,,,,,99V23,99V35,99X50,,,,,,<1,N,swe
6800,#00D000680,M99U,0,+,11.0,,,,,99V22,,99X50,,,,,,<1,N,swe
6850,#00D000685,M99U,0,+,23.0,23M04,,,,99V22,,99X50,11K99,,,,,<1,N,swe
6890,#00D000689,M31S,0,+,11.0,11M01,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
6900,#00D000690,M31S,0,+,11.0,11M01,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
7000,#00D000700,M31T,0,+,11.0,11M01,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
7040,#00D000704,M35S,0,+,11.0,11M03,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
7050,#00D000705,M35S,0,+,11.0,11M03,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
7150,#00D000715,M35T,0,+,11.0,11M03,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
7190,#00D000719,M40S,0,+,11.0,11M04,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
7200,#00D000720,M40S,0,+,11.0,11M04,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
7300,#00D000730,M40T,0,+,11.0,11M04,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
7340,#00D000734,M45S,0,+,11.0,11M05,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
7350,#00D000735,M45S,0,+,11.0,11M05,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
7450,#00D000745,M45T,0,+,11.0,11M05,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
7490,#00D000749,M50S,0,+,11.0,11M06,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
7500,#00D000750,M50S,0,+,11.0,11M06,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
7600,#00D000760,M50T,0,+,11.0,11M06,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
7650,#00D000765,M55R,0,+,11.0,11M07,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
7670,#00D000767,M89R,0,+,11.0,,,,,40V20,,99X50,,,,,,<1,N,swe
7700,#00D000770,M99R,0,+,11.0,,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
7750,#00D000775,M99R,0,+,23.0,23M04,,,N,99V20,99V35,99X50,11K99,,,,,<1,N,swe
7800,#00D000780,M77R,0,,,,,,,11V02,,99X50,,,,,,<1,N,swe
7850,#00D000785,M99W,0,+,11.0,,,,,99V23,99V35,99X50,,,,,,<1,N,swe
7900,#00D000790,D99U,0,+,4.0,,,,,99V22,,99X50,,,,,,<1,N,swe
7950,#00D000795,D99U,0,+,23.0,23M04,,,,99V22,,99X50,04K99,,,,,<1,N,swe
7990,#00D000799,D30S,0,+,4.0,04M01,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
8000,#00D000800,D30S,0,+,4.0,04M01,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
8100,#00D000810,D30T,0,+,4.0,04M01,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
8150,#00D000815,D31S,0,+,4.0,04M02,,,N,99V20,99V35,99X50,50X55,,,>6574,,<1,N,swe
8175,#00D000816,D31S,0,+,,,04P02,,N,99V20,99V35,99X50,04X11,50X55,,>6574,,<1,N,swe
8200,#00D000820,D31S,0,+,4.0,04M02,,1.0,N,99V20,99V35,99X50,,,,>6574,,<1,N,swe
8225,#00D000821,D31S,0,+,,,04P02,1.0,N,99V20,99V35,99X50,04X11,,,>6574,,<1,N,swe
8250,#00D000825,D31T,0,+,4.0,04M02,,,N,99V20,99V35,99X50,,,,>6574,,<1,N,swe
8275,#00D000826,D31T,0,+,,,04P02,,N,99V20,99V35,99X50,04X11,,,>6574,,<1,N,swe
8300,#00D000830,D32S,0,+,4.0,04M02,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
8325,#00D000831,D32S,0,+,,,04P02,,N,99V20,99V35,99X50,04X11,50X55,,,,<1,N,swe
8350,#00D000835,D32S,0,+,4.0,04M02,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
8375,#00D000836,D32S,0,+,,,04P02,1.0,N,99V20,99V35,99X50,04X11,,,,,<1,N,swe
8400,#00D000840,D32T,0,+,4.0,04M02,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
8425,#00D000841,D32T,0,+,,,04P02,,N,99V20,99V35,99X50,04X11,,,,,<1,N,swe
8450,#00D000845,D35S,0,+,4.0,04M03,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
8500,#00D000850,D35S,0,+,4.0,04M03,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
8550,#00D000855,D35T,0,+,4.0,04M03,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
8600,#00D000860,D40S,0,+,4.0,04M04,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
8650,#00D000865,D40S,0,+,4.0,04M04,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
8700,#00D000870,D40T,0,+,4.0,04M04,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
8750,#00D000875,D41S,0,+,4.0,04M05,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
8800,#00D000880,D41S,0,+,4.0,04M05,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
8850,#00D000885,D41T,0,+,4.0,04M05,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
8900,#00D000890,D45S,0,+,4.0,04M06,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
8950,#00D000895,D45S,0,+,4.0,04M06,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
9000,#00D000900,D45T,0,+,4.0,04M06,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
9050,#00D000905,D45S,0,+,,,04P01,,N,99V20,99V35,99X50,04X03,50X55,,,,<1,N,swe
9100,#00D000910,D45S,0,+,,,04P01,1.0,N,99V20,99V35,99X50,04X03,,,,,<1,N,swe
9150,#00D000915,D45T,0,+,,,04P01,,N,99V20,99V35,99X50,04X03,,,,,<1,N,swe
9175,#00D000916,D45S,0,+,,,04P02,,N,99V20,99V35,99X50,04X03,50X55,,,,<1,N,swe
9187,#00D000917,D45S,0,+,,,04P02,1.0,N,99V20,99V35,99X50,04X03,,,,,<1,N,swe
9193,#00D000918,D45T,0,+,,,04P02,,N,99V20,99V35,99X50,04X03,,,,,<1,N,swe
9200,#00D000920,D46S,0,+,4.0,04M07,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
9250,#00D000925,D46S,0,+,4.0,04M07,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
9300,#00D000930,D46T,0,+,4.0,04M07,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
9350,#00D000935,D47S,0,+,4.0,04M08,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
9400,#00D000940,D47S,0,+,4.0,04M08,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
9450,#00D000945,D47T,0,+,4.0,04M08,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
9475,#00D000946,D47S,0,+,,,04P02,,N,99V20,99V35,99X50,04X10,50X55,,,,<1,N,swe
9487,#00D000947,D47S,0,+,,,04P02,1.0,N,99V20,99V35,99X50,04X10,,,,,<1,N,swe
9493,#00D000948,D47T,0,+,,,04P02,,N,99V20,99V35,99X50,04X10,,,,,<1,N,swe
9500,#00D000950,D48S,0,+,4.0,04M09,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
9550,#00D000955,D48S,0,+,4.0,04M09,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
9600,#00D000960,D48T,0,+,4.0,04M09,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
9650,#00D000965,D42S,0,+,4.0,04M10,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
9700,#00D000970,D42S,0,+,4.0,04M10,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
9750,#00D000975,D42T,0,+,4.0,04M10,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
9800,#00D000980,D49S,0,+,4.0,04M11,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
9850,#00D000985,D49S,0,+,4.0,04M11,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
9900,#00D000990,D49T,0,+,4.0,04M11,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
9950,#00D000995,D50S,0,+,4.0,04M12,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
10000,#00D001000,D50S,0,+,4.0,04M12,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
10050,#00D001005,D50T,0,+,4.0,04M12,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
10070,#00D001007,D89R,0,+,4.0,,,,,40V20,,99X50,,,,,,<1,N,swe
10100,#00D001010,D99R,0,+,4.0,,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
10150,#00D001015,D99R,0,+,23.0,23M04,,,N,99V20,99V35,99X50,04K99,,,,,<1,N,swe
10200,#00D001020,D99W,0,+,4.0,,,,,99V23,99V35,99X50,,,,,,<1,N,swe
10250,#00D001025,E99U,0,+,5.0,,,,,99V22,,99X50,,,,,,<1,N,swe
10300,#00D001030,E99U,0,+,23.0,23M04,,,,99V22,,99X50,05K99,,,,,<1,N,swe
10350,#00D001035,E41S,0,+,5.0,,,,N,99V20,99V35,99X50,05X01,05X02,50X55,,,<1,N,swe
10400,#00D001040,E41S,0,+,5.0,,,1.0,N,99V20,99V35,99X50,05X01,05X02,,,,<1,N,swe
10450,#00D001045,E41T,0,+,5.0,,,,N,99V20,99V35,99X50,05X01,05X02,,,,<1,N,swe
10500,#00D001050,E41S,0,+,5.0,,,,N,99V20,99V35,99X50,05X01,50X55,,,,<1,N,swe
10550,#00D001055,E41S,0,+,5.0,,,1.0,N,99V20,99V35,99X50,05X01,,,,,<1,N,swe
10600,#00D001060,E41T,0,+,5.0,,,,N,99V20,99V35,99X50,05X01,,,,,<1,N,swe
10650,#00D001065,E47S,0,+,5.0,05M03,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
10700,#00D001070,E47S,0,+,5.0,05M03,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
10750,#00D001075,E47T,0,+,5.0,05M03,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
10800,#00D001080,E50R,0,+,5.0,05M04,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
10850,#00D001085,E48R,0,+,5.0,05M05,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
10900,#00D001090,E51S,0,+,5.0,05M06,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
10950,#00D001095,E51S,0,+,5.0,05M06,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
11000,#00D001100,E51T,0,+,5.0,05M06,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
11050,#00D001105,E52S,0,+,5.0,05M07,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
11100,#00D001110,E52S,0,+,5.0,05M07,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
11150,#00D001115,E52T,0,+,5.0,05M07,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
11200,#00D001120,E60S,0,+,5.0,05M09,,,N,99V20,99V35,99X50,50X55,,,>6574,,<1,N,swe
11250,#00D001125,E60S,0,+,5.0,05M09,,1.0,N,99V20,99V35,99X50,,,,>6574,,<1,N,swe
11300,#00D001130,E60T,0,+,5.0,05M09,,,N,99V20,99V35,99X50,,,,>6574,,<1,N,swe
11350,#00D001135,E60S,0,+,5.0,05M90,,,N,99V20,99V35,99X50,05X04,50X55,,>6574,,<1,N,swe
11400,#00D001140,E60S,0,+,5.0,05M90,,1.0,N,99V20,99V35,99X50,05X04,,,>6574,,<1,N,swe
11450,#00D001145,E60T,0,+,5.0,05M90,,,N,99V20,99V35,99X50,05X04,,,>6574,,<1,N,swe
11500,#00D001150,E61S,0,+,5.0,05M09,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
11550,#00D001155,E61S,0,+,5.0,05M09,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
11600,#00D001160,E61T,0,+,5.0,05M09,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
11650,#00D001165,E61S,0,+,5.0,05M90,,,N,99V20,99V35,99X50,05X04,50X55,,,,<1,N,swe
11700,#00D001170,E61S,0,+,5.0,05M90,,1.0,N,99V20,99V35,99X50,05X04,,,,,<1,N,swe
11750,#00D001175,E61T,0,+,5.0,05M90,,,N,99V20,99V35,99X50,05X04,,,,,<1,N,swe
11800,#00D001180,E65S,0,+,5.0,05M10,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
11850,#00D001185,E65S,0,+,5.0,05M10,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
11900,#00D001190,E65T,0,+,5.0,05M10,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
11950,#00D001195,E66S,0,+,5.0,05M11,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
12000,#00D001200,E66S,0,+,5.0,05M11,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
12050,#00D001205,E66T,0,+,5.0,05M11,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
12100,#00D001210,E67S,0,+,5.0,05M12,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
12150,#00D001215,E67S,0,+,5.0,05M12,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
12200,#00D001220,E67T,0,+,5.0,05M12,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
12250,#00D001225,E68R,0,+,5.0,05M13,,,N,99V20,99V35,99X50,,,,,,<1,N,swe
12300,#00D001230,E47S,0,+,5.0,,,,N,99V20,99V35,99X50,05X05,50X55,,,,<1,N,swe
12350,#00D001235,E47S,0,+,5.0,,,1.0,N,99V20,99V35,99X50,05X05,,,,,<1,N,swe
12400,#00D001240,E47T,0,+,5.0,,,,N,99V20,99V35,99X50,05X05,,,,,<1,N,swe
12450,#00D001245,E53S,0,+,5.0,05M08,,,N,99V20,99V35,99X50,50X55,,,,,<1,N,swe
12500,#00D001250,E53S,0,+,5.0,05M08,,1.0,N,99V20,99V35,99X50,,,,,,<1,N,swe
