code_plus,d_code_plus,text_plus,d_text_plus,vartype,varval,prop_0,varval_text_comb,nat_ver
+A45A0,,Walking short distance independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A45A1,,Walking short distance modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A45A1,,Walking short distance modified independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A45A2,,Walking short distance with moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A45A2,,Walking short distance with moderate dependency,,DGPROP,23F61,False,Dependency in walking,swe/den
+A45A2,,Walking short distance with moderate dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A45A3,,Walking short distance with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A45A3,,Walking short distance with severe dependency,,DGPROP,23F61,False,Dependency in walking,swe/den
+A45A3,,Walking short distance with severe dependency,,DGPROP,23F62,False,Severe dependency in walking,swe/den
+A45A3,,Walking short distance with severe dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A45A4,,Walking short distance with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A45A4,,Walking short distance with total dependency,,DGPROP,23F61,False,Dependency in walking,swe/den
+A45A4,,Walking short distance with total dependency,,DGPROP,23F62,False,Severe dependency in walking,swe/den
+A45A4,,Walking short distance with total dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A4650,,Moving around using equipment independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A4650,,Moving around using equipment independently,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A4651,,Moving around using equipment modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A4651,,Moving around using equipment modified independently,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A4652,,Moving around using equipment with mild to moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A4652,,Moving around using equipment with mild to moderate dependency,,DGPROP,23F71,False,Dependency in moving around using equipment,est/swe/ice/den/fin
+A4652,,Moving around using equipment with mild to moderate dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A4653,,Moving around using equipment with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A4653,,Moving around using equipment with severe dependency,,DGPROP,23F71,False,Dependency in moving around using equipment,est/swe/ice/den/fin
+A4653,,Moving around using equipment with severe dependency,,DGPROP,23F72,False,Severe dependency in moving around using equipment,est/swe/ice/den/fin
+A4653,,Moving around using equipment with severe dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A4654,,Moving around using equipment with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A4654,,Moving around using equipment with total dependency,,DGPROP,23F71,False,Dependency in moving around using equipment,est/swe/ice/den/fin
+A4654,,Moving around using equipment with total dependency,,DGPROP,23F72,False,Severe dependency in moving around using equipment,est/swe/ice/den/fin
+A4654,,Moving around using equipment with total dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5100,,Wash oneself independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A5100,,Wash oneself independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A5101,,Wash oneself modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A5101,,Wash oneself modified independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A5102,,Wash oneself with mild to moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A5102,,Wash oneself with mild to moderate dependency,,DGPROP,23F11,False,Dependency in caring for body parts,swe/den
+A5102,,Wash oneself with mild to moderate dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A5103,,Wash oneself with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A5103,,Wash oneself with severe dependency,,DGPROP,23F11,False,Dependency in caring for body parts,swe/den
+A5103,,Wash oneself with severe dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A5104,,Wash oneself with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A5104,,Wash oneself with total dependency,,DGPROP,23F11,False,Dependency in caring for body parts,swe/den
+A5104,,Wash oneself with total dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A5200,,Caring for body parts indipendently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5200,,Caring for body parts indipendently,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5201,,Caring for body parts modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5201,,Caring for body parts modified independently,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5202,,Caring for body parts with mild to moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5202,,Caring for body parts with mild to moderate dependency,,DGPROP,23F11,False,Dependency in caring for body parts,est/swe/ice/den/fin
+A5202,,Caring for body parts with mild to moderate dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5203,,Caring for body parts with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5203,,Caring for body parts with severe dependency,,DGPROP,23F11,False,Dependency in caring for body parts,est/swe/ice/den/fin
+A5203,,Caring for body parts with severe dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5204,,Caring for body parts with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5204,,Caring for body parts with total dependency,,DGPROP,23F11,False,Dependency in caring for body parts,est/swe/ice/den/fin
+A5204,,Caring for body parts with total dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5250,,Defecation functions without impairment,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A5250,,Defecation functions without impairment,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A5251,,Defecation functions with mild impairment,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A5251,,Defecation functions with mild impairment,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A5252,,Defecation functions with moderate impairment,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A5252,,Defecation functions with moderate impairment,,DGPROP,23F41,False,Impairment of defecations functions,est/ice/den/fin
+A5252,,Defecation functions with moderate impairment,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A5253,,Defecation functions with severe impairment,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A5253,,Defecation functions with severe impairment,,DGPROP,23F41,False,Impairment of defecations functions,est/ice/den/fin
+A5253,,Defecation functions with severe impairment,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A5254,,Defecation functions with complete impairment,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A5254,,Defecation functions with complete impairment,,DGPROP,23F41,False,Impairment of defecations functions,est/ice/den/fin
+A5254,,Defecation functions with complete impairment,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A5300,,Toileting indipendently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A5300,,Toileting indipendently,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A5301,,Toileting modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A5301,,Toileting modified independently,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A5302,,Toileting with mild to moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A5302,,Toileting with mild to moderate dependency,,DGPROP,23F31,False,Dependency in toileting,est/ice/den/fin
+A5302,,Toileting with mild to moderate dependency,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A5303,,Toileting with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A5303,,Toileting with severe dependency,,DGPROP,23F31,False,Dependency in toileting,est/ice/den/fin
+A5303,,Toileting with severe dependency,,DGPROP,23F32,False,Severe dependency in toileting,est/ice/den/fin
+A5303,,Toileting with severe dependency,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A5304,,Toileting with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A5304,,Toileting with total dependency,,DGPROP,23F31,False,Dependency in toileting,est/ice/den/fin
+A5304,,Toileting with total dependency,,DGPROP,23F32,False,Severe dependency in toileting,est/ice/den/fin
+A5304,,Toileting with total dependency,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A53A0,,Controll of urination independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A53A0,,Controll of urination independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A53A1,,Controll of urination modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A53A1,,Controll of urination modified independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A53A2,,Controll of urination with mild to moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A53A2,,Controll of urination with mild to moderate dependency,,DGPROP,23F31,False,Dependency in toileting,swe/den
+A53A2,,Controll of urination with mild to moderate dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A53A3,,Controll of urination with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A53A3,,Controll of urination with severe dependency,,DGPROP,23F31,False,Dependency in toileting,swe/den
+A53A3,,Controll of urination with severe dependency,,DGPROP,23F32,False,Severe dependency in toileting,swe/den
+A53A3,,Controll of urination with severe dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A53A4,,Controll of urination with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A53A4,,Controll of urination with total dependency,,DGPROP,23F31,False,Dependency in toileting,swe/den
+A53A4,,Controll of urination with total dependency,,DGPROP,23F32,False,Severe dependency in toileting,swe/den
+A53A4,,Controll of urination with total dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A53B0,,Controll of defecation independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A53B0,,Controll of defecation independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A53B1,,Controll of defecation modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A53B1,,Controll of defecation modified independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A53B2,,Controll of defecation with moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A53B2,,Controll of defecation with moderate dependency,,DGPROP,23F41,False,Impairment of defecations functions,swe/den
+A53B2,,Controll of defecation with moderate dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A53B3,,Controll of defecation with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A53B3,,Controll of defecation with severe dependency,,DGPROP,23F41,False,Impairment of defecations functions,swe/den
+A53B3,,Controll of defecation with severe dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A53B4,,Controll of defecation with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A53B4,,Controll of defecation with total dependency,,DGPROP,23F41,False,Impairment of defecations functions,swe/den
+A53B4,,Controll of defecation with total dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A5400,,Putting on clothes independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5400,,Putting on clothes independently,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5401,,Putting on clothes modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5401,,Putting on clothes modified independently,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5402,,Putting on clothes with mild to moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5402,,Putting on clothes with mild to moderate dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5403,,Putting on clothes with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5403,,Putting on clothes with severe dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5404,,Putting on clothes with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5404,,Putting on clothes with total dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5500,,Eating independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5500,,Eating independently,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5501,,Eating with modified independency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5501,,Eating with modified independency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5502,,Eating with mild to moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5502,,Eating with mild to moderate dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5503,,Eating with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5503,,Eating with severe dependency,,DGPROP,23F02,False,Severe dependency in eating,est/swe/ice/den/fin
+A5503,,Eating with severe dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5504,,Eating with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A5504,,Eating with total dependency,,DGPROP,23F02,False,Severe dependency in eating,est/swe/ice/den/fin
+A5504,,Eating with total dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A5600,,Drinking independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A5600,,Drinking independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A5601,,Drinking with modified independency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A5601,,Drinking with modified independency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A5602,,Drinking with mild to moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A5602,,Drinking with mild to moderate dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A5603,,Drinking with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A5603,,Drinking with severe dependency,,DGPROP,23F02,False,Severe dependency in eating,swe/den
+A5603,,Drinking with severe dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A5604,,Drinking with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A5604,,Drinking with total dependency,,DGPROP,23F02,False,Severe dependency in eating,swe/den
+A5604,,Drinking with total dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+B1140,,Orientation independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+B1140,,Orientation independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+B1141,,Orientation modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+B1141,,Orientation modified independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+B1142,,Orientation with moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+B1142,,Orientation with moderate dependency,,DGPROP,23F91,False,Dependency in interpersonal interactions and relationship,swe/den
+B1142,,Orientation with moderate dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+B1143,,Orientation with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+B1143,,Orientation with severe dependency,,DGPROP,23F91,False,Dependency in interpersonal interactions and relationship,swe/den
+B1143,,Orientation with severe dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+B1144,,Orientation with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+B1144,,Orientation with total dependency,,DGPROP,23F91,False,Dependency in interpersonal interactions and relationship,swe/den
+B1144,,Orientation with total dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+B1440,,"Memory, no activity limitation",,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+B1440,,"Memory, no activity limitation",,MDC,99,False,Unspecific or erroneous information,swe/den
+B1441,,"Memory, mild activity limitation",,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+B1441,,"Memory, mild activity limitation",,MDC,99,False,Unspecific or erroneous information,swe/den
+B1442,,"Memory, moderate activity limitation",,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+B1442,,"Memory, moderate activity limitation",,DGPROP,23F91,False,Dependency in interpersonal interactions and relationship,swe/den
+B1442,,"Memory, moderate activity limitation",,MDC,99,False,Unspecific or erroneous information,swe/den
+B1443,,"Memory, severe activity limitation",,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+B1443,,"Memory, severe activity limitation",,DGPROP,23F91,False,Dependency in interpersonal interactions and relationship,swe/den
+B1443,,"Memory, severe activity limitation",,MDC,99,False,Unspecific or erroneous information,swe/den
+B1444,,"Memory, total activity limitation",,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+B1444,,"Memory, total activity limitation",,DGPROP,23F91,False,Dependency in interpersonal interactions and relationship,swe/den
+B1444,,"Memory, total activity limitation",,MDC,99,False,Unspecific or erroneous information,swe/den
+B1640,,"Higher cognitive functions, no activity limitation",,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+B1640,,"Higher cognitive functions, no activity limitation",,MDC,99,False,Unspecific or erroneous information,swe/den
