dgprop,varval_text_comb,nat_ver
15X36,Neonatal infection or metab. problem,swe/lat/ice/den/nor/est/fin
15X37,Neonatal hematologic problem,swe/lat/ice/den/nor/est/fin
15X40,Severe respiratory problem of newborn,swe/lat/ice/den/nor/est/fin
15X91,Normal neontal finding,swe/lat/ice/den/nor/est/fin
15X98,Other significant problem of neonate,swe/lat/ice/den/nor/est/fin
15X99,Newborns and other neonates with conditions originating in the delivery,nor
16K99,Diseases and disorders of the blood and blood forming organs,swe/lat/ice/est/fin
16X99,Diseases and disorders of the blood and blood forming organs,nor
17K99,"Myeloproliferative diseases and disorders, poorly differenti",swe/lat/ice/est/fin
17X01,Acute leukemia,swe/lat/ice/den/est/fin
17X99,"Myeloproliferative diseases and disorders, poorly differentiated",nor
18K99,Infectious and parasitic diseases,swe/lat/ice/est/fin
18X01,HIV infection,swe/lat/ice/den/nor/est/fin
18X02,Major HIV related condition,lat/ice/den/nor/est/fin
18X99,Infectious and parasitic diseases,nor
19K99,Mental diseases and disorders,swe/lat/ice/est/fin
19X01,Psychosis,swe/lat/ice/nor/est/fin/den
19X99,Mental diseases and disorders,nor
21K99,"Injuries, poisonings and toxic effects of drugs",swe/lat/ice/est/fin
21X01,Open wound of forearm,swe/lat/ice/den/nor/est
21X02,Open wound of the lower leg or ancle,swe/lat/ice/den/nor/est
21X03,Open wound of shoulder or upper arm,swe/lat/ice/den/nor/est
21X05,Complication of treatment,swe/lat/ice/den/nor/est/fin
21X06,Allergic reaction,swe/lat/ice/den/nor/est/fin
21X08,"Late effect off burn, corrosion or frostbite",swe/lat/ice/den/nor/est/fin
21X99,"Injuries, poisonings and toxic effects of drugs",nor
22K99,Burns,swe/lat/ice/est/fin
22X01,Extensive burn or corrosion (more than 50%),swe/lat/ice/den/nor/est/fin
22X02,Third degree burn and corrosion of head and neck,swe/lat/ice/den/nor/est/fin
22X03,Third degree burn and corrosion of upper limb and hand,swe/lat/ice/den/nor/est/fin
22X04,Third degree burn and corrosion of lower limb and foot,swe/lat/ice/den/nor/est/fin
22X05,Third degree burn and corrosion of unspecified body region,swe/lat/ice/den/nor/est/fin
22X10,Less extensive burn or corrosion (30-50%),swe/lat/ice/den/nor/est/fin
22X99,Burns,nor
23F02,Severe dependency in eating,swe/ice/den/est/fin
23F11,Dependency in caring for body parts,swe/ice/den/est/fin
23F31,Dependency in toileting,swe/ice/den/est/fin
23F32,Severe dependency in toileting,swe/ice/den/est/fin
23F41,Impairment of defecations functions,swe/ice/den/est/fin
23F51,Dependency in transferring oneself,swe/ice/den/est/fin
23F52,Severe dependency in transferring oneself,swe/ice/den/est/fin
23F61,Dependency in walking,swe/ice/den/est/fin
23F62,Severe dependency in walking,swe/ice/den/est/fin
23F71,Dependency in moving around using equipment,swe/ice/den/est/fin
23F72,Severe dependency in moving around using equipment,swe/ice/den/est/fin
23F91,Dependency in interpersonal interactions and relationship,swe/ice/den/est/fin
23K01,History of malignancy,swe/lat/ice/nor/est/fin
23X10,Usual rehabilitation,nor
23X11,Complex rehabilitation,nor
23X20,Rehabilitation,swe/lat/ice/den/est/fin
24K90,Multiple injury as second dg,swe/lat/est/fin
24X10,Significant head or neck trauma,swe/lat/ice/den/nor/est
24X11,Severe intracranial trauma,fin
24X20,Significant chest trauma,swe/lat/ice/den/nor/est
24X21,Thorax major injury except spine,fin
24X22,Fracture or sprain of thoracic spine,fin
24X30,Significant abdominal trauma,swe/lat/ice/den/nor/est
24X31,Intra-abdominal major trauma,fin
24X40,Significant kidney trauma,swe/lat/ice/den/nor/est
24X41,"Fracture, dislocation or sprain of lumbar spine",fin
24X50,Significant trauma of the genitourinary system,swe/lat/ice/den/nor/est
24X60,Significant trauma of the pelvis and spine,swe/lat/ice/den/nor/est
24X61,Pelvic major trauma except spinal,fin
24X70,Significant trauma of the upper limb,swe/lat/ice/den/nor/est
24X71,Significant trauma of lower arm,swe/lat/ice/den/nor/est
24X72,Significant trauma of upper arm,swe/lat/ice/den/nor/est
24X80,Significant trauma of the lower limb,swe/lat/ice/den/nor/est
24X81,Significant trauma of lower leg,swe/lat/ice/den/nor/est
24X90,Multiple injury,swe/lat/ice/den/nor/est
30K99,Breast problem,swe/lat/ice/est/fin
30X01,Malignant breast disorder,swe/lat/ice/den/nor/est/fin
30X02,Cosmetic problem of breast,swe/lat/ice/den/nor/est/fin
30X05,Procedure complicating breast surgery,fin/ice/nor/swe
30X99,Breast problem,nor
40X00,Deceased,swe
50X55,Leading to CC,swe
50X74,"In-depth drug evaluation, primary care",swe
50X76,"Health check-up, primary care",swe
50X79,"Measurement of blood pressure, primary care",swe
90X01,Malignancy or history of malignancy,nor/fin
90X02,Benign tumour,nor
90X11,Severe or general pain,swe/ice
90X12,Examination,ice/nor
90X13,Patient education,nor
90X15,Use of radiowaves,nor/ice
93X93,Hembesök,swe
98K99,Diseases and disorders of male/female reproductive organs,swe/lat/ice/den/est/fin
98X99,Diseases and disorders of male/female reproductive organs,nor
99X00,Right,swe/lat/ice/nor/est/fin
99X02,Left,swe/lat/ice/nor/est/fin
99X04,Bilateral,swe/lat/ice/nor/est/fin
99X20,Medication delivered for home use,fin
99X35,Medical doctor,swe
99X50,Primary care,swe
