code_plus,text_plus,ast,nat_ver
_C03BK,"Sulfonamides, combinations with other drugs",,
_C03BX,Other low-ceiling diuretics,,
_C03CA,"Sulfonamides, plain",,
_C03CB,Sulfonamides and potassium in combination,,
_C03CC,Aryloxyacetic acid derivatives,,
_C03CD,Pyrazolone derivatives,,
_C03CX,Other high-ceiling diuretics,,
_C03DA,Aldosterone antagonists,,
_C03DB,Other potassium-sparing agents,,
_C03EA,Low-ceiling diuretics and potassium-sparing agents,,
_C03EB,High-ceiling diuretics and potassium-sparing agents,,
_C04AA,2-amino-1-phenylethanol derivatives,,
_C04AB,Imidazoline derivatives,,
_C04AC,Nicotinic acid and derivatives,,
_C04AD,Purine derivatives,,
_C04AE,Ergot alkaloids,,
_C04AF,Enzymes,,
_C04AX,Other peripheral vasodilators,,
_C05AA,Products containing corticosteroids,,
_C05AB,Products containing antibiotics,,
_C05AD,Products containing local anesthetics,,
_C05AX,Other antihemorrhoidals for topical use,,
_C05BA,Heparins or heparinoids for topical use,,
_C05BB,Sclerosing agents for local injection,,
_C05BX,Other sclerosing agents,,
_C05CA,Bioflavonoids,,
_C05CX,Other capillary stabilizing agents,,
_C07AA,"Beta blocking agents, non-selective",,
_C07AB,"Beta blocking agents, selective",,
_C07AG,Alpha and beta blocking agents,,
_C07BA,"Beta blocking agents, non-selective, and thiazides",,
_C07BB,"Beta blocking agents, selective, and thiazides",,
_C07BG,Alpha and beta blocking agents and thiazides,,
_C07CA,"Beta blocking agents, non-selective, and other diuretics",,
_C07CB,"Beta blocking agents, selective, and other diuretics",,
_C07CG,Alpha and beta blocking agents and other diuretics,,
_C07DA,"Beta blocking agents, non-selective, thiazides and other diuretics",,
_C07DB,"Beta blocking agents, selective, thiazides and other diuretics",,
_C07EA,"Beta blocking agents, non-selective, and vasodilators",,
_C07EB,"Beta blocking agents, selective, and vasodilators",,
_C07FA,"Beta blocking agents, non-selective, and other antihypertensives",,
_C07FB,"Beta blocking agents, selective, and other antihypertensives",,
_C08CA,Dihydropyridine derivatives,,
_C08CX,Other selective calcium channel blockers with mainly vascular effects,,
_C08DA,Phenylalkylamine derivatives,,
_C08DB,Benzothiazepine derivatives,,
_C08EA,Phenylalkylamine derivatives,,
_C08EX,Other non-selective calcium channel blockers,,
_C08GA,Calcium channel blockers and diuretics,,
_C09AA,"ACE inhibitors, plain",,
_C09BA,ACE inhibitors and diuretics,,
_C09BB,ACE inhibitors and calcium channel blockers,,
_C09CA,"Angiotensin II antagonists, plain",,
_C09DA,Angiotensin II antagonists and diuretics,,
_C10AA,HMG CoA reductase inhibitors,,
_C10AB,Fibrates,,
_C10AC,Bile acid sequestrants,,
_C10AD,Nicotinic acid and derivatives,,
_C10AX,Other cholesterol and triglyceride reducers,,
_D01AA,Antibiotics,,
_D01AC,Imidazole and triazole derivatives,,
_D01AE,Other antifungals for topical use,,
_D01BA,Antifungals for systemic use,,
_D02AA,Silicone products,,
_D02AB,Zinc products,,
_D02AC,Soft paraffin and fat products,,
_D02AD,Liquid plasters,,
_D02AE,Carbamide products,,
_D02AF,Salicylic acid preparations,,
_D02AX,Other emollients and protectives,,
_D02BA,Protectives against UV-radiation for topical use,,
_D02BB,Protectives against UV-radiation for systemic use,,
_D03AA,Cod-liver oil ointments,,
_D03AX,Other cicatrizants,,
_D03BA,Proteolytic enzymes,,
_D04AA,Antihistamines for topical use,,
_D04AB,Anesthetics for topical use,,
_D04AX,Other antipruritics,,
_D05AA,Tars,,
_D05AC,Antracen derivatives,,
_D05AD,Psoralens for topical use,,
_D05AX,Other antipsoriatics for topical use,,
_D05BA,Psoralens for systemic use,,
_D05BB,Retinoids for treatment of psoriasis,,
_D05BX,Other antipsoriatics for systemic use,,
_D06AA,Tetracycline and derivatives,,
_D06AX,Other antibiotics for topical use,,
_D06BA,Sulfonamides,,
_D06BB,Antivirals,,
_D06BX,Other chemotherapeutics,,
_D07AA,"Corticosteroids, weak (group I)",,
_D07AB,"Corticosteroids, moderately potent (group II)",,
_D07AC,"Corticosteroids, potent (group III)",,
_D07AD,"Corticosteroids, very potent (group IV)",,
_D07BA,"Corticosteroids, weak, combinations with antiseptics",,
_D07BB,"Corticosteroids, moderately potent, combinations with antiseptics",,
_D07BC,"Corticosteroids, potent, combinations with antiseptics",,
_D07BD,"Corticosteroids, very potent, combinations with antiseptics",,
_D07CA,"Corticosteroids, weak, combinations with antibiotics",,
_D07CB,"Corticosteroids, moderately potent, combinations with antibiotics",,
_D07CC,"Corticosteroids, potent, combinations with antibiotics",,
_D07CD,"Corticosteroids, very potent, combinations with antibiotics",,
_D07XA,"Corticosteroids, weak, other combinations",,
_D07XB,"Corticosteroids, moderately potent, other combinations",,
_D07XC,"Corticosteroids, potent, other combinations",,
_D07XD,"Corticosteroids, very potent, other combinations",,
_D08AA,Acridine derivatives,,
_D08AB,Aluminium agents,,
_D08AC,Biguanides and amidines,,
_D08AD,Boric acid products,,
_D08AE,Phenol and derivatives,,
_D08AF,Nitrofuran derivatives,,
_D08AG,Iodine products,,
_D08AH,Quinoline derivatives,,
_D08AJ,Quaternary ammonium compounds,,
_D08AK,Mercurial products,,
_D08AL,Silver compounds,,
_D08AX,Other antiseptics and disinfectants,,
_D09AA,Ointment dressings with antiinfectives,,
_D09AB,Zinc bandages,,
_D09AX,Soft paraffin dressings,,
_D10AA,"Corticosteroids, combinations for treatment of acne",,
_D10AB,Preparations containing sulfur,,
_D10AD,Retinoids for topical use in acne,,
_D10AE,Peroxides,,
_D10AF,Antiinfectives for treatment of acne,,
_D10AX,Other anti-acne preparations for topical use,,
_D10BA,Retinoids for treatment of acne,,
_D10BX,Other anti-acne preparations for systemic use,,
_D11AA,Antihidrotics,,
_D11AC,Medicated shampoos,,
_D11AE,Androgens for topical use,,
_D11AF,Wart and anti-corn preparations,,
_D11AX,Other dermatologicals,,
_G01AA,Antibiotics,,
_G01AB,Arsenic compounds,,
_G01AC,Quinoline derivatives,,
_G01AD,Organic acids,,
_G01AE,Sulfonamides,,
_G01AF,Imidazole derivatives,,
_G01AG,Triazole derivatives,,
_G01AX,Other antiinfectives and antiseptics,,
_G01BA,Antibiotics and corticosteroids,,
_G01BC,Quinoline derivatives and corticosteroids,,
_G01BD,Antiseptics and corticosteroids,,
_G01BE,Sulfonamides and corticosteroids,,
_G01BF,Imidazole derivatives and corticosteroids,,
_G02AB,Ergot alkaloids,,
_G02AC,"Ergot alkaloids and oxytocin incl. analogues, in combination",,
_G02AD,Prostaglandins,,
_G02AX,Other oxytocics,,
_G02BA,Intrauterine contraceptives,,
_G02BB,Intravaginal contraceptives,,
_G02CA,"Sympathomimetics, labour repressants",,
_G02CB,Prolactine inhibitors,,
_G02CC,Antiinflammatory products for vaginal administration,,
_G02CX,Other gynecologicals,,
_G03AA,"Progestogens and estrogens, fixed combinations",,
_G03AB,"Progestogens and estrogens, sequential preparations",,
_G03AC,Progestogens,,
_G03BA,3-oxoandrosten (4) derivatives,,
_G03BB,5-androstanon (3) derivatives,,
_G03CA,"Natural and semisynthetic estrogens, plain",,
_G03CB,"Synthetic estrogens, plain",,
_G03CC,"Estrogens, combinations with other drugs",,
_G03DA,Pregnen (4) derivatives,,
_G03DB,Pregnadien derivatives,,
_G03DC,Estren derivatives,,
_G03EA,Androgens and estrogens,,
_G03EB,"Androgen, progestogen and estrogen in combination",,
_G03EK,Androgens and female sex hormones in combination with other drugs,,
_G03FA,"Progestogens and estrogens, fixed combinations",,
_G03FB,"Progestogens and estrogens, sequential preparations",,
_G03GA,Gonadotropins,,
_G03GB,"Ovulation stimulants, synthetic",,
_G03HA,"Antiandrogens, plain",,
_G03HB,Antiandrogens and estrogens,,
_G03XA,Antigonadotropins and similar agents,,
_G03XB,Antiprogestogens,,
_G03XC,Selective estrogen receptor modulators,,
_G04BA,Acidifiers,,
_G04BC,Urinary concrement solvents,,
_G04BD,Urinary antispasmodics,,
_G04BE,Drugs used in erectile dysfunction,,
_G04BX,Other urologicals,,
_G04CA,Alpha-adrenoreceptor antagonists,,
_G04CB,Testosterone-5-alpha reductase inhibitors,,
_G04CX,Other drugs used in benign prostatic hypertrophy,,
_H01AA,ACTH,,
_H01AB,Thyrotropin,,
_H01AC,Somatropin and somatropin agonists,,
_H01AX,Other anterior pituitary lobe hormones and analogues,,
_H01BA,Vasopressin and analogues,,
_H01BB,Oxytocin and analogues,,
_H01CA,Gonadotropin-releasing hormones,,
_H01CB,Antigrowth hormone,,
_H01CC,Anti-gonadotropin-releasing hormones,,
_H02AA,Mineralocorticoids,,
_H02AB,Glucocorticoids,,
_H02BX,"Corticosteroids for systemic use, combinations",,
_H02CA,Anticorticosteroids,,
_H03AA,Thyroid hormones,,
_H03BA,Thiouracils,,
_H03BB,Sulfur-containing imidazole derivatives,,
_H03BC,Perchlorates,,
_H03BX,Other antithyroid preparations,,
_H03CA,Iodine therapy,,
_H04AA,Glycogenolytic hormones,,
_H05AA,Parathyroid hormones and analogues,,
_H05BA,Calcitonin preparations,,
_J01AA,Tetracyclines,,
_J01BA,Amphenicols,,
_J01CA,Penicillins with extended spectrum,,
_J01CE,Beta-lactamase sensitive penicillins,,
_J01CF,Beta-lactamase resistant penicillins,,
_J01CG,Beta-lactamase inhibitors,,
_J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors",,
_J01DA,Cephalosporins and related substances,,
_J01DF,Monobactams,,
_J01DH,Carbapenems,,
_J01EA,Trimethoprim and derivatives,,
_J01EB,Short-acting sulfonamides,,
_J01EC,Intermediate-acting sulfonamides,,
_J01ED,Long-acting sulfonamides,,
_J01EE,"Combinations of sulfonamides and trimethoprim, incl. derivatives",,
_J01FA,Macrolides,,
_J01FF,Lincosamides,,
_J01FG,Streptogramins,,
_J01GA,Streptomycins,,
_J01GB,Other aminoglycosides,,
_J01MA,Fluoroquinolones,,
_J01MB,Other quinolones,,
_J01RA,Combinations of antibacterials,,
_J01XA,Glycopeptide antibacterials,,
_J01XB,Polymyxins,,
_J01XC,Steroid antibacterials,,
_J01XD,Imidazole derivatives,,
_J01XE,Nitrofuran derivatives,,
_J01XX,Other antibacterials,,
_J02AA,Antibiotics,,
_J02AB,Imidazole derivatives,,
_J02AC,Triazole derivatives,,
_J02AX,Other antimycotics for systemic use,,
_J04AA,Aminosalicylic acid and derivatives,,
_J04AB,Antibiotics,,
_J04AC,Hydrazides,,
_J04AD,Thiocarbamide derivatives,,
_J04AK,Other drugs for treatment of tuberculosis,,
_J04AM,Combinations of drugs for treatment of tuberculosis,,
_J04BA,Drugs for treatment of lepra,,
_J05AA,Thiosemicarbazones,,
_J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,,
_J05AC,Cyclic amines,,
_J05AD,Phosphonic acid derivatives,,
_J05AE,Protease inhibitors,,
_J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,,
_J05AG,Non-nucleoside reverse transcriptase inhibitors,,
_J05AH,Neuraminidase inhibitors,,
_J05AX,Other antivirals,,
_J06AA,Immune sera,,
_J06BA,"Immunoglobulins, normal human",,
_J06BB,Specific immunoglobulins,,
_J06BC,Other immunoglobulins,,
_J07AC,Anthrax vaccines,,
_J07AD,Brucellosis vaccines,,
_J07AE,Cholera vaccines,,
_J07AF,Diphtheria vaccines,,
_J07AG,Hemophilus influenzae B vaccines,,
_J07AH,Meningococcal vaccines,,
_J07AJ,Pertussis vaccines,,
_J07AK,Plague vaccines,,
_J07AL,Pneumococcal vaccines,,
_J07AM,Tetanus vaccines,,
_J07AN,Tuberculosis vaccines,,
_J07AP,Typhoid vaccines,,
_J07AR,Typhus (exanthematicus) vaccines,,
_J07AX,Other bacterial vaccines,,
_J07BA,Encephalitis vaccines,,
_J07BB,Influenza vaccines,,
_J07BC,Hepatitis vaccines,,
_J07BD,Morbilli vaccines,,
_J07BE,Parotitis vaccines,,
_J07BF,Poliomyelitis vaccines,,
_J07BG,Rabies vaccines,,
_J07BH,Rota virus diarrhea vaccines,,
_J07BJ,Rubella vaccines,,
_J07BK,Varicella vaccines,,
_J07BL,Yellow fever vaccines,,
_J07BX,Other viral vaccines,,
_J07CA,"Bacterial and viral vaccines, combined",,
_L01AA,Nitrogen mustard analogues,,
_L01AB,Alkyl sulfonates,,
_L01AC,Ethylene imines,,
_L01AD,Nitrosoureas,,
_L01AG,Epoxides,,
_L01AX,Other alkylating agents,,
_L01BA,Folic acid analogues,,
_L01BB,Purine analogues,,
_L01BC,Pyrimidine analogues,,
_L01CA,Vinca alkaloids and analogues,,
_L01CB,Podophyllotoxin derivatives,,
_L01CC,Colchicine derivatives,,
_L01CD,Taxanes,,
_L01CX,Other plant alkaloids and natural products,,
_L01DA,Actinomycines,,
_L01DB,Anthracyclines and related substances,,
_L01DC,Other cytotoxic antibiotics,,
_L01XA,Platinum compounds,,
_L01XB,Methylhydrazines,,
_L01XC,Monoclonal antibodies,,
_L01XD,Agents used in photodynamic therapy,,
_L01XX,Other antineoplastic agents,,
_L01XY,Combinations of antineoplastic agents,,
_L02AA,Estrogens,,
_L02AB,Progestogens,,
_L02AE,Gonadotropin releasing hormone analogues,,
_L02AX,Other hormones,,
_L02BA,Anti-estrogens,,
_L02BB,Anti-androgens,,
_L02BG,Enzyme inhibitors,,
_L03AA,Colony stimulating factors,,
_L03AB,Interferons,,
_L03AC,Interleukins,,
_L03AX,Other cytokines and immunomodulators,,
_L04AA,Selective immunosuppressive agents,,
_L04AX,Other immunosuppressive agents,,
_M01AA,Butylpyrazolidines,,
_M01AB,Acetic acid derivatives and related substances,,
_M01AC,Oxicams,,
_M01AE,Propionic acid derivatives,,
_M01AG,Fenamates,,
_M01AH,Coxibs,,
_M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids",,
_M01BA,Antiinflammatory/antirheumatic agents in combination with corticosteroids,,
_M01BX,Other antiinflammatory/antirheumatic agents in combination with other drugs,,
_M01CA,Quinolines,,
_M01CB,Gold preparations,,
_M01CC,Penicillamine and similar agents,,
_M01CX,Other specific antirheumatic agents,,
_M02AA,"Antiinflammatory preparations, non-steroids for topical use",,
_M02AB,Capsicum preparations and similar agents,,
_M02AC,Preparations with salicylic acid derivatives,,
_M02AX,Other topical products for joint and muscular pain,,
_M03AA,Curare alkaloids,,
_M03AB,Choline derivatives,,
_M03AC,Other quaternary ammonium compounds,,
_M03AX,"Other muscle relaxants, peripherally acting agents",,
_M03BA,Carbamic acid esters,,
_M03BB,"Oxazol, thiazine, and triazine derivatives",,
_M03BC,"Ethers, chemically close to antihistamines",,
_M03BX,Other centrally acting agents,,
_M03CA,Dantrolene and derivatives,,
_M04AA,Preparations inhibiting uric acid production,,
_M04AB,Preparations increasing uric acid excretion,,
_M04AC,Preparations with no effect on uric acid metabolism,,
_M04AX,Other antigout preparations,,
_M05BA,Bisphosphonates,,
_M05BB,"Bisphosphonates and calcium, sequential preparations",,
_M05BC,Bone morphogenetic proteins,,
_M05BX,Other drugs affecting bone structure and mineralization,,
_M09AA,Quinine and derivatives,,
_M09AB,Enzymes,,
_M09AX,Other drugs for disorders of the musculo-skeletal system,,
_N01AA,Ethers,,
_N01AB,Halogenated hydrocarbons,,
_N01AF,"Barbiturates, plain",,
_N01AG,Barbiturates in combination with other drugs,,
_N01AH,Opioid anesthetics,,
_N01AX,Other general anesthetics,,
_N01BA,Esters of aminobenzoic acid,,
_N01BB,Amides,,
_N01BC,Esters of benzoic acid,,
_N01BX,Other local anesthetics,,
_N02AA,Natural opium alkaloids,,
_N02AB,Phenylpiperidine derivatives,,
_N02AC,Diphenylpropylamine derivatives,,
_N02AD,Benzomorphan derivatives,,
_N02AE,Oripavine derivatives,,
_N02AF,Morphinan derivatives,,
_N02AG,Opioids in combination with antispasmodics,,
_N02AX,Other opioids,,
_N02BA,Salicylic acid and derivatives,,
_N02BB,Pyrazolones,,
_N02BE,Anilides,,
_N02BG,Other analgesics and antipyretics,,
_N02CA,Ergot alkaloids,,
_N02CB,Corticosteroid derivatives,,
_N02CC,Selective serotonin (5HT1) agonists,,
_N02CX,Other antimigraine preparations,,
_N03AA,Barbiturates and derivatives,,
_N03AB,Hydantoin derivatives,,
_N03AC,Oxazolidine derivatives,,
_N03AD,Succinimide derivatives,,
_N03AE,Benzodiazepine derivatives,,
_N03AF,Carboxamide derivatives,,
_N03AG,Fatty acid derivatives,,
_N03AX,Other antiepileptics,,
_N04AA,Tertiary amines,,
_N04AB,Ethers chemically close to antihistamines,,
_N04AC,Ethers of tropine or tropine derivatives,,
_N04BA,Dopa and dopa derivatives,,
_N04BB,Adamantane derivatives,,
_N04BC,Dopamine agonists,,
_N04BD,Monoamine oxidase B inhibitors,,
_N04BX,Other dopaminergic agents,,
_N05AA,Phenothiazines with aliphatic side-chain,,
_N05AB,Phenothiazines with piperazine structure,,
_N05AC,Phenothiazines with piperidine structure,,
_N05AD,Butyrophenone derivatives,,
_N05AE,Indole derivatives,,
_N05AF,Thioxanthene derivatives,,
_N05AG,Diphenylbutylpiperidine derivatives,,
_N05AH,"Diazepines, oxazepines and thiazepines",,
_N05AK,"Neuroleptics, in tardive dyskinesia",,
_N05AL,Benzamides,,
_N05AN,Lithium,,
_N05AX,Other antipsychotics,,
_N05BA,Benzodiazepine derivatives,,
_N05BB,Diphenylmethane derivatives,,
_N05BC,Carbamates,,
_N05BD,Dibenzo-bicyclo-octadiene derivatives,,
_N05BE,Azaspirodecanedione derivatives,,
_N05BX,Other anxiolytics,,
_N05CA,"Barbiturates, plain",,
_N05CB,"Barbiturates, combinations",,
_N05CC,Aldehydes and derivatives,,
_N05CD,Benzodiazepine derivatives,,
_N05CE,Piperidinedione derivatives,,
_N05CF,Benzodiazepine related drugs,,
_N05CM,Other hypnotics and sedatives,,
_N05CX,"Hypnotics and sedatives in combination, excl. barbiturates",,
_N06AA,Non-selective monoamine reuptake inhibitors,,
_N06AB,Selective serotonin reuptake inhibitors,,
_N06AF,"Monoamine oxidase inhibitors, non-selective",,
_N06AG,Monoamine oxidase A inhibitors,,
_N06AX,Other antidepressants,,
_N06BA,Centrally acting sympathomimetics,,
_N06BC,Xanthine derivatives,,
_N06BX,Other psychostimulants and nootropics,,
_N06CA,Antidepressants in combination with psycholeptics,,
_N06CB,Psychostimulants in combination with psycholeptics,,
_N06DA,Anticholinesterases,,
_N06DX,Other anti-dementia drugs,,
_N07AA,Anticholinesterases,,
_N07AB,Choline esters,,
_N07AX,Other parasympathomimetics,,
_N07BA,Drugs used in nicotine dependence,,
_N07BB,Drugs used in alcohol dependence,,
_N07BC,Drugs used in opioid dependence,,
_N07CA,Antivertigo preparations,,
_N07XA,Gangliosides and ganglioside derivatives,,
_N07XX,Other nervous system drugs,,
_P01AA,Hydroxyquinoline derivatives,,
_P01AB,Nitroimidazole derivatives,,
_P01AC,Dichloroacetamide derivatives,,
_P01AR,Arsenic compounds,,
_P01AX,Other agents against amoebiasis and other protozoal diseases,,
_P01BA,Aminoquinolines,,
_P01BB,Biguanides,,
_P01BC,Methanolquinolines,,
_P01BD,Diaminopyrimidines,,
_P01BE,Artemisinin and derivatives,,
_P01BX,Other antimalarials,,
_P01CA,Nitroimidazole derivatives,,
_P01CB,Antimony compounds,,
_P01CC,Nitrofuran derivatives,,
_P01CD,Arsenic compounds,,
_P01CX,Other agents against leishmaniasis and trypanosomiasis,,
_P02BA,Quinoline derivatives and related substances,,
_P02BB,Organophosphorous compounds,,
_P02BX,Other antitrematodal agents,,
_P02CA,Benzimidazole derivatives,,
_P02CB,Piperazine and derivatives,,
