compl,inclprop,varval_text_comb,nat_ver
01G11,,Complicated hydrocephalus- major CC,est/swe/lat/ice/den/fin/nor
01G12,,Spinal level dysfunction- major CC,est/swe/lat/ice/den/fin/nor
01G13,,Multiple sclerosis- major CC,est/swe/lat/ice/den/fin/nor
01G14,,Intracranial hemorrhage- major CC,est/swe/lat/ice/den/fin/nor
01G15,,Occlusion of precerebral artery- major CC,est/swe/lat/ice/den/fin/nor
01G16,,"CVA, unspecified- major CC",est/swe/lat/ice/den/fin/nor
01G17,,H. zoster central nervous system compl.- major CC,est/swe/lat/ice/den/fin/nor
01G21,,Tuberculosis of central nervous system- major CC,est/swe/lat/ice/den/fin/nor
01G22,,Acute infective polyneuropathy- major CC,est/swe/lat/ice/den/fin/nor
01G23,,TB meningitis- major CC,est/swe/lat/ice/den/fin/nor
01G25,,Meningitis- major CC,est/swe/lat/ice/den/fin/nor
01G27,,Other cerebrovascular disease- major CC,est/swe/lat/ice/den/fin/nor
01G28,,Epilepsy- major CC,est/swe/lat/ice/den/fin/nor
01G29,,Serious injury of skull or brain- major CC,est/swe/lat/ice/den/fin/nor
01G30,,Anoxic brain damage- major CC,est/swe/lat/ice/den/fin/nor
01G31,,Serious muscle disorder- major CC,est/swe/lat/ice/den/fin/nor
01G32,,Cerebrospinal fluid leak- major CC,est/swe/lat/ice/den/fin/nor
01G35,,CNS abscess- major CC,est/swe/lat/ice/den/fin/nor
01G36,,Other meningitis- major CC,est/swe/lat/ice/den/fin/nor
01G37,,Coma or disorientation- major CC,est/swe/lat/ice/den/fin/nor
01G38,,Spina bifida- major CC,est/swe/lat/ice/den/fin/nor
01G39,,Convulsions- major CC,est/swe/lat/ice/den/fin/nor
01G40,,Nerve root or plexus injury- major CC,est/swe/lat/ice/den/fin/nor
01G41,,Non-bacterial meningoencephalitis- major CC,est/swe/lat/ice/den/fin/nor
01G42,,Complication of intracranial shunt- major CC,est/swe/lat/ice/fin/nor
01G80,,Multiple cranial nerve palsies in sarcoidosis (D86.8+)- major CC,est/swe/lat/ice/den/fin/nor
01G81,,Mechanical complication of implanted electronic stimulator of nervous system- major CC,est/swe/lat/ice/den/fin/nor
02C01,,Complex retinal or central problem of vision,est/swe/lat/ice/den/fin/nor
02C02,,Complex eye infection,est/swe/lat/ice/den/fin/nor
02C03,,Open wound of eye,est/swe/lat/ice/den/fin/nor
02C80,,Mechanical complication of intraocular lens,est/swe/lat/ice/den/fin/nor
02C81,,"Mechanical complication of other ocular prosthetic devices, implants and grafts",est/swe/lat/ice/den/fin/nor
02G01,,Complex retinal or central problem of vision- major CC,est/swe/lat/ice/den/fin/nor
02G02,,Complex eye infection- major CC,est/swe/lat/ice/den/fin/nor
02G03,,Open wound of eye- major CC,est/swe/lat/ice/den/fin/nor
02G80,,Mechanical complication of intraocular lens- major CC,est/swe/lat/ice/den/fin/nor
02G81,,"Mechanical complication of other ocular prosthetic devices, implants and grafts- major CC",est/swe/lat/ice/den/fin/nor
03C01,,Laryngeal obstruction,est/swe/lat/ice/den/fin/nor
03C02,,Faryngeal abscess,est/swe/lat/ice/den/fin/nor
03C05,,Abscessus of the mastoid,est/swe/lat/ice/den/fin/nor
03C08,,Fracture or luxation of mandible or maxilla,est/swe/lat/ice/den/fin/nor
03C09,,Vocal cord paralysis,est/swe/lat/ice/den/fin/nor
03C10,,Severe mouth infection,est/swe/lat/ice/den/fin/nor
03G01,,Laryngeal obstruction- major CC,est/swe/lat/ice/den/fin/nor
03G02,,Faryngeal abscess- major CC,est/swe/lat/ice/den/fin/nor
03G05,,Abscessus of the mastoid- major CC,est/swe/lat/ice/den/fin/nor
03G08,,Fracture or luxation of mandible or maxilla- major CC,est/swe/lat/ice/den/fin/nor
03G09,,Vocal cord paralysis- major CC,est/swe/lat/ice/den/fin/nor
03G10,,Severe mouth infection- major CC,est/swe/lat/ice/den/fin/nor
03I01,04X02,"Laryngotracheal infection w obstruction, needs activation",est/swe/lat/ice/den/fin/nor
04C01,,Pneumonia,est/swe/lat/ice/den/fin/nor
04C02,,Respiratory tuberculosis,est/swe/lat/ice/den/fin/nor
04C05,,Chronic obstructive disease,est/swe/lat/ice/den/fin/nor
04C06,,Status asthmaticus,est/swe/lat/ice/den/fin/nor
04C07,,Bronchiectasis,est/swe/lat/ice/den/fin/nor
04C08,,Congenital bronchietasis,est/swe/lat/ice/den/fin/nor
04C09,,Rheumatic pneumonia,est/swe/lat/ice/den/fin/nor
04C10,,Empyema,est/swe/lat/ice/den/fin/nor
04C12,,Abscess of lung,est/swe/lat/ice/den/fin/nor
04C13,,Complex mediastinal disease,est/swe/lat/ice/den/fin/nor
04C14,,Malignant neoplasm of lung,est/swe/lat/ice/den/fin/nor
04C15,,Malignant neoplasm of pleura,est/swe/lat/ice/den/fin/nor
04C16,,Malignant neoplasm of mediastinum,est/swe/lat/ice/den/fin/nor
04C17,,Complicated fracture of rib,est/swe/lat/ice/den/fin/nor
04C18,,Fracture of sternum,est/swe/lat/ice/den/fin/nor
04C19,,Traumatic pneumo/hemothorax,est/swe/lat/ice/den/fin/nor
04C20,,Other intrathoracic trauma,est/swe/lat/ice/den/fin/nor
04C21,,Pleural effusion,est/swe/lat/ice/den/fin/nor
04C22,,Pneumothorax,est/swe/lat/ice/den/fin/nor
04C23,,Pulmonary edema,est/swe/lat/ice/den/fin/nor
04C24,,Respiratory failure,est/swe/lat/ice/den/fin/nor
04C25,,Hemoptysis,est/swe/lat/ice/den/fin/nor
04C26,,Gangrene of lung,est/swe/lat/ice/den/fin/nor
04C27,,Secondary malignancy in respiratory organs,est/swe/lat/ice/den/fin/nor
04C28,,Lung transplant status,est/swe/lat/ice/den/fin/nor
04C29,,Respiratory arrest,est/swe/lat/ice/den/fin/nor
04C30,,Cystic lung or agenesis of lung,est/swe/lat/ice/den/fin/nor
04C40,,Other thoracic fracture,est/swe/lat/ice/den/fin/nor
04C99,,Complicate pulmonary disease,est/swe/lat/ice/den/fin/nor
04G01,,Pneumonia- major CC,est/swe/lat/ice/den/fin/nor
04G02,,Respiratory tuberculosis- major CC,est/swe/lat/ice/den/fin/nor
04G05,,Chronic obstructive disease- major CC,est/swe/lat/ice/den/fin/nor
04G06,,Status asthmaticus- major CC,est/swe/lat/ice/den/fin/nor
04G07,,Bronchiectasis- major CC,est/swe/lat/ice/den/fin/nor
04G08,,Congenital bronchietasis- major CC,est/swe/lat/ice/den/fin/nor
04G09,,Rheumatic pneumonia- major CC,est/swe/lat/ice/den/fin/nor
04G10,,Empyema- major CC,est/swe/lat/ice/den/fin/nor
04G12,,Abscess of lung- major CC,est/swe/lat/ice/den/fin/nor
04G13,,Complex mediastinal disease- major CC,est/swe/lat/ice/den/fin/nor
04G14,,Malignant neoplasm of lung- major CC,est/swe/lat/ice/den/fin/nor
04G15,,Malingnant neoplasm of pleura- major CC,est/swe/lat/ice/den/fin/nor
04G16,,Malignant neoplasm of mediastinum- major CC,est/swe/lat/ice/den/fin/nor
04G17,,Complicated fracture of rib- major CC,est/swe/lat/ice/den/fin/nor
04G18,,Fracture of sternum- major CC,est/swe/lat/ice/den/fin/nor
04G19,,Traumatic pneumo/hemothorax- major CC,est/swe/lat/ice/den/fin/nor
04G20,,Other intrathoracic trauma- major CC,est/swe/lat/ice/den/fin/nor
04G21,,Pleural effusion- major CC,est/swe/lat/ice/den/fin/nor
04G22,,Pneumothorax- major CC,est/swe/lat/ice/den/fin/nor
04G23,,Pulmonary edema- major CC,est/swe/lat/ice/den/fin/nor
04G24,,Respiratory failure- major CC,est/swe/lat/ice/den/fin/nor
04G25,,Hemoptysis- major CC,est/swe/lat/ice/den/fin/nor
04G26,,Gangrene of lung- major CC,est/swe/lat/ice/den/fin/nor
04G27,,Secondary malignancy in respiratory organs- major CC,est/swe/lat/ice/den/fin/nor
04G28,,Lung transplant status- major CC,est/swe/lat/ice/den/fin/nor
04G29,,Respiratory arrest- major CC,est/swe/lat/ice/den/fin/nor
04G30,,Cystic lung or agenesis of lung- major CC,est/swe/lat/ice/den/fin/nor
04G40,,Other thoracic fracture- major CC,est/swe/lat/ice/den/fin/nor
04G99,,Complicate pulmonary disease- major CC,est/swe/lat/ice/den/fin/nor
04I17,04X01,"Complicated fracture of rib, needs activation",est/swe/lat/ice/den/fin/nor
04I20,04X01,"Other intrathoracic trauma, needs activation",est/swe/lat/ice/den/fin/nor
05C01,,Acute myocardial infarction,est/swe/lat/ice/den/fin/nor
05C02,,Acute or subacute endocarditis,est/swe/lat/ice/den/fin/nor
05C03,,Congestive heart failure,est/swe/lat/ice/den/fin/nor
05C04,,Other heart failure,est/swe/lat/ice/den/fin/nor
05C05,,Other rheumatic cardiacl complication,est/swe/lat/ice/den/fin/nor
05C06,,Rheumatic myocarditis,est/swe/lat/ice/den/fin/nor
05C07,,Flebitis in periferal veins,est/swe/lat/ice/den/fin/nor
05C08,,Flebitis in central organs,est/swe/lat/ice/den/fin/nor
05C09,,Cardiac arrest,est/swe/lat/ice/den/fin/nor
05C10,,Rupture of large artery,est/swe/lat/ice/den/fin/nor
05C11,,Embolism or thrombosis of large artery,est/swe/lat/ice/den/fin/nor
05C12,,Gangrene,est/swe/lat/ice/den/fin/nor
05C13,,Mitral valve disorder,est/swe/lat/ice/den/fin/nor
05C14,,Aortic valve disorder,est/swe/lat/ice/den/fin/nor
05C15,,Tricuspidal valve disorder,est/swe/lat/ice/den/fin/nor
05C16,,Pulmonary valve disorder,est/swe/lat/ice/den/fin/nor
05C17,,Hypertensive heart disease,est/swe/lat/ice/den/fin/nor
05C18,,Hypertensive disease associated with renal function,est/swe/lat/ice/den/fin/nor
05C19,,Major cardiac anomaly involving left ventricle,est/swe/lat/ice/den/fin/nor
05C20,,Complication of acute myocardial infarction,est/swe/lat/ice/den/fin/nor
05C21,,Congenital defect of pulmonary or tricuspid valve,est/swe/lat/ice/den/fin/nor
05C22,,Anomaly involving cardiac ventricles or valves,est/swe/lat/ice/den/fin/nor
05C23,,Other congenital anomalies of heart and coronary vessels,est/swe/lat/ice/den/fin/nor
05C24,,Congenital heart block and other cardiovascular anomalies,est/swe/lat/ice/den/fin/nor
05C25,,Congenital stenosis of aorta or vena cava,est/swe/lat/ice/den/fin/nor
05C26,,Malfunction of cardiovascular device or graft,est/swe/lat/ice/den/fin/nor
05C27,,Malfunction of cardiovascular device or graft NOS,est/swe/lat/ice/den/fin/nor
05C28,,Postmyocardial infarction syndome,est/swe/lat/ice/den/fin/nor
05C29,,Acute ischemic heart disease or coronary occlusion without myocardial infarction,est/swe/lat/ice/den/fin/nor
05C30,,Angina pectoris,est/swe/lat/ice/den/fin/nor
05C31,,Other myocarditis,est/swe/lat/ice/den/fin/nor
05C32,,Chagas disease of heart,est/swe/lat/ice/den/fin/nor
05C33,,Acute cor pulmonale,est/swe/lat/ice/den/fin/nor
05C34,,Pulmonary embolism/infarction,est/swe/lat/ice/den/fin/nor
05C35,,Primary pulmonal hypertension,est/swe/lat/ice/den/fin/nor
05C36,,Acute pericarditis,est/swe/lat/ice/den/fin/nor
05C37,,Chronic pericarditis of hemopericardium,est/swe/lat/ice/den/fin/nor
05C38,,Cardiomyopathy,est/swe/lat/ice/den/fin/nor
05C39,,Cardiac arrythmia,est/swe/lat/ice/den/fin/nor
05C40,,Heart disease post cardiac surgery,est/swe/lat/ice/den/fin/nor
05C42,,Complicated heart injury,est/swe/lat/ice/den/fin/nor
05C43,,Heart transplant status,est/swe/lat/ice/den/fin/nor
05C44,,Heart valve transplant,est/swe/lat/ice/den/fin/nor
05C45,,"Hemorrhage, NOS",est/swe/lat/ice/den/fin/nor
05C50,,Multiple valve disorders,est/swe/lat/ice/den/fin/nor
05C80,,Malignant neoplasm of heart,est/swe/lat/ice/den/fin/nor
05C81,,Malignant neoplasm of mesothelioma of pericardium,est/swe/lat/ice/den/fin/nor
05C83,,"Postprocedural disorder of circulatory system, unspecified",est/swe/lat/ice/den/fin/nor
05C84,,Presence of mechanical heart,swe/lat/ice/den/fin/nor
05G01,,Acute myocardial infarction- major CC,est/swe/lat/ice/den/fin/nor
05G02,,Acute or subacute endocarditis- major CC,est/swe/lat/ice/den/fin/nor
05G03,,Congestive heart failure- major CC,est/swe/lat/ice/den/fin/nor
05G04,,Other heart failure- major CC,est/swe/lat/ice/den/fin/nor
05G05,,Other rheumatic cardiacl complication- major CC,est/swe/lat/ice/den/fin/nor
05G06,,Rheumatic myocarditis- major CC,est/swe/lat/ice/den/fin/nor
05G07,,Flebitis in periferal veins- major CC,est/swe/lat/ice/den/fin/nor
05G08,,Flebitis in central organs- major CC,est/swe/lat/ice/den/fin/nor
05G09,,Cardiac arrest- major CC,est/swe/lat/ice/den/fin/nor
05G10,,Rupture of large artery- major CC,est/swe/lat/ice/den/fin/nor
05G11,,Embolism or thrombosis of large artery- major CC,est/swe/lat/ice/den/fin/nor
05G12,,Gangrene- major CC,est/swe/lat/ice/den/fin/nor
05G13,,Mitral valve disorder- major CC,est/swe/lat/ice/den/fin/nor
05G14,,Aortic valve disorder- major CC,est/swe/lat/ice/den/fin/nor
05G15,,Tricuspidal valve disorder- major CC,est/swe/lat/ice/den/fin/nor
05G16,,Pulmonary valve disorder- major CC,est/swe/lat/ice/den/fin/nor
05G17,,Hypertensive heart disease- major CC,est/swe/lat/ice/den/fin/nor
05G18,,Hypertensive disease associated with renal function- major CC,est/swe/lat/ice/den/fin/nor
05G19,,Major cardiac anomaly involving left ventricle- major CC,est/swe/lat/ice/den/fin/nor
05G20,,Complication of acute myocardial infarction- major CC,est/swe/lat/ice/den/fin/nor
05G21,,Congenital defect of pulmonary or tricuspid valve- major CC,est/swe/lat/ice/den/fin/nor
05G22,,Anomaly involving cardiac ventricles or valves- major CC,est/swe/lat/ice/den/fin/nor
05G23,,Other congenital anomalies of heart and coronary vessels- major CC,est/swe/lat/ice/den/fin/nor
05G24,,Congenital heart block and other cardiovascular anomalies- major CC,est/swe/lat/ice/den/fin/nor
05G25,,Congenital stenosis of aorta or vena cava- major CC,est/swe/lat/ice/den/fin/nor
05G26,,Malfunction of cardiovascular device or graft- major CC,est/swe/lat/ice/den/fin/nor
05G27,,Malfunction of cardiovascular device or graft NOS- major CC,est/swe/lat/ice/den/fin/nor
05G28,,Postmyocardial infarction syndome- major CC,est/swe/lat/ice/den/fin/nor
05G29,,Acute ischemic heart disease or coronary occlusion without myocardial infarction- major CC,est/swe/lat/ice/den/fin/nor
05G30,,Angina pectoris- major CC,est/swe/lat/ice/den/fin/nor
05G31,,Other myocarditis- major CC,est/swe/lat/ice/den/fin/nor
05G32,,Chagas disease of heart- major CC,est/swe/lat/ice/den/fin/nor
05G33,,Acute cor pulmonale- major CC,est/swe/lat/ice/den/fin/nor
05G34,,Pulmonary embolism/infarction- major CC,est/swe/lat/ice/den/fin/nor
05G35,,Primary pulmonal hypertension- major CC,est/swe/lat/ice/den/fin/nor
05G36,,Acute pericarditis- major CC,est/swe/lat/ice/den/fin/nor
05G37,,Chronic pericarditis of hemopericardium- major CC,est/swe/lat/ice/den/fin/nor
05G38,,Cardiomyopathy- major CC,est/swe/lat/ice/den/fin/nor
05G39,,Cardiac arrhythmia- major CC,est/swe/lat/ice/den/fin/nor
05G40,,Heart disease post cardiac surgery- major CC,est/swe/lat/ice/den/fin/nor
05G42,,Complicated heart injury- major CC,est/swe/lat/ice/den/fin/nor
05G43,,Heart transplant status- major CC,est/swe/lat/ice/den/fin/nor
05G44,,Heart valve transplant- major CC,est/swe/lat/ice/den/fin/nor
05G45,,"Hemorrhage, NOS- major CC",est/swe/lat/ice/den/fin/nor
05G50,,Multiple valve disorder- major CC,est/swe/lat/ice/den/fin/nor
05G80,,Malignant neoplasm of heart- major CC,est/swe/lat/ice/den/fin/nor
05G81,,Malignant neoplasm of mesothelioma of pericardium- major CC,est/swe/lat/ice/den/fin/nor
05G83,,"Postprocedural disorder of circulatory system, unspecified- major CC",est/swe/lat/ice/den/fin/nor
05G84,,Precence of mechanical heart- major CC,swe/lat/ice/den/fin/nor
05I42,04X01,"Complicated heart injury, needs activation",est/swe/lat/ice/den/fin/nor
06C01,,Bleeding esophageal varices,est/swe/lat/ice/den/fin/nor
06C02,,Malignant neoplasm of colon area,est/swe/lat/ice/den/fin/nor
06C04,,Malignant neoplasm of esofagus,est/swe/lat/ice/den/fin/nor
06C05,,Malignant neoplasm of stomach,est/swe/lat/ice/den/fin/nor
06C06,,Malignant neoplasm of small bowel,est/swe/lat/ice/den/fin/nor
06C07,,Malignant neoplasm of rectum and anus,est/swe/lat/ice/den/fin/nor
06C08,,"Secondary malignancy of bowel, liver and peritoneum",est/swe/lat/ice/den/fin/nor
06C09,,Other esophageal problems,est/swe/lat/ice/den/fin/nor
06C10,,Complicated or bleeding gastric or bowel ulcer,est/swe/lat/ice/den/fin/nor
06C11,,Adult hypertrofic puloric stenosis,est/swe/lat/ice/den/fin/nor
06C12,,Duodenal obstruction or gastric/duodenal fistula,est/swe/lat/ice/den/fin/nor
06C13,,G.I. obstruction,est/swe/lat/ice/den/fin/nor
06C14,,Perforation of esophagus,est/swe/lat/ice/den/fin/nor
06C15,,Complicated diaphragmatic hernia,est/swe/lat/ice/den/fin/nor
06C16,,Malabosrtion,est/swe/lat/ice/den/fin/nor
06C17,,Peritonitis,est/swe/lat/ice/den/fin/nor
06C18,,Complicated injury of intra-abdominal organs,est/swe/lat/ice/den/fin/nor
06C19,,Complicated femoral or inguinal hernia,est/swe/lat/ice/den/fin/nor
06C20,,Complicated other abdominal hernia,est/swe/lat/ice/den/fin/nor
06C21,,Complicated unspecified abdominal hernia,est/swe/lat/ice/den/fin/nor
06C22,,Vascular insufficiency of intestine,est/swe/lat/ice/den/fin/nor
06C23,,Anorectal abscess,est/swe/lat/ice/den/fin/nor
06C24,,Perforation of intestine,est/swe/lat/ice/den/fin/nor
06C25,,Ascites or peritoneal malignancy,est/swe/lat/ice/den/fin/nor
06C26,,Gastroenteritis,est/swe/lat/ice/den/fin/nor
06C27,,Inflammatory or functional bowel disease,est/swe/lat/ice/den/fin/nor
06C28,,Gastrointestinal anomaly,est/swe/lat/ice/den/fin/nor
06C80,,Radiation proctitis,est/swe/lat/ice/den/fin/nor
06C81,,Congenital malformations of spleen,est/swe/lat/ice/den/fin/nor
06C84,,Acute dilatation of stomach,est/swe/lat/ice/den/fin/nor
06C85,,Gastroenteritis and colitis due to radiation,est/swe/lat/ice/den/fin/nor
06C86,,Toxic gastroenteritis and colitis,est/swe/lat/ice/den/fin/nor
06C87,,Abscess of intestine,est/swe/lat/ice/den/fin/nor
06C88,,Haemoperitoneum,est/swe/lat/ice/den/fin/nor
06C89,,Colostomy and enterostomy malfunction,est/swe/lat/ice/den/fin/nor
06G01,,Bleeding esophageal varices- major CC,est/swe/lat/ice/den/fin/nor
06G02,,Malignant neoplasm of colon area- major CC,est/swe/lat/ice/den/fin/nor
06G04,,Malignant neoplasm of esofagus- major CC,est/swe/lat/ice/den/fin/nor
06G05,,Malignant neoplasm of stomach- major CC,est/swe/lat/ice/den/fin/nor
06G06,,Malignant neoplasm of small bowel- major CC,est/swe/lat/ice/den/fin/nor
06G07,,Malignant neoplasm of rectum and anus- major CC,est/swe/lat/ice/den/fin/nor
06G08,,"Secondary malignancy of bowel, liver and peritoneum- major CC",est/swe/lat/ice/den/fin/nor
06G09,,Other esophageal problem- major CC,est/swe/lat/ice/den/fin/nor
06G10,,Complicated or bleeding gastric or bowel ulcer- major CC,est/swe/lat/ice/den/fin/nor
06G11,,Adult hypertrofic puloric stenosis- major CC,est/swe/lat/ice/den/fin/nor
06G12,,Duodenal obstruction or gastric/duodenal fistula- major CC,est/swe/lat/ice/den/fin/nor
06G13,,G.I. obstruction- major CC,est/swe/lat/ice/den/fin/nor
06G14,,Perforation of esophagus- major CC,est/swe/lat/ice/den/fin/nor
06G15,,Complicated diaphragmatic hernia- major CC,est/swe/lat/ice/den/fin/nor
06G16,,Malabosrtion- major CC,est/swe/lat/ice/den/fin/nor
06G17,,Peritonitis- major CC,est/swe/lat/ice/den/fin/nor
06G18,,Complicated injury of intra-abdominal organs- major CC,est/swe/lat/ice/den/fin/nor
06G19,,Complicated femoral or inguinal hernia- major CC,est/swe/lat/ice/den/fin/nor
06G20,,Complicated other abdominal hernia- major CC,est/swe/lat/ice/den/fin/nor
06G21,,Complicated unspecified abdominal hernia- major CC,est/swe/lat/ice/den/fin/nor
06G22,,Vascular insufficiency of intestine- major CC,est/swe/lat/ice/den/fin/nor
06G23,,Anorectal abscess- major CC,est/swe/lat/ice/den/fin/nor
06G24,,Perforation of intestine- major CC,est/swe/lat/ice/den/fin/nor
06G25,,Ascites or peritoneal malignancy- major CC,est/swe/lat/ice/den/fin/nor
06G26,,Gastroenteritis- major CC,est/swe/lat/ice/den/fin/nor
06G27,,Inflammatory or functional bowel disease- major CC,est/swe/lat/ice/den/fin/nor
06G28,,Gastrointestinal anomaly- major CC,est/swe/lat/ice/den/fin/nor
06G80,,Radiation proctitis- major CC,est/swe/lat/ice/den/fin/nor
06G81,,Congenital malformations of spleen- major CC,est/swe/lat/ice/den/fin/nor
06G84,,Acute dilatation of stomach- major CC,est/swe/lat/ice/den/fin/nor
06G85,,Gastroenteritis and colitis due to radiation- major CC,est/swe/lat/ice/den/fin/nor
06G86,,Toxic gastroenteritis and colitis- major CC,est/swe/lat/ice/den/fin/nor
06G87,,Abscess of intestine- major CC,est/swe/lat/ice/den/fin/nor
06G88,,Haemoperitoneum- major CC,est/swe/lat/ice/den/fin/nor
06G89,,Colostomy and enterostomy malfunction- major CC,est/swe/lat/ice/den/fin/nor
06I10,06X10,"Complicated or bleeding gastric or bowel ulcer, needs activation",est/swe/lat/ice/den/fin/nor
06I18,06X04,"Complicated injury of intra-abdominal organs, needs activation",est/swe/lat/ice/den/fin/nor
07C01,,Alcohol cirrhosis liver,est/swe/lat/ice/den/fin/nor
07C03,,Malignant neoplasm of liver,est/swe/lat/ice/den/fin/nor
07C04,,Malignant neoplasm of biliary tract,est/swe/lat/ice/den/fin/nor
07C05,,Malignant neoplasm of pancreas,est/swe/lat/ice/den/fin/nor
07C06,,Acute pancreatitis,est/swe/lat/ice/den/fin/nor
07C07,,Chronic panreatitis,est/swe/lat/ice/den/fin/nor
07C08,,Viral hepatitis,est/swe/lat/ice/den/fin/nor
07C09,,Cirrhosis of liver or chronic hepatitis (not alcohol),est/swe/lat/ice/den/fin/nor
07C10,,Abscess of liver,est/swe/lat/ice/den/fin/nor
07C11,,Acute liver failure or hepatic coma,est/swe/lat/ice/den/fin/nor
07C12,,"Hepatitis, different etiologies",est/swe/lat/ice/den/fin/nor
07C13,,Hepatic infarction,est/swe/lat/ice/den/fin/nor
07C14,,Liver transplant status,est/swe/lat/ice/den/fin/nor
07C15,,Chronic cholecystitis,est/swe/lat/ice/den/fin/nor
07C16,,Perforation of bile duct,est/swe/lat/ice/den/fin/nor
07C17,,"Obstruction, perforation of fistula of gallbladder",est/swe/lat/ice/den/fin/nor
07C18,,Acute cholecystitis,est/swe/lat/ice/den/fin/nor
07C19,,Cholangitis,est/swe/lat/ice/den/fin/nor
07C20,,Acute necrosis of liver,est/swe/lat/ice/den/fin/nor
07C22,,Hepatobiliary anomaly,est/swe/lat/ice/den/fin/nor
07G01,,Alcohol cirrhosis liver- major CC,est/swe/lat/ice/den/fin/nor
07G03,,Malignant neoplasm of liver- major CC,est/swe/lat/ice/den/fin/nor
07G04,,Malignant neoplasm of biliary tract- major CC,est/swe/lat/ice/den/fin/nor
07G05,,Malignant neoplasm of pancreas- major CC,est/swe/lat/ice/den/fin/nor
07G06,,Acute pancreatitis- major CC,est/swe/lat/ice/den/fin/nor
07G07,,Chronic panreatitis- major CC,est/swe/lat/ice/den/fin/nor
07G08,,Viral hepatitis- major CC,est/swe/lat/ice/den/fin/nor
07G09,,Cirrhosis of liver or chronic hepatitis (not alcohol)- major CC,est/swe/lat/ice/den/fin/nor
07G10,,Abscess of liver- major CC,est/swe/lat/ice/den/fin/nor
07G11,,Acute liver failure or hepatic coma- major CC,est/swe/lat/ice/den/fin/nor
07G12,,"Hepatitis, different etiologies- major CC",est/swe/lat/ice/den/fin/nor
07G13,,Hepatic infarction- major CC,est/swe/lat/ice/den/fin/nor
07G14,,Liver transplant status- major CC,est/swe/lat/ice/den/fin/nor
07G15,,Chronic cholecystitis- major CC,est/swe/lat/ice/den/fin/nor
07G16,,Perforation of bile duct- major CC,est/swe/lat/ice/den/fin/nor
07G17,,"Obstruction, perforation of fistula of gallbladder- major CC",est/swe/lat/ice/den/fin/nor
07G18,,Acute cholecystitis- major CC,est/swe/lat/ice/den/fin/nor
