procprop,varval_text_comb,extens,nat_ver
01S30,Intracranial endovascular trombolysis,0.0,est/swe/lat/ice/den/fin/nor
01S35,Intracranial endovascular trombectomy,1.0,swe
01S37,Intracranial endovascular stent,0.0,swe
01S50,Stereotactic intracranial radiotherapy,0.0,est/swe/lat/ice/fin/nor/den
01S51,Insertion or replacement of nervous system central stimulation device,0.0,est/swe/lat/ice/den/fin/nor
01S52,Implantation of intracranial or vagal nerve stimulator,0.0,est/swe/lat/ice/den/fin
01V01,CNS catheter procedure,0.0,swe
01V02,Blockade of nerve,0.0,swe
01V04,Direct CNS medication,0.0,swe
01V05,Lumbal puncture,0.0,swe
01V06,EEG,0.0,swe
01V07,EMG or ENG,0.0,swe
01V08,Adjustment of implanted CNS stimulator or shunt,0.0,swe
01V09,"Blockade of nerve, demanding",0.0,swe
02D01,"Diagnostic procedure of head, neck and central nervous system in MDC 02",0.0,fin
02D02,"Demanding diagn proc of head, neck and central nervous system in MDC 02",0.0,fin
02O01,Major diagnostic intervention of eye,0.0,ice/nor
02O02,Biopsy or other minor diagnostic procedure for eye problem,0.0,ice/nor
02O03,Minor outpatient eye procedure,0.0,ice/nor
02O05,Medication to eye,0.0,ice/nor
02O06,Specific drug treatment for eye disorders,0.0,nor
02S01,Procedure of the orbit,0.0,est/swe/lat/ice/den/fin/nor
02S02,Procedure of the retina,0.0,est/swe/lat/ice/den/fin/nor
02S03,Extraocular procedure but not procedure of the orbit,0.0,est/swe/lat/ice/den/fin/nor
02S04,"Intraocular procedure but not procedure of retina, iris or lens",0.0,est/swe/lat/ice/den/fin/nor
02S05,Procedure of the lens,0.0,est/swe/lat/ice/den/fin/nor
02S06,Procedure of the iris,0.0,est/swe/lat/ice/den/fin/nor
02S07,Procedure on vitreous,0.0,est/swe/lat/ice/den/fin/nor
02S14,Extraocular muscle procedure,0.0,est/swe/lat/ice/den/fin/nor
02S22,Brachytherapy of eye,0.0,est/swe/lat/ice/den/fin/nor
02S24,Major eye surgery,0.0,est/swe/lat/ice/den/fin/nor
02S25,Puncture of vitreous body with injection,0.0,fin
02S30,Laser procedures on iris and chamber angle,0.0,est/swe/lat/ice/den/fin/nor
02S31,Procedures on intraocular pressure,0.0,est/swe/lat/ice/den/fin/nor
02S33,Transplantation of cornea,0.0,est/swe/lat/ice/den/fin/nor
02V01,Major diagnostic ophtalmologic test,0.0,swe
02V02,Medication to eye,0.0,swe
02V03,Eye biopsy,0.0,swe
02V04,Therapeutic eye procedure,0.0,swe
02V05,Other diagnostic ophtalmologic test,0.0,swe
02V06,Eye photography,0.0,swe
02V07,Photodynamic therapy of eye,0.0,swe
03D01,"Diagnostic procedure of head, neck and central nervous system in MDC 03",0.0,fin
03D02,"Demanding diagn proc of head, neck and central nervous system in MDC 03",0.0,fin
03D11,Extensive mouth radiology,0.0,fin
03E01,Diagnostic endoscopy of upper respiratory tract for ENMT problems,0.0,est/swe/lat/ice/den/fin/nor
03E02,Diagnostic tracheo-bronchoscopy for ENMT problems,0.0,est/swe/lat/ice/den/fin/nor
03E03,Esophagoscopy with insertion of stent for ENMT problems,0.0,est/swe/lat/ice/den/fin/nor
03E06,Therapeutic endoscopy of upper gastrointestinal tract for ENMT problem,0.0,est/swe/lat/ice/den/fin/nor
03E11,Endoscopy of oesophagus for ENMT problems,0.0,est/swe/lat/ice/den/fin/nor
03E20,Endoscopic procedures of mouth and throat,0.0,est/swe/lat/ice/den/fin/nor
03O01,Major outpatient procedures for ENM problems,0.0,ice/nor
03O02,Diagnostic intervention for sleep apnoe,0.0,ice/nor
03O04,ENM biopsy,0.0,ice/nor
03O05,Other ENM interventions,0.0,ice/nor
03O06,Hearing improving interventions,0.0,ice/nor
03O10,Other tooth procedure,0.0,ice/nor
03O11,Complex diagnostic procedures for ENM problems,0.0,ice/nor
03O12,Local diagnostic procedures for ENM problems,0.0,ice/nor
03O13,Major ENT procedures for children,0.0,nor
03S01,Major head or neck procedure,1.0,est/swe/lat/ice/den/fin/nor
03S03,Tonsillectomy or adenoidectomy,0.0,est/swe/lat/ice/den/fin/nor
03S04,Cleft lip and palate repair,1.0,est/swe/lat/ice/den/fin/nor
03S05,Procedure of the mouth,0.0,est/swe/lat/ice/den/fin/nor
03S06,Procedure of paranasal sinus or mastoid,1.0,est/swe/lat/ice/den/fin/nor
03S07,Rhinoplasty,0.0,est/swe/lat/ice/den/fin/nor
03S08,Parotidectomy,0.0,est/swe/lat/ice/den/fin/nor
03S09,Salivary gland procedure except paratidectomy,0.0,est/swe/lat/ice/den/fin/nor
03S10,"Miscellaneous ear, nose, mouth or throat procedure",0.0,est/swe/lat/ice/den/fin/nor
03S11,Special tonsillar and/or adenoid procedure,0.0,est/swe/lat/ice/den/fin/nor
03S12,"Other ear, nose, mouth or throat OR procedure",0.0,est/swe/lat/ice/den/fin/nor
03S13,Dental extraction or restoration,0.0,est/swe/lat/ice/den/nor
03S14,Procedure associated with cleft lip and palate,0.0,est/swe/lat/ice/den/fin/nor
03S21,Secondary correction operation for cleft lip,0.0,fin
03S22,Surgery of mastoid and temporal bone,1.0,est/swe/lat/ice/den/fin/nor
03S23,Simple correction of obstructive apnoe,0.0,est/swe/lat/ice/den/fin/nor
03S24,Insertion of cochlear implant,1.0,est/swe/lat/ice/den/fin/nor
03S25,Surgery of fixed osseous hearing implant/device,1.0,swe
03S34,Dental implant operations,0.0,nor
03S40,Extensive mouth and jaw surgery,0.0,fin
03S41,Mouth and jaw surgery,0.0,fin
03S42,Extensive mouth intervention,0.0,fin
03S43,Mouth intervention,0.0,fin
03S44,Major jaw procedure,0.0,nor
03S90,"Secondary procedure for ear, nose and mouth area",0.0,fin
03S99,"Minor procedure in ear, nose and throat diseases",0.0,est/swe/lat/ice/den/fin/nor
03V01,"Major ear, nose and mouth procedure",0.0,swe
03V02,Sleep apnoe examination,0.0,swe/lat/ice/nor/den
03V03,Examination of mouth and throat motor functions,0.0,swe
03V04,"Ear, nose and mouth biopsy",0.0,swe
03V05,"Incision and suture for ear, nose and mouth lesion",0.0,swe
03V06,"Other ear, nose and mouth procedure",0.0,swe
03V07,Hearing improving intervention,0.0,swe
03V08,Major audiometry,0.0,swe
03V09,Assisting procedure for cochlear implant,0.0,swe
03V10,Minor audiometry,0.0,swe
03V11,Updating or replacement of speech processor for cochlear implants,0.0,swe
03V12,Non Surgical procedure of fixed osseous hearing implant/device,0.0,swe
03V13,Updating or exchange of sound processor,0.0,swe
04D21,"Diagnostic proc of heart, large vessels and other intrathoracic organs in MDC 04",0.0,fin
04D22,"Demanding diagn proc of heart, large vessels and other intrathoracic organs in MDC 04",0.0,fin
04E02,Endoscopy of respiratory tract and organs for respiratory problems,0.0,est/swe/lat/ice/den/fin/nor
04E11,Endoscopy of upper gastrointestinal tract for diseases of the respiratory system,0.0,est/swe/lat/ice/fin/nor/den
04O11,Minor thoracic procedure,0.0,ice/nor
04O12,Respiratory function measurement,0.0,ice/nor
04S01,Major chest procedure,1.0,est/swe/lat/ice/den/fin/nor
04S02,Other respiratory system OR procedure,0.0,est/swe/lat/ice/den/fin/nor
04S03,Mechanical ventilation,0.0,swe/lat/ice/den/fin/nor
04S04,Positive airway pressure therapy,0.0,swe/lat/ice/den/fin/nor
04V02,Thoraxpuncture,0.0,swe
04V03,MInor spirometry,0.0,swe
04V04,Other pulmonological interventions,0.0,swe
05D01,"Diagnostic procedure of head, neck and central nervous system in MDC 05",0.0,fin
05D02,"Demanding diagn proc of head, neck and central nervous system in MDC 05",0.0,fin
05D11,Diagnostic procedure of endocrine organs in MDC 05,0.0,fin
05D21,"Diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 05",0.0,fin
05D22,"Demanding diagn proc of heart, large vessels and other intrathoracic organs in MDC 05",0.0,fin
05D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 05",0.0,fin
05D61,Diagnostic procedure of periferal vascular system in MDC 05,0.0,fin
05D62,Demanding diagnostic procedure of periferal vascular system in MDC 05,0.0,fin
05D64,Diagnostic procedure of lymfatic system in MDC 05,0.0,fin
05O02,Cardioversion,0.0,ice/nor/fin/est/lat
05O21,Peripheral circulation diagnostic test,0.0,ice
05O22,Physiological cardiac diagnostic test,0.0,ice
05O23,Oedema therapy,0.0,ice
05S01,Cardiac transplantation support procedures,1.0,est/swe/lat/ice/den/fin/nor
05S02,Cardiac valve procedure,1.0,est/swe/lat/ice/den/fin/nor
05S05,Cardiac catheterization,0.0,est/swe/lat/ice/den/fin/nor
05S06,Procedure of heart atrium and ventricles or coronary arteries,1.0,est/swe/lat/ice/den/fin/nor
05S07,Resection of abdominal aorta with replacement,1.0,est/swe/lat/ice/den/fin/nor
05S08,Resection of thoracic vessel with replacement,1.0,est/swe/lat/ice/den/fin/nor
05S09,Coronary bypass,1.0,est/swe/lat/ice/den/fin/nor
05S11,Major cardiovascular procedure,1.0,est/swe/lat/ice/den/fin/nor
05S12,Amputation of lower limb except toe,0.0,est/swe/lat/ice/den/fin/nor
05S15,Other vascular procedures,0.0,est/swe/lat/ice/den/fin/nor
05S16,Other percutaneous cardiovascular procedures,0.0,est/swe/lat/ice/den/fin/nor
05S17,Amputation upper limb or toe,0.0,est/swe/lat/ice/den/fin/nor
05S18,Vein ligation or stripping,0.0,est/swe/lat/ice/den/fin/nor
05S19,Other circulatory system OR procedures,0.0,est/swe/lat/ice/den/fin/nor
05S20,Percutaneous ablation for cardiac arrhytmias,0.0,est/swe/lat/ice/den/fin/nor
05S21,Assisting procedure in open heart surgery,0.0,est/swe/lat/ice/den/fin/nor
05S22,"Procedure on heart, aorta or pulmonary artery possibly with extracorporeal circulation",1.0,est/swe/lat/ice/den/fin/nor
05S23,Extracorporeal circulation of extremity,0.0,swe/fin/est/nor/ice
05S24,Biopsy of heart ventricle,0.0,est/swe/lat/ice/den/fin/nor
05S25,Percutaneous dilatation of coronary arteries,0.0,est/swe/lat/ice/den/fin/nor
05S34,Correctional procedures for vascular problems of lower extremitity,0.0,fin
05S35,Aortic procedures,1.0,est/swe/lat/ice/den/fin/nor
05S40,Implantation of cardiac defibrillator,0.0,est/swe/lat/ice/den/fin/nor
05S41,Implantation of pacemaker,0.0,est/swe/lat/ice/den/fin/nor
05S42,Revision or removal of pacemaker or defibrillator,0.0,est/swe/lat/ice/den/fin/nor
05S43,Implantation of biventricular pacemaker,0.0,swe
05S44,Implantation of loop recorder,0.0,swe
05S45,Implementation of transcutaneous defibrillator,0.0,swe
05S60,"Procedure on heart, blood vessels together with Cesarean section",0.0,est/swe/lat/ice/fin
05S80,Percutaneous heart valve implantation,0.0,est/swe/lat/ice/den/fin/nor
05V01,Invasive examination of circulation,0.0,swe
05V02,Cardioversion,0.0,swe
05V03,Closure of other minor blood vessels,0.0,swe
05V04,Transesophageal cardiac stimulation,0.0,swe
05V06,Long term blood pressure and ECG monitoring,0.0,swe
05V08,Cardiac ergometry,0.0,swe
05V09,Cardiac ultrasonography,0.0,swe
05V10,Examination of circulatory physiology,0.0,swe
05V11,ECG,0.0,swe
05V12,Blood vessel biopsy etc.,0.0,swe
05V13,Blood vessel ultrasonography,0.0,swe
05V14,Check-up of patient with pacemaker-/ICD,0.0,swe
05V15,Control and adjustment of intra- or paracorporeal VAD,0.0,swe
05V39,Cardiovascular administration of care,0.0,swe
06D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 06",0.0,fin
06D32,"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 06",0.0,fin
06D41,Diagnostic procedure of musculosceletal system in MDC 06,0.0,fin
06D61,Diagnostic procedure of periferal vascular system in MDC 06,0.0,fin
06D62,Demanding diagnostic procedure of periferal vascular system in MDC 06,0.0,fin
06E03,Esophagoscopy with insertion of stent for gastrointestinal problem,0.0,est/swe/lat/ice/den/fin/nor
06E04,Therapeutic enteroscopy,0.0,est/swe/lat/ice/den/fin/nor
06E06,Therapeutic endoscopy of upper gastrointestinal tract for gastrointestinal problem,0.0,est/swe/lat/ice/den/fin/nor
06E07,Therapeutic rectoscopy for gastrointestinal problem,0.0,est/swe/lat/ice/den/fin/nor
06E08,Endoscopic treatment of hemorrhoids,0.0,est/swe/lat/ice/fin/nor
06E09,Enteroscopy for gastrointestinal problem,0.0,est/swe/lat/ice/den/fin/nor
06E10,Colonoscopy for gastrointestinal diseases,0.0,est/swe/lat/ice/den/fin/nor
06E11,Endoscopy of upper gastrointestinal tract for gastrointestinal problem,0.0,est/swe/lat/ice/den/fin/nor
06E12,Rectosigmoideoscopy for gastrointestinal problem,0.0,est/swe/lat/ice/den/fin/nor
06E13,Endoscopic insertion of stent to biliary tract or pancreas for gastrointestinal problem,0.0,est/swe/lat/ice/den/fin/nor
06E14,Other therapeutic endoscopy of biliary tract for gastrointestinal problem,0.0,est/swe/lat/ice/den/fin/nor
06E20,Capsular endoscopy,0.0,est/swe/lat/ice/den/fin/nor
06O04,Minor abdominal procedure,0.0,ice/nor
06O05,Gastrointestinal sonds and catheters,0.0,ice/nor
06O06,Gastrointestinal minor invasive biopsy,0.0,ice/nor
06S01,"Stomach, esophagus or duodenum procedure",1.0,est/swe/lat/ice/den/fin/nor
06S02,Major small or large bowel procedure,1.0,est/swe/lat/ice/den/fin/nor
06S03,Rectal resection,1.0,est/swe/lat/ice/den/fin/nor
06S04,Peritoneal adhesiolysis,0.0,est/swe/lat/ice/den/fin/nor
06S05,Appendectomy,0.0,est/swe/lat/ice/den/fin/nor
06S06,Small or large bowel procedure,0.0,est/swe/lat/ice/den/fin/nor
06S07,Minor intestinal procedure,0.0,est/swe/lat/ice/den/fin/nor
06S08,Inguinal or femoral herniotomy,0.0,est/swe/lat/ice/den/fin/nor
06S09,Other herniotomy,0.0,est/swe/lat/ice/den/fin/nor
06S10,Other digestive system OR procedure,0.0,est/swe/lat/ice/den/fin/nor
06S20,Diagnostic pleural procedure,0.0,est/swe/lat/ice/den/fin/nor
06S21,"Major operation on stomach, esophagus and duodenum",1.0,est/swe/lat/ice/den/fin/nor
06S30,Removal of retroperitoneal tumour,0.0,est/swe/lat/ice/den/fin/nor
06V02,Gastrointestinal physiologic test,0.0,swe
06V03,Puncture or biopsy of abdominal organ without endoscopy,0.0,swe
06V06,Gastrointestinal sond or tube intervention,0.0,swe
06V07,Minor intestinal or abdominal intervention,0.0,swe
07D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 07",0.0,fin
07D32,"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic  organs in MDC 07",0.0,fin
07D61,Diagnostic procedure of periferal vascular system in MDC 07,0.0,fin
07D62,Demanding diagnostic procedure of periferal vascular system in MDC 07,0.0,fin
07E06,Therapeutic endoscopy of upper gastrointestinal tract for hepatobiliar problem,0.0,est/swe/lat/ice/den/fin/nor
07E13,Endoscopic insertion of stent to biliary tract or pancreas for hepatobiliar problem,0.0,est/swe/lat/ice/den/fin/nor
07E14,Other therapeutic endoscopy of biliary tract for hepatobiliary problem,0.0,est/swe/lat/ice/den/fin/nor
07E15,Diagnostic endoscopy of biliary tract for gastrointestinal problem,0.0,est/swe/lat/ice/den/fin/nor
07O01,Transcutaneous hepatobiliary procedure,0.0,ice/nor
07S01,"Pancreas, liver or splanchnic shunt procedure",1.0,est/swe/lat/ice/den/fin/nor
07S02,Common bile duct exploration,0.0,est/swe/lat/ice/den/fin/nor
07S03,Cholecystectomy,0.0,est/swe/lat/ice/den/fin/nor
07S04,Laparoscopic cholecystectomy,0.0,est/swe/lat/ice/den/fin/nor
07S05,Other biliary tract procedure,0.0,est/swe/lat/ice/den/fin/nor
07S06,Hepatobiliary diagnostic procedure,0.0,est/swe/lat/ice/den/fin/nor
07S07,Other hepatobiliary or pancreas procedure,0.0,est/swe/lat/ice/den/fin/nor
07S08,Endoscopic procedure of choledochus or pancreas,0.0,est/swe/lat/ice/den/fin/nor
07S09,Intravascular radioactive treatment of cancer,0.0,swe
07S10,Isolated hepatic perfusion,0.0,swe
07V01,Extracorporeal shock wave litotripsy,0.0,swe
07V02,Hepatobiliary or pancreas punktion,0.0,swe
08D02,"Demanding diagnostic procedure of head, neck and central nervous system in MDC 08",0.0,fin
08D41,Diagnostic procedure of musculosceletal system in MDC08,0.0,fin
08D42,Demanding diagnostic procedure of musculosceletal system in MDC 08,0.0,fin
08D61,Diagnostic procedure of periferal vascular system in MDC 08,0.0,fin
08O09,Implantation of sceletal marker,0.0,ice
08O14,Intra-articular medication,0.0,ice
08O15,Application of prefabricated orthosis,0.0,ice
08O16,Simple incisons and foreign body removals in orthopedics,0.0,ice
08O17,Muscle and sceletal biopsies,0.0,ice/nor
08O18,Puncture of joint,0.0,ice
08O19,Closed joint or fracture reduction or joint mobilisation,0.0,ice/nor
08O20,Othopaedic bandage,0.0,ice/nor
08O21,Othopaedic prosthesis testing and check-up,0.0,ice
08O22,Orthopaedic diagnostic ultrasound,0.0,ice
08O23,Non-surgery treatment of Dupuytrens contraktur,,nor
08O50,Hip secondary reconstruction procedure,0.0,nor
08O51,Hip secondary basic procedure,0.0,nor
08O52,Knee secondary reconstruction procedure,0.0,nor
08S02,Wound debriment or skin graft procedure,0.0,est/swe/lat/ice/den/fin/nor
08S04,Musculosceletal system or connective tissue biopsy,0.0,est/swe/lat/ice/den/fin/nor
08S06,Amputation,1.0,est/swe/lat/ice/den/fin/nor
08S08,Back or neck procedure,1.0,est/swe/lat/ice/den/fin/nor
08S10,Foot and leg procedures for infection,0.0,est/swe/lat/ice/den/fin/nor
08S11,"Local excision and removal of internal fixation devices, except hip and femur",0.0,est/swe/lat/ice/den/fin/nor
08S12,Soft tissue procedure,0.0,est/swe/lat/ice/den/fin/nor
08S13,Local excision or removal of internal fixation devices from hip or femur,0.0,est/swe/lat/ice/den/fin/nor
08S14,Interbody fusion of spine,1.0,est/swe/lat/ice/den/fin/nor
08S15,Other fusion of spine,1.0,est/swe/lat/ice/den/fin/nor
08S16,Combined anterior and posterior fusion of spine,1.0,est/swe/lat/ice/den/fin/nor
08S18,Open fracture surgery of spine,0.0,est/swe/lat/ice/den/fin/nor
08S19,Arthroscopy,0.0,est/swe/lat/ice/den/fin/nor
08S20,Other musculosceletal system or connective tissue OR procedure,0.0,est/swe/lat/ice/den/fin/nor
08S40,Tumor removal from shoulder or humerus,0.0,est/swe/lat/ice/den/fin/nor
08S41,Tumor removal from elbow or forearm,0.0,est/swe/lat/ice/den/fin/nor
08S42,Tumor removal from wrist or hand,0.0,est/swe/lat/ice/den/fin/nor
08S43,"Tumor removal from pelvis, hip or femur",0.0,est/swe/lat/ice/den/fin/nor
08S44,Tumor removal form knee or lower leg,0.0,est/swe/lat/ice/den/fin/nor
08S45,Tumor removal from ankle or foot,0.0,est/swe/lat/ice/den/fin/nor
08S46,Procedure for syndactyly of hand,0.0,est/swe/lat/ice/den/fin/nor
08S47,Procedure for syndactyly of foot,0.0,est/swe/lat/ice/den/fin/nor
08S50,Shoulder or humerus procedure,0.0,est/swe/lat/ice/den/fin/nor
08S51,Major shoulder procedures,0.0,est/swe/lat/ice/den/fin/nor
08S52,Other shoulder  procedure,0.0,est/swe/lat/ice/den/fin/nor
08S53,Humerus procedure,0.0,est/swe/lat/ice/den/fin/nor
08S54,"Fracture procedures of shoulder, humerus, elbow and forearm, except prosthetic replacement",0.0,nor
08S55,Major elbow or forearm procedure,0.0,est/swe/lat/ice/den/fin/nor
08S56,Other elbow or forearm procedure,0.0,est/swe/lat/ice/den/fin/nor
08S57,Major thumb or wrist procedure,0.0,est/swe/lat/ice/den/fin/nor
08S58,Other hand or wrist procedure,0.0,est/swe/lat/ice/den/fin/nor
08S59,"Other procedures of shoulder, humerus, elbow and forearm except prosthetic replacement and",0.0,nor
08S60,Joint replacement or limb reattachment procedure of the upper extremity,1.0,est/swe/lat/ice/den/fin/nor
08S61,Prosthetic replacement of joint of shoulder,0.0,est/swe/lat/ice/den/fin/nor
08S62,Prosthetic replacement of elbow,0.0,est/swe/lat/ice/den/fin/nor
08S70,Major knee procedures in  short therapy,0.0,est/swe/lat/ice/den/fin/nor
08S71,"Pelvic, hip or femur procedure, except major joint",0.0,est/swe/lat/ice/den/fin/nor
08S72,Knee procedure except major joint,0.0,est/swe/lat/ice/den/fin/nor
08S73,Procedure of lower leg or ankle except major joint or soft tissue procedure,0.0,est/swe/lat/ice/den/fin/nor
08S74,Procedure of foot except major joint,0.0,est/swe/lat/ice/den/fin/nor
08S75,Procedure on knee or lower leg,0.0,est/swe/lat/ice/den/fin/nor
08S76,Procedure on ankle or foot,0.0,est/swe/lat/ice/den/fin/nor
08S77,Fracture surgery of ankle and foot,0.0,fin
08S78,"Major pelvic, hip or femur trauma procedure",1.0,est/swe/lat/ice/den/fin/nor
08S79,Limb reattachment in lower extremity,1.0,fin
08S81,Prosthetic replacement of joint of hip or pelvis,1.0,est/swe/lat/ice/den/fin/nor
08S82,Replacement of knee by prosthesis,1.0,est/swe/lat/ice/den/fin/nor
08S83,Total replacement of ankle by prosthesis,1.0,est/swe/lat/ice/den/fin/nor
08S91,Excision of bone for graft,0.0,est/swe/lat/ice/den/fin/nor
08S92,Reoperation on large lower leg joint prosthesis,0.0,est/swe/lat/ice/den/fin/nor
08S93,Hip secondary procedure,1.0,est/swe/lat/ice/den/fin
08S94,Knee secondary procedure,1.0,est/swe/lat/ice/den/fin/nor
08S95,Secondary ankle procedure,1.0,est/swe/lat/ice/den/fin/nor
08S98,Extern fixation of wrist,0.0,est/swe/lat/ice/den/fin
08V02,Closed intervention on joint or reposition of fracture,0.0,swe
08V04,Puncture of deep joint or rinsing of joint,0.0,swe
08V05,Musculosceletal puncture for biopsy,0.0,swe
08V06,Minor incision of musculosceletal soft tissue,0.0,swe
08V07,Intra articular medication,0.0,swe
08V08,Orthopedic bandage of extremity,0.0,swe
08V09,Extraction of external fixation,0.0,swe
08V10,Orthopedic bandage with custom molded splint,0.0,swe
08V11,Implantation of sceletal marker,0.0,swe
08V12,Puncture of other joint,0.0,swe
08V14,Orthopedic bandage,0.0,swe
08V15,Prefabricated orthosis,0.0,swe
09O01,Photodynamic procedure,0.0,ice/nor
09O05,Other procedure applying light,0.0,ice/nor
09O10,Major wound therapy,0.0,ice/nor
09O11,Other minor skin procedure,0.0,ice/nor
09O12,Excision or destruction of skin lesion,0.0,nor
09O90,Photodynamic method,0.0,ice/nor
09S01,Skin graft or debridement procedure,0.0,est/swe/lat/ice/den/fin/nor
09S02,Plastic procedure,0.0,est/swe/lat/ice/den/fin/nor
09S06,Perianal procedure,0.0,est/swe/lat/ice/den/fin/nor
09S07,"Other skin, subcutaneous tissue or breast procedure",0.0,est/swe/lat/ice/den/fin/nor
09S08,"Other skin, subcutaneous tissue or breast procedure, not OR procedure",0.0,est/swe/lat/ice/den/fin/nor
09S10,Procedure for ingrown nails,0.0,swe
09S11,Other post bariatric surgery,0.0,nor
09S12,Major post bariatric surgery,0.0,nor
09S20,Pilonidal sinus procedure,0.0,est/swe/lat/ice/den/fin/nor
09V02,Diagnostic or therapeutic major intervention using light,0.0,swe
09V03,Outpatient skin intervention,0.0,swe
09V04,Skin excision and biopsy,0.0,swe
09V05,Minor dermatologic intervention,0.0,swe
09V07,Dressing of wound of skin,0.0,swe
09V08,Medical skin care,0.0,swe
09V09,"Skin excision and biopsy, head and neck",0.0,swe
10D01,"Diagnostic procedure of head, neck and central nervous system in MDC 10",0.0,fin
10D02,"Demanding diagnostic procedure of head, neck and central nervous system in MDC 10",0.0,fin
10D11,Diagnostic procedure of endocrine organs in MDC 10,0.0,fin
10D21,"Diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 10",0.0,fin
10D41,Diagnostic procedure of musculosceletal system in MDC10,0.0,fin
10D62,Demanding diagnostic procedure of periferal vascular system in MDC 10,0.0,fin
10O01,Liposuction,0.0,ice
10O02,Hormone profile registration,0.0,ice/nor
10O03,Puncture of endocrine organ,0.0,ice
10S01,Amputation of lower limb,1.0,est/swe/lat/ice/den/fin/nor
10S02,Adrenal procedure,0.0,est/swe/lat/ice/den/fin/nor
10S04,OR procedure for obesity,0.0,est/swe/lat/ice/den/fin/nor
10S05,Parathyroid procedure,0.0,est/swe/lat/ice/den/fin/nor
10S06,Thyroid procedure,0.0,est/swe/lat/ice/den/fin/nor
10S08,"Other endocrine, nutritional or metabolic system OR procedure",0.0,est/swe/lat/ice/den/fin/nor
10S09,Pituitary procedure,1.0,est/swe/lat/ice/den/fin/nor
10S12,Islet cell transplantation,0.0,swe/nor
10S20,Gastrointestinal procedure for obesity,0.0,est/swe/lat/ice/den/fin/nor
10V01,Hormone profile determination,0.0,swe
10V02,Puncture of endocrine organ,0.0,swe
10V03,Metabolic examination,0.0,swe
10V04,Diagnostic major endocrine test,0.0,swe
10V05,Diagnostic minor endocrine test,0.0,swe
10V06,Nutritional intervention,0.0,swe
10V07,Liposuction,0.0,swe
11D21,"Diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 11",0.0,fin
11D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 11",0.0,fin
11D32,"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 11",0.0,fin
11D62,Demanding diagnostic procedure of periferal vascular system in MDC 11,0.0,fin
11E16,Therapeutic endoscopy of urinary tract for urinary problem,0.0,est/swe/lat/ice/den/fin/nor
11E17,Diagnostic endoscopy of upper urinary tract for urinary problem,0.0,est/swe/lat/ice/den/fin/nor
