vartype,varval,varval_text_comb,code_plus,d_code_plus,text_plus,d_text_plus,nat_ver
COMPLEX,01C01,Neurological complication,G8330,,"Monoplegia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8340,,Cauda equina syndrome,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8380,,Other specified paralytic syndromes,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8390,,"Paralytic syndrome, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G9340,,"Encephalopathy, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G9350,,Compression of brain,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G9360,,Cerebral oedema,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G9370,,Reye's syndrome,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G9380,,Other specified disorders of brain,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G9390,,"Disorder of brain, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G9430,,Encephalopathy caused by diseases classified elsewhere,,swe/ice/nor/lat
COMPLEX,01C01,Neurological complication,G9790,,"Postprocedural disorder of nervous system, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G9800,,"Other disorders of nervous system, not elsewhere classified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,M630C,,Myositis of lower arm in bacterial disease classified elsewhere,,nor
COMPLEX,01C01,Neurological complication,Q0600,,Amyelia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q0610,,Hypoplasia and dysplasia of spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q0620,,Diastematomyelia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q0630,,Other congenital cauda equina malformations,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q0640,,Hydromyelia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q0680,,Other specified congenital malformations of spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q0690,,"Congenital malformation of spinal cord, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q0700,,Arnold-Chiari syndrome,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q0780,,Other specified congenital malformations of nervous system,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q0790,,"Congenital malformation of nervous system, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0270,,Multiple fractures involving skull and facial bones,,est/swe/lat/ice/den/nor
COMPLEX,01C02,Spinal injury at neck level,S027A,,Multiple closed fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S027B,,Multiple open fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0280,,Fractures of other skull and facial bones,,est/swe/lat/ice/den/nor
COMPLEX,01C02,Spinal injury at neck level,S028A,,Closed fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S028B,,Open fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0290,,"Fracture of skull and facial bones, part unspecified",,est/swe/lat/ice/den/nor
COMPLEX,01C02,Spinal injury at neck level,S029A,,"Closed fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S029B,,"Open fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0880,,Traumatic amputation of other parts of head,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0890,,Traumatic amputation of unspecified part of head,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0970,,Multiple injuries of head,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0980,,Other specified injuries of head,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0990,,Unspecified injury of head,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S1200,,Fracture of first cervical vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S120A,,"Fracture of first cervical vertebra, open",,swe
COMPLEX,01C02,Spinal injury at neck level,S1210,,Fracture of second cervical vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S121A,,"Fracture of second cervical vertebra, open",,swe
COMPLEX,01C02,Spinal injury at neck level,S1220,,Fracture of other specified cervical vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S122A,,"Fracture of other specified cervical vertebra, open",,swe
COMPLEX,01C02,Spinal injury at neck level,S1270,,Multiple fractures of cervical spine,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S127A,,"Multiple fractures of cervical spine, open",,swe
COMPLEX,01C02,Spinal injury at neck level,S1280,,Fracture of other parts of neck,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S128A,,"Fracture of other parts of neck, open",,swe
COMPLEX,01C02,Spinal injury at neck level,S1290,,"Fracture of neck, part unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S129A,,"Fracture of neck, part unspecified, open",,swe
COMPLEX,01C02,Spinal injury at neck level,S1310,,Dislocation of cervical vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S1320,,Dislocation of other and unspecified parts of neck,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S1400,,Concussion and oedema of cervical spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S1410,,Other and unspecified injuries of cervical spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S1700,,Crushing injury of larynx and trachea,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S1780,,Crushing injury of other parts of neck,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S1790,,"Crushing injury of neck, part unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T0200,,Fractures involving head with neck,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T0210,,Fractures involving thorax with lower back and pelvis,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T0290,,"Multiple fractures, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T0400,,Crushing injuries involving head with neck,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T0480,,Crushing injuries involving other combinations of body regions,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T0490,,"Multiple crushing injuries, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T0600,,Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T0800,,"Fracture of spine, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T0930,,"Injury of spinal cord, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T0980,,"Other specified injuries of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T0990,,"Unspecified injury of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T1420,,Fracture of unspecified body region,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T7980,,Other early complications of trauma,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T7990,,Unspecified early complication of trauma,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T9110,,Sequelae of fracture of spine,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T9130,,Sequelae of injury of spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S0270,,Multiple fractures involving skull and facial bones,,est/swe/lat/ice/den/nor
COMPLEX,01C03,Spinal injury at thorax level,S027A,,Multiple closed fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S027B,,Multiple open fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S0280,,Fractures of other skull and facial bones,,est/swe/lat/ice/den/nor
COMPLEX,01C03,Spinal injury at thorax level,S028A,,Closed fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S028B,,Open fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S0290,,"Fracture of skull and facial bones, part unspecified",,est/swe/lat/ice/den/nor
COMPLEX,01C03,Spinal injury at thorax level,S029A,,"Closed fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S029B,,"Open fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S2200,,Fracture of thoracic vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S2210,,Multiple fractures of thoracic spine,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S2310,,Dislocation of thoracic vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S2400,,Concussion and oedema of thoracic spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S2410,,Other and unspecified injuries of thoracic spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T0210,,Fractures involving thorax with lower back and pelvis,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T0410,,"Crushing injuries involving thorax with abdomen, lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T0470,,"Crushing injuries of thorax with abdomen, lower back and pelvis with limb(s)",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T0480,,Crushing injuries involving other combinations of body regions,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T0490,,"Multiple crushing injuries, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T0800,,"Fracture of spine, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T0930,,"Injury of spinal cord, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T0980,,"Other specified injuries of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T0990,,"Unspecified injury of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T1420,,Fracture of unspecified body region,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T1430,,"Dislocation, sprain and strain of unspecified body region",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T7980,,Other early complications of trauma,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T7990,,Unspecified early complication of trauma,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T9110,,Sequelae of fracture of spine,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T9130,,Sequelae of injury of spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S0270,,Multiple fractures involving skull and facial bones,,est/swe/lat/ice/den/nor
COMPLEX,01C04,Spinal injury at lumbal level,S027A,,Multiple closed fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S027B,,Multiple open fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S0280,,Fractures of other skull and facial bones,,est/swe/lat/ice/den/nor
COMPLEX,01C04,Spinal injury at lumbal level,S028A,,Closed fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S028B,,Open fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S0290,,"Fracture of skull and facial bones, part unspecified",,est/swe/lat/ice/den/nor
COMPLEX,01C04,Spinal injury at lumbal level,S029A,,"Closed fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S029B,,"Open fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S3200,,Fracture of lumbar vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S3270,,Multiple fractures of lumbar spine and pelvis,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S3280,,Fracture of other and unspecified parts of lumbar spine and pelvis,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S3310,,Dislocation of lumbar vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S3400,,Concussion and oedema of lumbar spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S3410,,Other injury of lumbar spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S3970,,"Other multiple injuries of abdomen, lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S3980,,"Other specified injuries of abdomen, lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S3990,,"Unspecified injury of abdomen, lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T0210,,Fractures involving thorax with lower back and pelvis,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T0270,,Fractures involving thorax with lower back and pelvis with limb(s),,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T0290,,"Multiple fractures, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T0470,,"Crushing injuries of thorax with abdomen, lower back and pelvis with limb(s)",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T0480,,Crushing injuries involving other combinations of body regions,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T0490,,"Multiple crushing injuries, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T0800,,"Fracture of spine, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T0930,,"Injury of spinal cord, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T0980,,"Other specified injuries of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T0990,,"Unspecified injury of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T1420,,Fracture of unspecified body region,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T1430,,"Dislocation, sprain and strain of unspecified body region",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T7980,,Other early complications of trauma,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T7990,,Unspecified early complication of trauma,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T9110,,Sequelae of fracture of spine,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T9130,,Sequelae of injury of spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S0270,,Multiple fractures involving skull and facial bones,,est/swe/lat/ice/den/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S027A,,Multiple closed fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S027B,,Multiple open fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S0280,,Fractures of other skull and facial bones,,est/swe/lat/ice/den/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S028A,,Closed fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S028B,,Open fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S0290,,"Fracture of skull and facial bones, part unspecified",,est/swe/lat/ice/den/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S029A,,"Closed fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S029B,,"Open fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S3210,,Fracture of sacrum,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S3220,,Fracture of coccyx,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S3320,,Dislocation of sacroiliac and sacrococcygeal joint,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S3420,,Injury of nerve root of lumbar and sacral spine,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S3430,,Injury of cauda equina,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S3440,,Injury of lumbosacral plexus,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S3970,,"Other multiple injuries of abdomen, lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S3980,,"Other specified injuries of abdomen, lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",S3990,,"Unspecified injury of abdomen, lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T0200,,Fractures involving head with neck,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T0210,,Fractures involving thorax with lower back and pelvis,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T0290,,"Multiple fractures, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T0310,,"Dislocations, sprains and strains involving thorax with lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T0410,,"Crushing injuries involving thorax with abdomen, lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T0470,,"Crushing injuries of thorax with abdomen, lower back and pelvis with limb(s)",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T0480,,Crushing injuries involving other combinations of body regions,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T0490,,"Multiple crushing injuries, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T0800,,"Fracture of spine, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T0930,,"Injury of spinal cord, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T0980,,"Other specified injuries of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T0990,,"Unspecified injury of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T1420,,Fracture of unspecified body region,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T1430,,"Dislocation, sprain and strain of unspecified body region",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T7980,,Other early complications of trauma,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T7990,,Unspecified early complication of trauma,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T9110,,Sequelae of fracture of spine,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C05,"Spinal injury, sacral area and cauda equina",T9130,,Sequelae of injury of spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S0270,,Multiple fractures involving skull and facial bones,,est/swe/lat/ice/den/nor
COMPLEX,01C06,"Spinal injury, level undefined",S027A,,Multiple closed fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S027B,,Multiple open fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S0280,,Fractures of other skull and facial bones,,est/swe/lat/ice/den/nor
COMPLEX,01C06,"Spinal injury, level undefined",S028A,,Closed fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S028B,,Open fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S0290,,"Fracture of skull and facial bones, part unspecified",,est/swe/lat/ice/den/nor
COMPLEX,01C06,"Spinal injury, level undefined",S029A,,"Closed fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S029B,,"Open fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S1200,,Fracture of first cervical vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S120A,,"Fracture of first cervical vertebra, open",,swe
COMPLEX,01C06,"Spinal injury, level undefined",S1210,,Fracture of second cervical vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S121A,,"Fracture of second cervical vertebra, open",,swe
COMPLEX,01C06,"Spinal injury, level undefined",S1220,,Fracture of other specified cervical vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S122A,,"Fracture of other specified cervical vertebra, open",,swe
COMPLEX,01C06,"Spinal injury, level undefined",S1270,,Multiple fractures of cervical spine,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S127A,,"Multiple fractures of cervical spine, open",,swe
COMPLEX,01C06,"Spinal injury, level undefined",S1280,,Fracture of other parts of neck,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S128A,,"Fracture of other parts of neck, open",,swe
COMPLEX,01C06,"Spinal injury, level undefined",S1290,,"Fracture of neck, part unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S129A,,"Fracture of neck, part unspecified, open",,swe
COMPLEX,01C06,"Spinal injury, level undefined",S1310,,Dislocation of cervical vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C06,"Spinal injury, level undefined",S1320,,Dislocation of other and unspecified parts of neck,,est/swe/lat/ice/den/fin/nor
