code_plus,text_plus,vartype,varval,or_val,prop_0,varval_text_comb,nat_ver
A02AC10,Combinations,OR,0,0,True,,fin/swe
A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",OR,0,0,True,,est/lat/swe/den
A02AD01,Ordinary salt combinations,OR,0,0,True,,fin/swe
A02AD02,Magaldrate,OR,0,0,True,,fin/swe
A02AD03,Almagate,OR,0,0,True,,fin/swe
A02AD04,Hydrotalcite,OR,0,0,True,,fin/swe
A02AD05,Almasilate,OR,0,0,True,,fin/swe
A02AF,Antacids with antiflatulents,OR,0,0,True,,est/lat/swe/den
A02AF01,Magaldrate and antiflatulents,OR,0,0,True,,fin/swe
A02AF02,Ordinary salt combinations and antiflatulents,OR,0,0,True,,fin/swe
A02AG,Antacids with antispasmodics,OR,0,0,True,,est/lat/swe/den
A02AH,Antacids with sodium bicarbonate,OR,0,0,True,,est/lat/swe/den
A02AX,"Antacids, other combinations",OR,0,0,True,,est/lat/swe/den
A02BA,H2-receptor antagonists,OR,0,0,True,,est/lat/swe/den
A02BA01,Cimetidine,OR,0,0,True,,fin/swe
A02BA02,Ranitidine,OR,0,0,True,,fin/swe
A02BA03,Famotidine,OR,0,0,True,,fin/swe
A02BA04,Nizatidine,OR,0,0,True,,fin/swe
A02BA05,Niperotidine,OR,0,0,True,,fin/swe
A02BA06,Roxatidine,OR,0,0,True,,fin/swe
A02BA07,Ranitidine bismuth citrate,OR,0,0,True,,fin/swe
A02BA08,Lafutidine,OR,0,0,True,,fin/swe
A02BA51,"Cimetidine, combinations",OR,0,0,True,,fin/swe
A02BA53,"Famotidine, combinations",OR,0,0,True,,fin/swe
A02BB,Prostaglandins,OR,0,0,True,,est/lat/swe/den
A02BB01,Misoprostol,OR,0,0,True,,fin/swe
A02BB02,Enprostil,OR,0,0,True,,fin/swe
A02BC,Proton pump inhibitors,OR,0,0,True,,est/lat/swe/den
A02BC01,Omeprazole,OR,0,0,True,,fin/swe
A02BC02,Pantoprazole,OR,0,0,True,,fin/swe
A02BC03,Lansoprazole,OR,0,0,True,,fin/swe
A02BC04,Rabeprazole,OR,0,0,True,,fin/swe
A02BC05,Esomeprazole,OR,0,0,True,,fin/swe
A02BC06,Dexlansoprazole,OR,0,0,True,,fin/swe
A02BC07,Dexrabeprazole,OR,0,0,True,,fin/swe
A02BC08,Vonoprazan,OR,0,0,True,,fin/swe
A02BC09,Tegoprazan,OR,0,0,False,,fin/swe
A02BC09,Tegoprazan,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A02BC53,"Lansoprazole, combinations",OR,0,0,True,,fin/swe
A02BC54,"Rabeprazole, combinations",OR,0,0,True,,fin/swe
A02BD,Combinations for eradication of Helicobacter pylori,OR,0,0,True,,est/lat/swe/den
A02BD01,"Omeprazole, amoxicillin and metronidazole",OR,0,0,False,,fin/nor/swe
A02BD01,"Omeprazole, amoxicillin and metronidazole",PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A02BD02,"Lansoprazole, tetracycline and metronidazole",OR,0,0,False,,fin/nor/swe
A02BD02,"Lansoprazole, tetracycline and metronidazole",PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A02BD03,"Lansoprazole, amoxicillin and metronidazole",OR,0,0,False,,fin/nor/swe
A02BD03,"Lansoprazole, amoxicillin and metronidazole",PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A02BD04,"Pantoprazole, amoxicillin and clarithromycin",OR,0,0,False,,fin/nor/swe
A02BD04,"Pantoprazole, amoxicillin and clarithromycin",PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A02BD05,"Omeprazole, amoxicillin and clarithromycin",OR,0,0,True,,fin/swe
A02BD06,"Esomeprazole, amoxicillin and clarithromycin",OR,0,0,False,,fin/nor/swe
A02BD06,"Esomeprazole, amoxicillin and clarithromycin",PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A02BD07,"Lansoprazole, amoxicillin and clarithromycin",OR,0,0,False,,fin/nor/swe
A02BD07,"Lansoprazole, amoxicillin and clarithromycin",PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A02BD08,"Bismuth subcitrate, tetracycline and metronidazole",OR,0,0,True,,fin/swe
A02BD09,"Lansoprazole, clarithromycin and tinidazole",OR,0,0,True,,fin/swe
A02BD10,"Lansoprazole, amoxicillin and levofloxacin",OR,0,0,True,,fin/swe
A02BD11,"Pantoprazole, amoxicillin, clarithromycin and metro",OR,0,0,True,,fin/swe
A02BD12,"Rabeprazole, amoxicillin and clarithromycin",OR,0,0,True,,fin/swe
A02BD13,"Rabeprazole, amoxicillin and metronidazole",OR,0,0,True,,fin/swe
A02BD14,"Vonoprazan, amoxicillin and clarithromycin",OR,0,0,True,,fin/swe
A02BD15,"Vonoprazan, amoxicillin and metronidazole",OR,0,0,True,,fin/swe
A02BD16,"Omeprazole, amoxicillin and rifabutin",OR,0,0,False,,fin/swe
A02BD16,"Omeprazole, amoxicillin and rifabutin",PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),OR,0,0,True,,est/lat/swe/den
A02BX01,Carbenoxolone,OR,0,0,True,,fin/swe
A02BX02,Sucralfate,OR,0,0,True,,fin/swe
A02BX03,Pirenzepine,OR,0,0,True,,fin/swe
A02BX04,Methiosulfonium chloride,OR,0,0,True,,fin/swe
A02BX05,Bismuth subcitrate,OR,0,0,True,,fin/swe
A02BX06,Proglumide,OR,0,0,True,,fin/swe
A02BX07,Gefarnate,OR,0,0,True,,fin/swe
A02BX08,Sulglicotide,OR,0,0,True,,fin/swe
A02BX09,Acetoxolone,OR,0,0,True,,fin/swe
A02BX10,Zolimidine,OR,0,0,True,,fin/swe
A02BX11,Troxipide,OR,0,0,True,,fin/swe
A02BX12,Bismuth subnitrate,OR,0,0,True,,fin/swe
A02BX13,Alginic acid,OR,0,0,True,,fin/swe
A02BX14,Rebamipide,OR,0,0,True,,fin/swe
A02BX51,"Carbenoxolone, combinations excl. psycholeptics",OR,0,0,True,,fin/swe
A02BX71,"Carbenoxolone, combinations with psycholeptics",OR,0,0,True,,fin/swe
A02BX77,"Gefarnate, combinations with psycholeptics",OR,0,0,True,,fin/swe
A03AA,"Synthetic anticholinergics, esters with tertiary amino group",OR,0,0,True,,est/lat/swe/den
A03AA01,Oxyphencyclimine,OR,0,0,True,,fin/swe
A03AA03,Camylofin,OR,0,0,True,,fin/swe
A03AA04,Mebeverine,OR,0,0,True,,fin/swe
A03AA05,Trimebutine,OR,0,0,True,,fin/swe
A03AA06,Rociverine,OR,0,0,True,,fin/swe
A03AA07,Dicycloverine,OR,0,0,True,,fin/swe
A03AA08,Dihexyverine,OR,0,0,True,,fin/swe
A03AA09,Difemerine,OR,0,0,True,,fin/swe
A03AA30,Piperidolate,OR,0,0,True,,fin/swe
A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",OR,0,0,True,,est/lat/swe/den
A03AB01,Benzilone,OR,0,0,True,,fin/swe
A03AB02,Glycopyrronium bromide,OR,0,0,True,,fin/swe
A03AB03,Oxyphenonium,OR,0,0,True,,fin/swe
A03AB04,Penthienate,OR,0,0,True,,fin/swe
A03AB05,Propantheline,OR,0,0,False,,fin/swe
A03AB05,Propantheline,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A03AB06,Otilonium bromide,OR,0,0,True,,fin/swe
A03AB07,Methantheline,OR,0,0,True,,fin/swe
A03AB08,Tridihexethyl,OR,0,0,True,,fin/swe
A03AB09,Isopropamide,OR,0,0,True,,fin/swe
A03AB10,Hexocyclium,OR,0,0,True,,fin/swe
A03AB11,Poldine,OR,0,0,True,,fin/swe
A03AB12,Mepenzolate,OR,0,0,True,,fin/swe
A03AB13,Bevonium,OR,0,0,True,,fin/swe
A03AB14,Pipenzolate,OR,0,0,True,,fin/swe
A03AB15,Diphemanil,OR,0,0,True,,fin/swe
A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,OR,0,0,True,,fin/swe
A03AB17,Tiemonium iodide,OR,0,0,True,,fin/swe
A03AB18,Prifinium bromide,OR,0,0,True,,fin/swe
A03AB19,Timepidium bromide,OR,0,0,True,,fin/swe
A03AB21,Fenpiverinium,OR,0,0,True,,fin/swe
A03AB53,"Oxyphenonium, combinations",OR,0,0,True,,fin/swe
A03AC,"Synthetic antispasmodics, amides with tertiary amines",OR,0,0,True,,est/lat/swe/den
A03AC02,Dimethylaminopropionylphenothiazine,OR,0,0,True,,fin/swe
A03AC04,Nicofetamide,OR,0,0,True,,fin/swe
A03AC05,Tiropramide,OR,0,0,True,,fin/swe
A03AD,Papaverine and derivatives,OR,0,0,True,,est/lat/swe/den
A03AD01,Papaverine,OR,0,0,True,,fin/swe
A03AD02,Drotaverine,OR,0,0,True,,fin/swe
A03AD30,Moxaverine,OR,0,0,True,,fin/swe
A03AE,Drugs acting on serotonin receptors,OR,0,0,True,,est/lat/swe/den
A03AE01,Alosetron,OR,0,0,True,,fin/swe
A03AE03,Cilansetron,OR,0,0,True,,fin/swe
A03AX,Other drugs for functional bowel disorders,OR,0,0,True,,est/lat/swe/den
A03AX01,Fenpiprane,OR,0,0,False,,fin/swe
A03AX01,Fenpiprane,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A03AX02,Diisopromine,OR,0,0,True,,fin/swe
A03AX03,Chlorbenzoxamine,OR,0,0,False,,fin/swe
A03AX03,Chlorbenzoxamine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A03AX04,Pinaverium,OR,0,0,True,,fin/swe
A03AX05,Fenoverine,OR,0,0,False,,fin/swe
A03AX05,Fenoverine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A03AX06,Idanpramine,OR,0,0,True,,fin/swe
A03AX07,Proxazole,OR,0,0,True,,fin/swe
A03AX08,Alverine,OR,0,0,True,,fin/swe
A03AX09,Trepibutone,OR,0,0,True,,fin/swe
A03AX10,Isometheptene,OR,0,0,True,,fin/swe
A03AX11,Caroverine,OR,0,0,True,,fin/swe
A03AX12,Phloroglucinol,OR,0,0,True,,fin/swe
A03AX13,Silicones,OR,0,0,True,,fin/swe
A03AX14,Valethamate,OR,0,0,True,,fin/swe
A03AX15,Menthae piperitae aetheroleum,OR,0,0,True,,fin/swe
A03AX30,Trimethyldiphenylpropylamine,OR,0,0,True,,fin/swe
A03AX58,"Alverine, combinations",OR,0,0,True,,fin/swe
A03BA,"Belladonna alkaloids, tertiary amines",OR,0,0,True,,est/lat/swe/den
A03BA01,Atropine,OR,0,0,True,,fin/swe
A03BA03,Hyoscyamine,OR,0,0,False,,fin/swe
A03BA03,Hyoscyamine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A03BA04,Belladonna total alkaloids,OR,0,0,True,,fin/swe
A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",OR,0,0,True,,est/lat/swe/den
A03BB01,Butylscopolamine,OR,0,0,True,,fin/swe
A03BB02,Methylatropine,OR,0,0,True,,fin/swe
A03BB03,Methylscopolamine,OR,0,0,True,,fin/swe
A03BB04,Fentonium,OR,0,0,True,,fin/swe
A03BB05,Cimetropium bromide,OR,0,0,True,,fin/swe
A03BB06,Homatropine methylbromide,OR,0,0,True,,fin/swe
A03CA,Synthetic anticholinergic agents in combination with psycholeptics,OR,0,0,True,,est/lat/swe/den
A03CA01,Isopropamide and psycholeptics,OR,0,0,True,,fin/swe
A03CA02,Clidinium and psycholeptics,OR,0,0,True,,fin/swe
A03CA03,Oxyphencyclimine and psycholeptics,OR,0,0,True,,fin/swe
A03CA04,Otilonium bromide and psycholeptics,OR,0,0,True,,fin/swe
A03CA05,Glycopyrronium bromide and psycholeptics,OR,0,0,True,,fin/swe
A03CA06,Bevonium and psycholeptics,OR,0,0,True,,fin/swe
A03CA07,Ambutonium and psycholeptics,OR,0,0,True,,fin/swe
A03CA08,Diphemanil and psycholeptics,OR,0,0,True,,fin/swe
A03CA09,Pipenzolate and psycholeptics,OR,0,0,True,,fin/swe
A03CA30,Emepronium and psycholeptics,OR,0,0,True,,fin/swe
A03CA34,Propantheline and psycholeptics,OR,0,0,True,,fin/swe
A03CB,Belladonna and derivatives in combination with psycholeptics,OR,0,0,True,,est/lat/swe/den
A03CB01,Methylscopolamine and psycholeptics,OR,0,0,True,,fin/swe
A03CB02,Belladonna total alkaloids and psycholeptics,OR,0,0,True,,fin/swe
A03CB03,Atropine and psycholeptics,OR,0,0,True,,fin/swe
A03CB04,Homatropine methylbromide and psycholeptics,OR,0,0,True,,fin/swe
A03CB31,Hyoscyamine and psycholeptics,OR,0,0,True,,fin/swe
A03CC,Other antispasmodics in combination with psycholeptics,OR,0,0,True,,est/lat/swe/den
A03DA,Synthetic anticholinergic agents in combination with analgesics,OR,0,0,True,,est/lat/swe/den
A03DA01,Tropenzilone and analgesics,OR,0,0,True,,fin/swe
A03DA02,Pitofenone and analgesics,OR,0,0,True,,fin/swe
A03DA03,Bevonium and analgesics,OR,0,0,True,,fin/swe
A03DA04,Ciclonium and analgesics,OR,0,0,True,,fin/swe
A03DA05,Camylofin and analgesics,OR,0,0,True,,fin/swe
A03DA06,Trospium and analgesics,OR,0,0,True,,fin/swe
A03DA07,Tiemonium iodide and analgesics,OR,0,0,True,,fin/swe
A03DB,Belladonna and derivatives in combination with analgesics,OR,0,0,True,,est/lat/swe/den
A03DB04,Butylscopolamine and analgesics,OR,0,0,True,,fin/swe
A03DC,Other antispasmodics in combination with analgesics,OR,0,0,True,,est/lat/swe/den
A03EA,"Antispasmodics, psycholeptics and analgesics in combination",OR,0,0,True,,est/lat/swe/den
A03ED,Antispasmodics in combination with other drugs,OR,0,0,True,,est/lat/swe/den
A03FA,Propulsives,OR,0,0,True,,est/lat/swe/den
A03FA01,Metoclopramide,OR,0,0,True,,fin/swe
A03FA02,Cisapride,OR,0,0,True,,fin/swe
A03FA03,Domperidone,OR,0,0,True,,fin/swe
A03FA04,Bromopride,OR,0,0,True,,fin/swe
A03FA05,Alizapride,OR,0,0,True,,fin/swe
A03FA06,Clebopride,OR,0,0,True,,fin/swe
A03FA07,Itopride,OR,0,0,True,,fin/swe
A03FA08,Cinitapride,OR,0,0,True,,fin/swe
A03FA09,Mosapride,OR,0,0,True,,fin/swe
A04AA,Serotonin (5HT3) antagonists,OR,0,0,True,,est/lat/swe/den
A04AA01,Ondansetron,OR,0,0,False,,fin/swe
A04AA01,Ondansetron,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A04AA02,Granisetron,OR,0,0,True,,fin/swe
A04AA03,Tropisetron,OR,0,0,True,,fin/swe
A04AA04,Dolasetron,OR,0,0,False,,fin/swe
A04AA04,Dolasetron,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A04AA05,Palonosetron,OR,0,0,True,,fin/swe
A04AA55,"Palonosetron, combinations",OR,0,0,True,,fin/swe
A04AD,Other antiemetics,OR,0,0,True,,est/lat/swe/den
A04AD01,Scopolamine,OR,0,0,True,,fin/swe
A04AD02,Cerium oxalate,OR,0,0,True,,fin/swe
A04AD04,Chlorobutanol,OR,0,0,True,,fin/swe
A04AD05,Metopimazine,OR,0,0,True,,fin/swe
A04AD10,Dronabinol,OR,0,0,True,,fin/swe
A04AD11,Nabilone,OR,0,0,True,,fin/swe
A04AD12,Aprepitant,OR,0,0,True,,fin/swe
A04AD13,Casopitant,OR,0,0,True,,fin/swe
A04AD14,Rolapitant,OR,0,0,True,,fin/swe
A04AD51,"Scopolamine, combinations",OR,0,0,True,,fin/swe
A04AD54,"Chlorobutanol, combinations",OR,0,0,True,,fin/swe
A05AA,Bile acid preparations,OR,0,0,True,,est/lat/swe/den
A05AA01,Chenodeoxycholic acid,OR,0,0,True,,fin/swe
A05AA02,Ursodeoxycholic acid,OR,0,0,True,,fin/swe
A05AA03,Cholic acid,OR,0,0,True,,fin/swe
A05AA04,Obeticholic acid,OR,0,0,True,,fin/swe
A05AB,Preparations for biliary tract therapy,OR,0,0,True,,est/lat/swe/den
A05AB01,Nicotinyl methylamide,OR,0,0,False,,fin/swe
A05AB01,Nicotinyl methylamide,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A05AX,Other drugs for bile therapy,OR,0,0,True,,est/lat/swe/den
A05AX01,Piprozolin,OR,0,0,True,,fin/swe
A05AX02,Hymecromone,OR,0,0,True,,fin/swe
A05AX03,Cyclobutyrol,OR,0,0,True,,fin/swe
A05AX04,Maralixibat chloride,OR,0,0,False,,fin/swe
A05AX04,Maralixibat chloride,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A05AX05,Odevixibat,OR,0,0,False,,fin/swe
A05AX05,Odevixibat,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A05BA,Liver therapy,OR,0,0,True,,est/lat/swe/den
A05BA01,Arginine glutamate,OR,0,0,True,,fin/swe
A05BA03,Silymarin,OR,0,0,True,,fin/swe
A05BA04,Citiolone,OR,0,0,True,,fin/swe
A05BA05,Epomediol,OR,0,0,True,,fin/swe
A05BA06,Ornithine oxoglurate,OR,0,0,False,,fin/swe
A05BA06,Ornithine oxoglurate,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A05BA07,Tidiacic arginine,OR,0,0,True,,fin/swe
A05BA08,Glycyrrhizic acid,OR,0,0,True,,fin/swe
A05BA09,Metadoxine,OR,0,0,True,,fin/swe
A06AA,"Softeners, emollients",OR,0,0,True,,est/lat/swe/den
A06AA01,Liquid paraffin,OR,0,0,True,,fin/swe
A06AA02,Docusate sodium,OR,0,0,True,,fin/swe
A06AA51,"Liquid paraffin, combinations",OR,0,0,True,,fin/swe
A06AB,Contact laxatives,OR,0,0,True,,est/lat/swe/den
A06AB01,Oxyphenisatine,OR,0,0,True,,fin/swe
A06AB02,Bisacodyl,OR,0,0,False,,fin/swe
A06AB02,Bisacodyl,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A06AB03,Dantron,OR,0,0,False,,fin/swe
A06AB03,Dantron,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A06AB04,Phenolphthalein,OR,0,0,False,,fin/swe
A06AB04,Phenolphthalein,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A06AB05,Castor oil,OR,0,0,True,,fin/swe
A06AB06,Senna glycosides,OR,0,0,True,,fin/swe
A06AB07,Cascara,OR,0,0,False,,fin/swe
A06AB07,Cascara,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A06AB08,Sodium picosulfate,OR,0,0,True,,fin/swe
A06AB09,Bisoxatin,OR,0,0,True,,fin/swe
A06AB20,Contact laxatives in combination,OR,0,0,True,,fin/swe
A06AB30,Contact laxatives in combination with belladonna al,OR,0,0,True,,fin/swe
A06AB52,"Bisacodyl, combinations",OR,0,0,True,,fin/swe
A06AB53,"Dantron, combinations",OR,0,0,True,,fin/swe
A06AB56,"Senna glycosides, combinations",OR,0,0,True,,fin/swe
A06AB57,"Cascara, combinations",OR,0,0,True,,fin/swe
A06AB58,"Sodium picosulfate, combinations",OR,0,0,True,,fin/swe
A06AC,Bulk producers,OR,0,0,True,,est/lat/swe/den
A06AC01,Ispaghula (psylla seeds),OR,0,0,True,,fin/swe
A06AC02,Ethulose,OR,0,0,True,,fin/swe
A06AC03,Sterculia,OR,0,0,True,,fin/swe
A06AC05,Linseed,OR,0,0,True,,fin/swe
A06AC06,Methylcellulose,OR,0,0,True,,fin/swe
A06AC07,Triticum (wheat fibre),OR,0,0,True,,fin/swe
A06AC08,Polycarbophil calcium,OR,0,0,True,,fin/swe
A06AC51,"Ispaghula, combinations",OR,0,0,True,,fin/swe
A06AC53,"Sterculia, combinations",OR,0,0,True,,fin/swe
A06AC55,"Linseed, combinations",OR,0,0,True,,fin/swe
A06AD,Osmotically acting laxatives,OR,0,0,True,,est/lat/swe/den
A06AD01,Magnesium carbonate,OR,0,0,True,,fin/swe
A06AD02,Magnesium oxide,OR,0,0,True,,fin/swe
A06AD03,Magnesium peroxide,OR,0,0,True,,fin/swe
A06AD04,Magnesium sulfate,OR,0,0,True,,fin/swe
A06AD10,Mineral salts in combination,OR,0,0,True,,fin/swe
A06AD11,Lactulose,OR,0,0,True,,fin/swe
A06AD12,Lactitol,OR,0,0,True,,fin/swe
A06AD13,Sodium sulfate,OR,0,0,True,,fin/swe
A06AD14,Pentaerithrityl,OR,0,0,True,,fin/swe
A06AD15,Macrogol,OR,0,0,True,,fin/swe
A06AD16,Mannitol,OR,0,0,True,,fin/swe
A06AD17,Sodium phosphate,OR,0,0,True,,fin/swe
A06AD18,Sorbitol,OR,0,0,True,,fin/swe
A06AD19,Magnesium citrate,OR,0,0,True,,fin/swe
A06AD21,Sodium tartrate,OR,0,0,True,,fin/swe
A06AD61,"Lactulose, combinations",OR,0,0,True,,fin/swe
A06AD65,"Macrogol, combinations",OR,0,0,True,,fin/swe
A06AG,Enemas,OR,0,0,True,,est/lat/swe/den
A06AG01,Sodium phosphate,OR,0,0,True,,fin/swe
A06AG02,Bisacodyl,OR,0,0,True,,fin/swe
A06AG03,"Dantron, incl. combinations",OR,0,0,True,,fin/swe
A06AG04,Glycerol,OR,0,0,True,,fin/swe
A06AG06,Oil,OR,0,0,True,,fin/swe
A06AG07,Sorbitol,OR,0,0,True,,fin/swe
A06AG10,"Docusate sodium, incl. combinations",OR,0,0,True,,fin/swe
A06AG11,"Sodium lauryl sulfoacetate, incl. combinations",OR,0,0,True,,fin/swe
A06AG20,Combinations,OR,0,0,True,,fin/swe
A06AH01,Methylnaltrexone bromide,OR,0,0,True,,fin/swe
A06AH02,Alvimopan,OR,0,0,True,,fin/swe
A06AH03,Naloxegol,OR,0,0,True,,fin/swe
A06AH04,Naloxone,OR,0,0,True,,fin/swe
A06AH05,Naldemedine,OR,0,0,True,,fin/swe
A06AX,Other laxatives,OR,0,0,True,,est/lat/swe/den
A06AX01,Glycerol,OR,0,0,True,,fin/swe
A06AX02,Carbon dioxide producing drugs,OR,0,0,True,,fin/swe
A06AX03,Lubiprostone,OR,0,0,True,,fin/swe
A06AX04,Linaclotide,OR,0,0,True,,fin/swe
A06AX05,Prucalopride,OR,0,0,True,,fin/swe
A06AX06,Tegaserod,OR,0,0,True,,fin/swe
A06AX07,Plecanatide,OR,0,0,True,,fin/swe
A06AX08,Tenapanor,OR,0,0,True,,fin/swe
A07AA,Antibiotics,OR,0,0,True,,est/lat/swe/den
A07AA01,Neomycin,OR,0,0,True,,fin/swe
A07AA02,Nystatin,OR,0,0,True,,fin/swe
A07AA03,Natamycin,OR,0,0,True,,fin/swe
A07AA04,Streptomycin,OR,0,0,True,,fin/swe
A07AA05,Polymyxin B,OR,0,0,True,,fin/swe
A07AA06,Paromomycin,OR,0,0,True,,fin/swe
A07AA07,Amphotericin B,OR,0,0,True,,fin/swe
A07AA08,Kanamycin,OR,0,0,True,,fin/swe
A07AA09,Vancomycin,OR,0,0,True,,fin/swe
A07AA10,Colistin,OR,0,0,True,,fin/swe
A07AA11,Rifaximin,OR,0,0,True,,fin/swe
