code_nat,text_nat,code_plus,text_plus,vartype,varval,or_val,prop_0,varval_text_comb,nat_ver
1AD08,Inactivated at 31.12.2023 - B01AD08 -,B01AD08,Saruplase,OR,0,0,False,,fin/swe
1AD08,Inactivated at 31.12.2023 - B01AD08 -,B01AD08,Saruplase,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AD09,Inactivated at 31.12.2023 - B01AD09 -,B01AD09,Ancrod,OR,0,0,False,,fin/swe
1AD09,Inactivated at 31.12.2023 - B01AD09 -,B01AD09,Ancrod,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AD10,Inactivated at 31.12.2023 - B01AD10 -,B01AD10,Drotrecogin alfa (activated),OR,0,0,False,,fin/swe
1AD10,Inactivated at 31.12.2023 - B01AD10 -,B01AD10,Drotrecogin alfa (activated),PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AD11,Inactivated at 31.12.2023 - A01AD11 -,A01AD11,Various,OR,0,0,False,,fin/swe
1AD11,Inactivated at 31.12.2023 - A01AD11 -,A01AD11,Various,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AD12,Inactivated at 31.12.2023 - B01AD12 -,B01AD12,Protein C,OR,0,0,False,,fin/swe
1AD12,Inactivated at 31.12.2023 - B01AD12 -,B01AD12,Protein C,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AE03,Inactivated at 31.12.2023 - B01AE03 -,B01AE03,Argatroban,OR,0,0,False,,fin/swe
1AE03,Inactivated at 31.12.2023 - B01AE03 -,B01AE03,Argatroban,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AG01,Inactivated at 31.12.2023 - L01AG01 -,L01AG01,Etoglucid,OR,0,0,False,,fin/swe
1AG01,Inactivated at 31.12.2023 - L01AG01 -,L01AG01,Etoglucid,PROCPR,90T01,0,False,Cytostatic drug,fin
1AX01,Inactivated at 31.12.2023 - Defibrotide (prociclide) 80mg/ml,B01AX01,Defibrotide,OR,0,0,False,,fin/swe
1AX01,Inactivated at 31.12.2023 - Defibrotide (prociclide) 80mg/ml,B01AX01,Defibrotide,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AX03,Inactivated at 31.12.2023 - Temodal 100mg kapseli suun kautta,L01AX03,Temozolomide,OR,0,0,False,,fin/swe
1AX03,Inactivated at 31.12.2023 - Temodal 100mg kapseli suun kautta,L01AX03,Temozolomide,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AX06,Inactivated at 31.12.2023 - Wellvone lääkehoito,P01AX06,Atovaquone,OR,0,0,False,,fin/swe
1AX06,Inactivated at 31.12.2023 - Wellvone lääkehoito,P01AX06,Atovaquone,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BA01,Inactivated at 31.12.2023 - 1BA01 Metotreksaatti-annos 500 mg keskuslaskimokatetriin,S01BA01,Dexamethasone,OR,0,0,False,,fin/swe
1BA01,Inactivated at 31.12.2023 - 1BA01 Metotreksaatti-annos 500 mg keskuslaskimokatetriin,S01BA01,Dexamethasone,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BA02,Inactivated at 31.12.2023 - Octostim 150 mikrogr/plo - Nesäsumute,H01BA02,Desmopressin,OR,0,0,False,,fin/swe
1BA02,Inactivated at 31.12.2023 - Octostim 150 mikrogr/plo - Nesäsumute,H01BA02,Desmopressin,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BA04,Inactivated at 31.12.2023 - C01BA04 -,C01BA04,Sparteine,OR,0,0,False,,fin/swe
1BA04,Inactivated at 31.12.2023 - C01BA04 -,C01BA04,Sparteine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BA05,Inactivated at 31.12.2023 - C01BA05 -,C01BA05,Ajmaline,OR,0,0,False,,fin/swe
1BA05,Inactivated at 31.12.2023 - C01BA05 -,C01BA05,Ajmaline,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BA15,Inactivated at 31.12.2023 - S01BA15 -,S01BA15,Fluocinolone acetonide,OR,0,0,False,,fin/swe
1BA15,Inactivated at 31.12.2023 - S01BA15 -,S01BA15,Fluocinolone acetonide,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BB04,Inactivated at 31.12.2023 - C01BB04 -,C01BB04,Aprindine,OR,0,0,False,,fin/swe
1BB05,Inactivated at 31.12.2023 - L01BB05 -,L01BB05,Fludarabine,OR,0,0,False,,fin/swe
1BB05,Inactivated at 31.12.2023 - L01BB05 -,L01BB05,Fludarabine,PROCPR,90T01,0,False,Cytostatic drug,fin
1BB06,Inactivated at 31.12.2023 - Evoltra (klofarabiini) lääkeannos laskimoon,L01BB06,Clofarabine,OR,0,0,False,,fin/swe
1BB06,Inactivated at 31.12.2023 - Evoltra (klofarabiini) lääkeannos laskimoon,L01BB06,Clofarabine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BB07,Inactivated at 31.12.2023 - Atriance 5mg/ml inf. neste laskimoon,L01BB07,Nelarabine,OR,0,0,False,,fin/swe
1BB07,Inactivated at 31.12.2023 - Atriance 5mg/ml inf. neste laskimoon,L01BB07,Nelarabine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BC01,Inactivated at 31.12.2023 - L01BC01 -,L01BC01,Cytarabine,OR,0,0,False,,fin/swe
1BC01,Inactivated at 31.12.2023 - L01BC01 -,L01BC01,Cytarabine,PROCPR,90T01,0,False,Cytostatic drug,fin
1BC02,Inactivated at 31.12.2023 - L01BC02 -,L01BC02,Fluorouracil,OR,0,0,False,,fin/swe
1BC02,Inactivated at 31.12.2023 - L01BC02 -,L01BC02,Fluorouracil,PROCPR,90T01,0,False,Cytostatic drug,fin
1BC03,Inactivated at 31.12.2023 - C01BC03 -,C01BC03,Propafenone,OR,0,0,False,,fin/swe
1BC03,Inactivated at 31.12.2023 - C01BC03 -,C01BC03,Propafenone,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BC04,Inactivated at 31.12.2023 - C01BC04 -,C01BC04,Flecainide,OR,0,0,False,,fin/swe
1BC04,Inactivated at 31.12.2023 - C01BC04 -,C01BC04,Flecainide,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BC05,Inactivated at 31.12.2023 - L01BC05 -,L01BC05,Gemcitabine,OR,0,0,False,,fin/swe
1BC05,Inactivated at 31.12.2023 - L01BC05 -,L01BC05,Gemcitabine,PROCPR,90T01,0,False,Cytostatic drug,fin
1BC06,Inactivated at 31.12.2023 - L01BC06 -,L01BC06,Capecitabine,OR,0,0,False,,fin/swe
1BC06,Inactivated at 31.12.2023 - L01BC06 -,L01BC06,Capecitabine,PROCPR,90T01,0,False,Cytostatic drug,fin
1BC07,Inactivated at 31.12.2023 - C01BC07 -,C01BC07,Lorcainide,OR,0,0,False,,fin/swe
1BC07,Inactivated at 31.12.2023 - C01BC07 -,C01BC07,Lorcainide,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BC08,Inactivated at 31.12.2023 - Dacogen (desitabiini) iv,L01BC08,Decitabine,OR,0,0,False,,fin/swe
1BC08,Inactivated at 31.12.2023 - Dacogen (desitabiini) iv,L01BC08,Decitabine,PROCPR,90T01,0,False,Cytostatic drug,fin
1BC52,Inactivated at 31.12.2023 - L01BC52 -,L01BC52,"Fluorouracil, combinations",OR,0,0,False,,fin/swe
1BC52,Inactivated at 31.12.2023 - L01BC52 -,L01BC52,"Fluorouracil, combinations",PROCPR,90T01,0,False,Cytostatic drug,fin
1BC53,Inactivated at 31.12.2023 - L01BC53 -,L01BC53,"Tegafur, combinations",OR,0,0,False,,fin/swe
1BC53,Inactivated at 31.12.2023 - L01BC53 -,L01BC53,"Tegafur, combinations",PROCPR,90T01,0,False,Cytostatic drug,fin
1BD01,Inactivated at 31.12.2023 - 1BD01ZX120,C01BD01,Amiodarone,OR,0,0,False,,fin/swe
1BD01,Inactivated at 31.12.2023 - 1BD01ZX120,C01BD01,Amiodarone,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BG11,Inactivated at 31.12.2023 - Brinavess 12 ml injektio laskimoon,C01BG11,Vernakalant,OR,0,0,False,,fin/swe
1BG11,Inactivated at 31.12.2023 - Brinavess 12 ml injektio laskimoon,C01BG11,Vernakalant,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1BX04,Inactivated at 31.12.2023 - Qutenza 179 mg laastari iholle,N01BX04,Capsaicin,OR,0,0,False,,fin/swe
1BX04,Inactivated at 31.12.2023 - Qutenza 179 mg laastari iholle,N01BX04,Capsaicin,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1CA01,"Inactivated at 31.12.2023 - Velbe, vinblastinsolusalpaaja",L01CA01,Vinblastine,OR,0,0,False,,fin/swe
1CA01,"Inactivated at 31.12.2023 - Velbe, vinblastinsolusalpaaja",L01CA01,Vinblastine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1CA04,Inactivated at 31.12.2023 - C01CA04 -,C01CA04,Dopamine,OR,0,0,False,,fin/swe
1CB02,Inactivated at 31.12.2023 - H01CB02 -,H01CB02,Octreotide,OR,0,0,False,,fin/swe
1CB02,Inactivated at 31.12.2023 - H01CB02 -,H01CB02,Octreotide,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1CB03,Inactivated at 31.12.2023 - Somatuline autogel,H01CB03,Lanreotide,OR,0,0,False,,fin/swe
1CB03,Inactivated at 31.12.2023 - Somatuline autogel,H01CB03,Lanreotide,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1CD01,Inactivated at 31.12.2023 - L01CD01 -,L01CD01,Paclitaxel,OR,0,0,False,,fin/swe
1CD01,Inactivated at 31.12.2023 - L01CD01 -,L01CD01,Paclitaxel,PROCPR,90T01,0,False,Cytostatic drug,fin
1CD02,Inactivated at 31.12.2023 - L01CD02 -,L01CD02,Docetaxel,OR,0,0,False,,fin/swe
1CD02,Inactivated at 31.12.2023 - L01CD02 -,L01CD02,Docetaxel,PROCPR,90T01,0,False,Cytostatic drug,fin
1CD04,Inactivated at 31.12.2023 - Jevtana (kabatsitakseli) lääkeannos laskimoon,L01CD04,Cabazitaxel,OR,0,0,False,,fin/swe
1CD04,Inactivated at 31.12.2023 - Jevtana (kabatsitakseli) lääkeannos laskimoon,L01CD04,Cabazitaxel,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1CX01,Inactivated at 31.12.2023 - L01CX01 -,L01CX01,Trabectedin,OR,0,0,False,,fin/swe
1CX01,Inactivated at 31.12.2023 - L01CX01 -,L01CX01,Trabectedin,PROCPR,90T01,0,False,Cytostatic drug,fin
1CX08,Inactivated at 31.12.2023 - C01CX08 -,C01CX08,Levosimendan,OR,0,0,False,,fin/swe
1CX08,Inactivated at 31.12.2023 - C01CX08 -,C01CX08,Levosimendan,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1DB02,Inactivated at 31.12.2023 - J01DB02 -,J01DB02,Cefaloridine,OR,0,0,False,,fin/swe
1DB03,Inactivated at 31.12.2023 - J01DB03 -,J01DB03,Cefalotin,OR,0,0,False,,fin/swe
1DB04,Inactivated at 31.12.2023 - J01DB04 -,J01DB04,Cefazolin,OR,0,0,False,,fin/swe
1DB05,Inactivated at 31.12.2023 - J01DB05 -,J01DB05,Cefadroxil,OR,0,0,False,,fin/swe
1DB06,Inactivated at 31.12.2023 - J01DB06 -,J01DB06,Cefazedone,OR,0,0,False,,fin/swe
1DB07,Inactivated at 31.12.2023 - J01DB07 -,J01DB07,Cefatrizine,OR,0,0,False,,fin/swe
1DB07,Inactivated at 31.12.2023 - J01DB07 -,J01DB07,Cefatrizine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1DB08,Inactivated at 31.12.2023 - J01DB08 -,J01DB08,Cefapirin,OR,0,0,False,,fin/swe
1DB09,Inactivated at 31.12.2023 - J01DB09 -,J01DB09,Cefradine,OR,0,0,False,,fin/swe
1DC01,Inactivated at 31.12.2023 - J01DC01 -,J01DC01,Cefoxitin,OR,0,0,False,,fin/swe
1DC02,Inactivated at 31.12.2023 - J01DC02 -,J01DC02,Cefuroxime,OR,0,0,False,,fin/swe
1DC02,Inactivated at 31.12.2023 - J01DC02 -,J01DC02,Cefuroxime,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1DC03,Inactivated at 31.12.2023 - J01DC03 -,J01DC03,Cefamandole,OR,0,0,False,,fin/swe
1DH02,Inactivated at 31.12.2023 - J01DH02 -,J01DH02,Meropenem,OR,0,0,False,,fin/swe
1DH02,Inactivated at 31.12.2023 - J01DH02 -,J01DH02,Meropenem,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1DH03,Inactivated at 31.12.2023 - J01DH03 -,J01DH03,Ertapenem,OR,0,0,False,,fin/swe
1DH03,Inactivated at 31.12.2023 - J01DH03 -,J01DH03,Ertapenem,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1DH04,Inactivated at 31.12.2023 - xx1DH04 -,J01DH04,Doripenem,OR,0,0,False,,fin/swe
1DH04,Inactivated at 31.12.2023 - xx1DH04 -,J01DH04,Doripenem,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1DH51,Inactivated at 31.12.2023 - J01DH51 -,J01DH51,Imipenem and cilastatin,OR,0,0,False,,fin/swe
1DH51,Inactivated at 31.12.2023 - J01DH51 -,J01DH51,Imipenem and cilastatin,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1DX19,Inactivated at 31.12.2023 - C01DX19 -,C01DX19,Nesiritide,OR,0,0,False,,fin/swe
1DX19,Inactivated at 31.12.2023 - C01DX19 -,C01DX19,Nesiritide,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1EA01,Inactivated at 31.12.2023 - Prostivas 0.5mg amp keskuslaskimokatetriin tai Pro,C01EA01,Alprostadil,OR,0,0,False,,fin/swe
1EA01,Inactivated at 31.12.2023 - Prostivas 0.5mg amp keskuslaskimokatetriin tai Pro,C01EA01,Alprostadil,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1EB16,Inactivated at 31.12.2023 - Pedea 5mg amp. laskimoon,C01EB16,Ibuprofen,OR,0,0,False,,fin/swe
1EB16,Inactivated at 31.12.2023 - Pedea 5mg amp. laskimoon,C01EB16,Ibuprofen,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1EB19,Inactivated at 31.12.2023 - xx1EB19 -,B06AC02,Icatibant,OR,0,0,False,,fin/swe
1EB19,Inactivated at 31.12.2023 - xx1EB19 -,B06AC02,Icatibant,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1LA01,Inactivated at 31.12.2023 - S01LA01 -,S01LA01,Verteporfin,OR,0,0,False,,fin/swe
1LA01,Inactivated at 31.12.2023 - S01LA01 -,S01LA01,Verteporfin,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1LA04,Inactivated at 31.12.2023 - S01LA04 -,S01LA04,Ranibizumab,OR,0,0,False,,fin/swe
1LA04,Inactivated at 31.12.2023 - S01LA04 -,S01LA04,Ranibizumab,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1LA05,Inactivated at 31.12.2023 - Eylea 40 mg/ml muu paikallinen lääkehoito (Aflibersepti),S01LA05,Aflibercept,OR,0,0,False,,fin/swe
1LA05,Inactivated at 31.12.2023 - Eylea 40 mg/ml muu paikallinen lääkehoito (Aflibersepti),S01LA05,Aflibercept,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1XA03,Inactivated at 31.12.2023 - L01XA03 -,L01XA03,Oxaliplatin,OR,0,0,False,,fin/swe
1XA03,Inactivated at 31.12.2023 - L01XA03 -,L01XA03,Oxaliplatin,PROCPR,90T01,0,False,Cytostatic drug,fin
1XA22,Inactivated at 31.12.2023 - Jetrea (okriplasmiini) injektio silmän lasiaiseen,S01XA22,Ocriplasmin,OR,0,0,True,,fin/swe
1XC01,Inactivated at 31.12.2023 - J01XC01 -,J01XC01,Fusidic acid,OR,0,0,False,,fin/swe
1XC02,Inactivated at 31.12.2023 - L01XC02 -,L01XC02,Rituximab,OR,0,0,False,,fin/swe
1XC02,Inactivated at 31.12.2023 - L01XC02 -,L01XC02,Rituximab,PROCPR,90T01,0,False,Cytostatic drug,fin
1XC03,Inactivated at 31.12.2023 - L01XC03 -,L01XC03,Trastuzumab,OR,0,0,False,,fin/swe
1XC03,Inactivated at 31.12.2023 - L01XC03 -,L01XC03,Trastuzumab,PROCPR,90T01,0,False,Cytostatic drug,fin
1XC04,Inactivated at 31.12.2023 - L01XC04 -,L04AA34,Alemtuzumab,OR,0,0,False,,fin/swe
1XC04,Inactivated at 31.12.2023 - L01XC04 -,L04AA34,Alemtuzumab,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1XC05,Inactivated at 31.12.2023 - L01XC05 -,L01XC05,Gemtuzumab ozogamicin,OR,0,0,False,,fin/swe
1XC05,Inactivated at 31.12.2023 - L01XC05 -,L01XC05,Gemtuzumab ozogamicin,PROCPR,90T01,0,False,Cytostatic drug,fin
1XC06,Inactivated at 31.12.2023 - L01XC06 -,L01XC06,Cetuximab,OR,0,0,False,,fin/swe
1XC06,Inactivated at 31.12.2023 - L01XC06 -,L01XC06,Cetuximab,PROCPR,90T01,0,False,Cytostatic drug,fin
1XC07,Inactivated at 31.12.2023 - L01XC07 -,L01XC07,Bevacizumab,OR,0,0,False,,fin/swe
1XC07,Inactivated at 31.12.2023 - L01XC07 -,L01XC07,Bevacizumab,PROCPR,90T01,0,False,Cytostatic drug,fin
1XC08,Inactivated at 31.12.2023 - L01XC08 -,L01XC08,Panitumumab,OR,0,0,False,,fin/swe
1XC08,Inactivated at 31.12.2023 - L01XC08 -,L01XC08,Panitumumab,PROCPR,90T01,0,False,Cytostatic drug,fin
1XC10,Inactivated at 31.12.2023 - Arzerra (ofatumubi) lääkeannos,L01FA02,Ofatumumab,OR,0,0,False,,fin/swe
1XC10,Inactivated at 31.12.2023 - Arzerra (ofatumubi) lääkeannos,L01FA02,Ofatumumab,PROCPR,90T01,0,False,Cytostatic drug,fin
1XC11,Inactivated at 31.12.2023 - Lpilimumabi lääkeannos laskimoon,L01XC11,Ipilimumab,OR,0,0,False,,fin/swe
1XC11,Inactivated at 31.12.2023 - Lpilimumabi lääkeannos laskimoon,L01XC11,Ipilimumab,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1XC12,Inactivated at 31.12.2023 - Adcetris (brentuksimabivedotiini) lääkeannos,L01XC12,Brentuximab vedotin,OR,0,0,False,,fin/swe
1XC12,Inactivated at 31.12.2023 - Adcetris (brentuksimabivedotiini) lääkeannos,L01XC12,Brentuximab vedotin,PROCPR,90T01,0,False,Cytostatic drug,fin
1XC13,Inactivated at 31.12.2023 - Perjeta (pertutsumabi) lääkeannos,L01XC13,Pertuzumab,OR,0,0,False,,fin/swe
1XC13,Inactivated at 31.12.2023 - Perjeta (pertutsumabi) lääkeannos,L01XC13,Pertuzumab,PROCPR,90T01,0,False,Cytostatic drug,fin
1XC16,Inactivated at 31.12.2023 - Quarziba (dinutuksimabi),L01XC16,Dinutuximab beta,OR,0,0,False,,fin/swe
1XC16,Inactivated at 31.12.2023 - Quarziba (dinutuksimabi),L01XC16,Dinutuximab beta,PROCPR,90T01,0,False,Cytostatic drug,fin
1XC17,Inactivated at 31.12.2023 - Opdivo (Nivolumabi) lääkeannos laskimoon,L01XC17,Nivolumab,OR,0,0,False,,fin/swe
1XC17,Inactivated at 31.12.2023 - Opdivo (Nivolumabi) lääkeannos laskimoon,L01XC17,Nivolumab,PROCPR,90T01,0,False,Cytostatic drug,fin
1XC32,Inactivated at 31.12.2023 - Tecentriq laskimo,L01XC32,Atezolizumab,OR,0,0,False,,fin/swe
1XC32,Inactivated at 31.12.2023 - Tecentriq laskimo,L01XC32,Atezolizumab,PROCPR,90T01,0,False,Cytostatic drug,fin
1XD04,Inactivated at 31.12.2023 - L01XD04 -,L01XD04,Aminolevulinic acid,OR,0,0,False,,fin/swe
1XD04,Inactivated at 31.12.2023 - L01XD04 -,L01XD04,Aminolevulinic acid,PROCPR,90T01,0,False,Cytostatic drug,fin
1XD05,Inactivated at 31.12.2023 - L01XD05 -,L01XD05,Temoporfin,OR,0,0,False,,fin/swe
1XD05,Inactivated at 31.12.2023 - L01XD05 -,L01XD05,Temoporfin,PROCPR,90T01,0,False,Cytostatic drug,fin
1XD06,Inactivated at 31.12.2023 - L01XD06 -,L01XD06,Efaproxiral,OR,0,0,False,,fin/swe
1XD06,Inactivated at 31.12.2023 - L01XD06 -,L01XD06,Efaproxiral,PROCPR,90T01,0,False,Cytostatic drug,fin
1XE01,Inactivated at 31.12.2023 - J01XE01 -,J01XE01,Nitrofurantoin,OR,0,0,False,,fin/swe
1XE04,Inactivated at 31.12.2023 - L01XE04 -,L01XE04,Sunitinib,OR,0,0,False,,fin
1XE04,Inactivated at 31.12.2023 - L01XE04 -,L01XE04,Sunitinib,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1XE05,Inactivated at 31.12.2023 - L01XE05 -,L01XE05,Sorafenib,OR,0,0,False,,fin
1XE05,Inactivated at 31.12.2023 - L01XE05 -,L01XE05,Sorafenib,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1XE06,Inactivated at 31.12.2023 - Sprycel 50 mg tbl suun kautta,L01XE06,Dasatinib,OR,0,0,False,,fin
1XE06,Inactivated at 31.12.2023 - Sprycel 50 mg tbl suun kautta,L01XE06,Dasatinib,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1XE12,Inactivated at 31.12.2023 - Caprelsa (vandetanibi) lääkeannos,L01XE12,Vandetanib,OR,0,0,False,,fin
1XE12,Inactivated at 31.12.2023 - Caprelsa (vandetanibi) lääkeannos,L01XE12,Vandetanib,PROCPR,90T01,0,False,Cytostatic drug,fin
1XE15,Inactivated at 31.12.2023 - Zelboraf 14 vrk lääkehoito potilaalle,L01XE15,Vemurafenib,OR,0,0,False,,fin
1XE15,Inactivated at 31.12.2023 - Zelboraf 14 vrk lääkehoito potilaalle,L01XE15,Vemurafenib,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1XE18,Inactivated at 31.12.2023 - Jakavi (ruksolitinibi) lääkehoito potilaalle,L01XE18,Ruxolitinib,OR,0,0,False,,fin
