code_nat,d_code_nat,text_nat,d_text_nat,code_plus,d_code_plus,text_plus,d_text_plus,vartype,varval,prop_0,varval_text_comb,nat_ver
1AX06,,Inactivated at 31.12.2023 - Wellvone lääkehoito,,P01AX06,,Atovaquone,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,swe/fin
1AX06,,Inactivated at 31.12.2023 - Wellvone lääkehoito,,P01AX06,,Atovaquone,,MDC,00,True,PreMDC DRG,swe/fin
1BA01,,Inactivated at 31.12.2023 - 1BA01 Metotreksaatti-annos 500 mg keskuslaskimokatetriin,,S01BA01,,Dexamethasone,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BA01,,Inactivated at 31.12.2023 - 1BA01 Metotreksaatti-annos 500 mg keskuslaskimokatetriin,,S01BA01,,Dexamethasone,,MDC,00,True,PreMDC DRG,fin/swe
1BA02,,Inactivated at 31.12.2023 - Octostim 150 mikrogr/plo - Nesäsumute,,H01BA02,,Desmopressin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BA02,,Inactivated at 31.12.2023 - Octostim 150 mikrogr/plo - Nesäsumute,,H01BA02,,Desmopressin,,MDC,00,True,PreMDC DRG,fin/swe
1BA04,,Inactivated at 31.12.2023 - C01BA04 -,,C01BA04,,Sparteine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BA04,,Inactivated at 31.12.2023 - C01BA04 -,,C01BA04,,Sparteine,,MDC,00,True,PreMDC DRG,fin/swe
1BA05,,Inactivated at 31.12.2023 - C01BA05 -,,C01BA05,,Ajmaline,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BA05,,Inactivated at 31.12.2023 - C01BA05 -,,C01BA05,,Ajmaline,,MDC,00,True,PreMDC DRG,fin/swe
1BA15,,Inactivated at 31.12.2023 - S01BA15 -,,S01BA15,,Fluocinolone acetonide,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BA15,,Inactivated at 31.12.2023 - S01BA15 -,,S01BA15,,Fluocinolone acetonide,,MDC,00,True,PreMDC DRG,fin/swe
1BB04,,Inactivated at 31.12.2023 - C01BB04 -,,C01BB04,,Aprindine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BB04,,Inactivated at 31.12.2023 - C01BB04 -,,C01BB04,,Aprindine,,MDC,00,True,PreMDC DRG,fin/swe
1BB05,,Inactivated at 31.12.2023 - L01BB05 -,,L01BB05,,Fludarabine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BB05,,Inactivated at 31.12.2023 - L01BB05 -,,L01BB05,,Fludarabine,,MDC,00,True,PreMDC DRG,fin/swe
1BB06,,Inactivated at 31.12.2023 - Evoltra (klofarabiini) lääkeannos laskimoon,,L01BB06,,Clofarabine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BB06,,Inactivated at 31.12.2023 - Evoltra (klofarabiini) lääkeannos laskimoon,,L01BB06,,Clofarabine,,MDC,00,True,PreMDC DRG,fin/swe
1BB07,,Inactivated at 31.12.2023 - Atriance 5mg/ml inf. neste laskimoon,,L01BB07,,Nelarabine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BB07,,Inactivated at 31.12.2023 - Atriance 5mg/ml inf. neste laskimoon,,L01BB07,,Nelarabine,,MDC,00,True,PreMDC DRG,fin/swe
1BC01,,Inactivated at 31.12.2023 - L01BC01 -,,L01BC01,,Cytarabine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BC01,,Inactivated at 31.12.2023 - L01BC01 -,,L01BC01,,Cytarabine,,MDC,00,True,PreMDC DRG,fin/swe
1BC02,,Inactivated at 31.12.2023 - L01BC02 -,,L01BC02,,Fluorouracil,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BC02,,Inactivated at 31.12.2023 - L01BC02 -,,L01BC02,,Fluorouracil,,MDC,00,True,PreMDC DRG,fin/swe
1BC03,,Inactivated at 31.12.2023 - C01BC03 -,,C01BC03,,Propafenone,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BC03,,Inactivated at 31.12.2023 - C01BC03 -,,C01BC03,,Propafenone,,MDC,00,True,PreMDC DRG,fin/swe
1BC04,,Inactivated at 31.12.2023 - C01BC04 -,,C01BC04,,Flecainide,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BC04,,Inactivated at 31.12.2023 - C01BC04 -,,C01BC04,,Flecainide,,MDC,00,True,PreMDC DRG,fin/swe
1BC05,,Inactivated at 31.12.2023 - L01BC05 -,,L01BC05,,Gemcitabine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BC05,,Inactivated at 31.12.2023 - L01BC05 -,,L01BC05,,Gemcitabine,,MDC,00,True,PreMDC DRG,fin/swe
1BC06,,Inactivated at 31.12.2023 - L01BC06 -,,L01BC06,,Capecitabine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BC06,,Inactivated at 31.12.2023 - L01BC06 -,,L01BC06,,Capecitabine,,MDC,00,True,PreMDC DRG,fin/swe
1BC07,,Inactivated at 31.12.2023 - C01BC07 -,,C01BC07,,Lorcainide,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BC07,,Inactivated at 31.12.2023 - C01BC07 -,,C01BC07,,Lorcainide,,MDC,00,True,PreMDC DRG,fin/swe
1BC08,,Inactivated at 31.12.2023 - Dacogen (desitabiini) iv,,L01BC08,,Decitabine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,swe/fin
1BC08,,Inactivated at 31.12.2023 - Dacogen (desitabiini) iv,,L01BC08,,Decitabine,,MDC,00,True,PreMDC DRG,swe/fin
1BC52,,Inactivated at 31.12.2023 - L01BC52 -,,L01BC52,,"Fluorouracil, combinations",,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BC52,,Inactivated at 31.12.2023 - L01BC52 -,,L01BC52,,"Fluorouracil, combinations",,MDC,00,True,PreMDC DRG,fin/swe
1BC53,,Inactivated at 31.12.2023 - L01BC53 -,,L01BC53,,"Tegafur, combinations",,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BC53,,Inactivated at 31.12.2023 - L01BC53 -,,L01BC53,,"Tegafur, combinations",,MDC,00,True,PreMDC DRG,fin/swe
1BD01,,Inactivated at 31.12.2023 - 1BD01ZX120,,C01BD01,,Amiodarone,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BD01,,Inactivated at 31.12.2023 - 1BD01ZX120,,C01BD01,,Amiodarone,,MDC,00,True,PreMDC DRG,fin/swe
1BG11,,Inactivated at 31.12.2023 - Brinavess 12 ml injektio laskimoon,,C01BG11,,Vernakalant,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,swe/fin
1BG11,,Inactivated at 31.12.2023 - Brinavess 12 ml injektio laskimoon,,C01BG11,,Vernakalant,,MDC,00,True,PreMDC DRG,swe/fin
1BX04,,Inactivated at 31.12.2023 - Qutenza 179 mg laastari iholle,,N01BX04,,Capsaicin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1BX04,,Inactivated at 31.12.2023 - Qutenza 179 mg laastari iholle,,N01BX04,,Capsaicin,,MDC,00,True,PreMDC DRG,fin/swe
1CA01,,"Inactivated at 31.12.2023 - Velbe, vinblastinsolusalpaaja",,L01CA01,,Vinblastine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1CA01,,"Inactivated at 31.12.2023 - Velbe, vinblastinsolusalpaaja",,L01CA01,,Vinblastine,,MDC,00,True,PreMDC DRG,fin/swe
1CA04,,Inactivated at 31.12.2023 - C01CA04 -,,C01CA04,,Dopamine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1CA04,,Inactivated at 31.12.2023 - C01CA04 -,,C01CA04,,Dopamine,,MDC,00,True,PreMDC DRG,fin/swe
1CB02,,Inactivated at 31.12.2023 - H01CB02 -,,H01CB02,,Octreotide,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1CB02,,Inactivated at 31.12.2023 - H01CB02 -,,H01CB02,,Octreotide,,MDC,00,True,PreMDC DRG,fin/swe
1CB03,,Inactivated at 31.12.2023 - Somatuline autogel,,H01CB03,,Lanreotide,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1CB03,,Inactivated at 31.12.2023 - Somatuline autogel,,H01CB03,,Lanreotide,,MDC,00,True,PreMDC DRG,fin/swe
1CD01,,Inactivated at 31.12.2023 - L01CD01 -,,L01CD01,,Paclitaxel,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1CD01,,Inactivated at 31.12.2023 - L01CD01 -,,L01CD01,,Paclitaxel,,MDC,00,True,PreMDC DRG,fin/swe
1CD02,,Inactivated at 31.12.2023 - L01CD02 -,,L01CD02,,Docetaxel,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1CD02,,Inactivated at 31.12.2023 - L01CD02 -,,L01CD02,,Docetaxel,,MDC,00,True,PreMDC DRG,fin/swe
1CD04,,Inactivated at 31.12.2023 - Jevtana (kabatsitakseli) lääkeannos laskimoon,,L01CD04,,Cabazitaxel,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,swe/fin
1CD04,,Inactivated at 31.12.2023 - Jevtana (kabatsitakseli) lääkeannos laskimoon,,L01CD04,,Cabazitaxel,,MDC,00,True,PreMDC DRG,swe/fin
1CX01,,Inactivated at 31.12.2023 - L01CX01 -,,L01CX01,,Trabectedin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1CX01,,Inactivated at 31.12.2023 - L01CX01 -,,L01CX01,,Trabectedin,,MDC,00,True,PreMDC DRG,fin/swe
1CX08,,Inactivated at 31.12.2023 - C01CX08 -,,C01CX08,,Levosimendan,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1CX08,,Inactivated at 31.12.2023 - C01CX08 -,,C01CX08,,Levosimendan,,MDC,00,True,PreMDC DRG,fin/swe
1DB02,,Inactivated at 31.12.2023 - J01DB02 -,,J01DB02,,Cefaloridine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DB02,,Inactivated at 31.12.2023 - J01DB02 -,,J01DB02,,Cefaloridine,,MDC,00,True,PreMDC DRG,fin/swe
1DB03,,Inactivated at 31.12.2023 - J01DB03 -,,J01DB03,,Cefalotin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DB03,,Inactivated at 31.12.2023 - J01DB03 -,,J01DB03,,Cefalotin,,MDC,00,True,PreMDC DRG,fin/swe
1DB04,,Inactivated at 31.12.2023 - J01DB04 -,,J01DB04,,Cefazolin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DB04,,Inactivated at 31.12.2023 - J01DB04 -,,J01DB04,,Cefazolin,,MDC,00,True,PreMDC DRG,fin/swe
1DB05,,Inactivated at 31.12.2023 - J01DB05 -,,J01DB05,,Cefadroxil,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DB05,,Inactivated at 31.12.2023 - J01DB05 -,,J01DB05,,Cefadroxil,,MDC,00,True,PreMDC DRG,fin/swe
1DB06,,Inactivated at 31.12.2023 - J01DB06 -,,J01DB06,,Cefazedone,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DB06,,Inactivated at 31.12.2023 - J01DB06 -,,J01DB06,,Cefazedone,,MDC,00,True,PreMDC DRG,fin/swe
1DB07,,Inactivated at 31.12.2023 - J01DB07 -,,J01DB07,,Cefatrizine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DB07,,Inactivated at 31.12.2023 - J01DB07 -,,J01DB07,,Cefatrizine,,MDC,00,True,PreMDC DRG,fin/swe
1DB08,,Inactivated at 31.12.2023 - J01DB08 -,,J01DB08,,Cefapirin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DB08,,Inactivated at 31.12.2023 - J01DB08 -,,J01DB08,,Cefapirin,,MDC,00,True,PreMDC DRG,fin/swe
1DB09,,Inactivated at 31.12.2023 - J01DB09 -,,J01DB09,,Cefradine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DB09,,Inactivated at 31.12.2023 - J01DB09 -,,J01DB09,,Cefradine,,MDC,00,True,PreMDC DRG,fin/swe
1DC01,,Inactivated at 31.12.2023 - J01DC01 -,,J01DC01,,Cefoxitin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DC01,,Inactivated at 31.12.2023 - J01DC01 -,,J01DC01,,Cefoxitin,,MDC,00,True,PreMDC DRG,fin/swe
1DC02,,Inactivated at 31.12.2023 - J01DC02 -,,J01DC02,,Cefuroxime,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DC02,,Inactivated at 31.12.2023 - J01DC02 -,,J01DC02,,Cefuroxime,,MDC,00,True,PreMDC DRG,fin/swe
1DC03,,Inactivated at 31.12.2023 - J01DC03 -,,J01DC03,,Cefamandole,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DC03,,Inactivated at 31.12.2023 - J01DC03 -,,J01DC03,,Cefamandole,,MDC,00,True,PreMDC DRG,fin/swe
1DH02,,Inactivated at 31.12.2023 - J01DH02 -,,J01DH02,,Meropenem,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DH02,,Inactivated at 31.12.2023 - J01DH02 -,,J01DH02,,Meropenem,,MDC,00,True,PreMDC DRG,fin/swe
1DH03,,Inactivated at 31.12.2023 - J01DH03 -,,J01DH03,,Ertapenem,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DH03,,Inactivated at 31.12.2023 - J01DH03 -,,J01DH03,,Ertapenem,,MDC,00,True,PreMDC DRG,fin/swe
1DH04,,Inactivated at 31.12.2023 - xx1DH04 -,,J01DH04,,Doripenem,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DH04,,Inactivated at 31.12.2023 - xx1DH04 -,,J01DH04,,Doripenem,,MDC,00,True,PreMDC DRG,fin/swe
1DH51,,Inactivated at 31.12.2023 - J01DH51 -,,J01DH51,,Imipenem and cilastatin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DH51,,Inactivated at 31.12.2023 - J01DH51 -,,J01DH51,,Imipenem and cilastatin,,MDC,00,True,PreMDC DRG,fin/swe
1DX19,,Inactivated at 31.12.2023 - C01DX19 -,,C01DX19,,Nesiritide,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1DX19,,Inactivated at 31.12.2023 - C01DX19 -,,C01DX19,,Nesiritide,,MDC,00,True,PreMDC DRG,fin/swe
1EA01,,Inactivated at 31.12.2023 - Prostivas 0.5mg amp keskuslaskimokatetriin tai Pro,,C01EA01,,Alprostadil,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1EA01,,Inactivated at 31.12.2023 - Prostivas 0.5mg amp keskuslaskimokatetriin tai Pro,,C01EA01,,Alprostadil,,MDC,00,True,PreMDC DRG,fin/swe
1EB16,,Inactivated at 31.12.2023 - Pedea 5mg amp. laskimoon,,C01EB16,,Ibuprofen,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1EB16,,Inactivated at 31.12.2023 - Pedea 5mg amp. laskimoon,,C01EB16,,Ibuprofen,,MDC,00,True,PreMDC DRG,fin/swe
1EB19,,Inactivated at 31.12.2023 - xx1EB19 -,,B06AC02,,Icatibant,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1EB19,,Inactivated at 31.12.2023 - xx1EB19 -,,B06AC02,,Icatibant,,MDC,00,True,PreMDC DRG,fin/swe
1LA01,,Inactivated at 31.12.2023 - S01LA01 -,,S01LA01,,Verteporfin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1LA01,,Inactivated at 31.12.2023 - S01LA01 -,,S01LA01,,Verteporfin,,MDC,00,True,PreMDC DRG,fin/swe
1LA04,,Inactivated at 31.12.2023 - S01LA04 -,,S01LA04,,Ranibizumab,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1LA04,,Inactivated at 31.12.2023 - S01LA04 -,,S01LA04,,Ranibizumab,,MDC,00,True,PreMDC DRG,fin/swe
1LA05,,Inactivated at 31.12.2023 - Eylea 40 mg/ml muu paikallinen lääkehoito (Aflibersepti),,S01LA05,,Aflibercept,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,swe/fin
1LA05,,Inactivated at 31.12.2023 - Eylea 40 mg/ml muu paikallinen lääkehoito (Aflibersepti),,S01LA05,,Aflibercept,,MDC,00,True,PreMDC DRG,swe/fin
1XA03,,Inactivated at 31.12.2023 - L01XA03 -,,L01XA03,,Oxaliplatin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1XA03,,Inactivated at 31.12.2023 - L01XA03 -,,L01XA03,,Oxaliplatin,,MDC,00,True,PreMDC DRG,fin/swe
1XA22,,Inactivated at 31.12.2023 - Jetrea (okriplasmiini) injektio silmän lasiaiseen,,S01XA22,,Ocriplasmin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,swe/fin
1XA22,,Inactivated at 31.12.2023 - Jetrea (okriplasmiini) injektio silmän lasiaiseen,,S01XA22,,Ocriplasmin,,MDC,00,True,PreMDC DRG,swe/fin
1XC01,,Inactivated at 31.12.2023 - J01XC01 -,,J01XC01,,Fusidic acid,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1XC01,,Inactivated at 31.12.2023 - J01XC01 -,,J01XC01,,Fusidic acid,,MDC,00,True,PreMDC DRG,fin/swe
1XC02,,Inactivated at 31.12.2023 - L01XC02 -,,L01XC02,,Rituximab,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1XC02,,Inactivated at 31.12.2023 - L01XC02 -,,L01XC02,,Rituximab,,MDC,00,True,PreMDC DRG,fin/swe
1XC03,,Inactivated at 31.12.2023 - L01XC03 -,,L01XC03,,Trastuzumab,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1XC03,,Inactivated at 31.12.2023 - L01XC03 -,,L01XC03,,Trastuzumab,,MDC,00,True,PreMDC DRG,fin/swe
1XC04,,Inactivated at 31.12.2023 - L01XC04 -,,L04AA34,,Alemtuzumab,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
