vartype,varval,varval_text_comb,code_nat,d_code_nat,text_nat,d_text_nat,code_plus,d_code_plus,text_plus,d_text_plus,nat_ver
COMPLEX,01C01,Neurological complication,G821,,Jäykkä (spastinen) paraplegia,,G8210,,Spastic paraplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G822,,Määrittämätön paraplegia,,G8220,,"Paraplegia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G823,,Veltto tetraplegia,,G8230,,Flaccid tetraplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G824,,Jäykkä (spastinen) tetraplegia,,G8240,,Spastic tetraplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G825,,Määrittämätön tetraplegia,,G8250,,"Tetraplegia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G830,,Yläraajojen diplegia,,G8300,,Diplegia of upper limbs,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G831,,Alaraajan monoplegia,,G8310,,Monoplegia of lower limb,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G832,,Yläraajan monoplegia,,G8320,,Monoplegia of upper limb,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G833,,Määrittämätön monoplegia,,G8330,,"Monoplegia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G834,,Cauda equina -oireyhtymä,,G8340,,Cauda equina syndrome,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G835,,Lukkotila,,G8380,,Other specified paralytic syndromes,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G838,,Muu halvausoireyhtymä,,G8380,,Other specified paralytic syndromes,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G839,,Määrittämätön halvausoireyhtymä,,G8390,,"Paralytic syndrome, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G934,,Määrittämätön enkefalopatia,,G9340,,"Encephalopathy, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G935,,Aivojen puristustila,,G9350,,Compression of brain,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G936,,Aivoturvotus,,G9360,,Cerebral oedema,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G937,,Reyen oireyhtymä,,G9370,,Reye's syndrome,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G938,,Muu aivosairaus,,G9380,,Other specified disorders of brain,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G9399,,Määrittämätön aivosairaus,,G9390,,"Disorder of brain, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G979,,Määrittämätön toimenpiteen jälkeinen hermostovika,,G9790,,"Postprocedural disorder of nervous system, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G98,,Muualla luokittamaton muu hermostosairaus,,G9800,,"Other disorders of nervous system, not elsewhere classified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,PC_N18,,Halvaus/heikkous,,G8390,,"Paralytic syndrome, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,PC_N85,,"Synnynnäinen epämuodostuma, hermoston",,Q0790,,"Congenital malformation of nervous system, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,PC_N99,,Muu hermoston sairaus,,G9800,,"Other disorders of nervous system, not elsewhere classified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,PC_X72,,"Hiiva sukuelimissä, naisen",,B3740,,Candidiasis of other urogenital sites,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q060,,Amyelia (synnynnäinen selkäytimen puuttuminen),,Q0600,,Amyelia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q061,,Selkäytimen vajaakehitys tai dysplasia,,Q0610,,Hypoplasia and dysplasia of spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q062,,Diastematomyelia,,Q0620,,Diastematomyelia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q063,,Muu synnynnäinen cauda equina -epämuodostuma,,Q0630,,Other congenital cauda equina malformations,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q064,,Hydromyelia,,Q0640,,Hydromyelia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q068,,Muu synnynnäinen selkäytimen epämuodostuma,,Q0680,,Other specified congenital malformations of spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q069,,Määrittämätön synnynnäinen selkäytimen epämuodostuma,,Q0690,,"Congenital malformation of spinal cord, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q070,,Arnold-Chiarin oireyhtymä,,Q0700,,Arnold-Chiari syndrome,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q078,,Muu synnynnäinen hermoston epämuodostuma,,Q0780,,Other specified congenital malformations of nervous system,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,Q079,,Määrittämätön synnynnäinen hermoston tai hermoston kalvojen epämuodostuma,,Q0790,,"Congenital malformation of nervous system, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,PC_A81,,Monivamma,,S1700,,Crushing injury of larynx and trachea,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,PC_L76,,"Murtuma, muu",,T1420,,Fracture of unspecified body region,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,PC_N80,,"Pään vamma, muu",,S0990,,Unspecified injury of head,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0270,,Useat pääkopan ja/tai kasvojen luiden murtumat ei avoimia murtumia,,S027A,,Multiple closed fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0271,,Useat pääkopan ja/tai kasvojen luiden murtumat avoimia murtumia,,S027B,,Multiple open fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0280,,Muun pääkopan tai kasvojen luun murtuma suljettu,,S028A,,Closed fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0281,,Muun pääkopan tai kasvojen luun murtuma avoin,,S028B,,Open fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0290,,Määrittämätön pääkopan ja/tai kasvojen luiden murtuma suljettu,,S029A,,"Closed fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S0291,,Määrittämätön pääkopan ja/tai kasvojen luiden murtuma avoin,,S029B,,"Open fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S088,,Pään muun määritetyn osan irti repeäminen,,S0880,,Traumatic amputation of other parts of head,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S089,,Pään määrittämättömän osan irti repeäminen,,S0890,,Traumatic amputation of unspecified part of head,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S097,,Useat pään vammat,,S0970,,Multiple injuries of head,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S098,,Muu pään vamma,,S0980,,Other specified injuries of head,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S099,,Määrittämätön pään vamma,,S0990,,Unspecified injury of head,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S120,,Kannattajanikaman murtuma,,S1200,,Fracture of first cervical vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S121,,Kiertonikaman murtuma,,S1210,,Fracture of second cervical vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S122,,Muun kaulanikaman murtuma,,S1220,,Fracture of other specified cervical vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S127,,Useat kaulanikamamurtumat,,S1270,,Multiple fractures of cervical spine,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S128,,Kaulan muun osan murtuma,,S1280,,Fracture of other parts of neck,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S129,,Määrittämätön kaulan alueen murtuma,,S1290,,"Fracture of neck, part unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S131,,Kaulanikaman sijoiltaanmeno,,S1310,,Dislocation of cervical vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S132,,Muun tai määrittämättömän kaulan osan sijoiltaanmeno,,S1320,,Dislocation of other and unspecified parts of neck,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S140,,Selkäytimen kaulaosan vamma ja turpoaminen,,S1400,,Concussion and oedema of cervical spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S141,,Muu tai määrittämätön selkäytimen kaulaosan vamma,,S1410,,Other and unspecified injuries of cervical spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S170,,Kurkunpään ja/tai henkitorven murskavamma,,S1700,,Crushing injury of larynx and trachea,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S178,,Kaulan muun osan murskavamma,,S1780,,Crushing injury of other parts of neck,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,S179,,Sijainniltaan määrittämätön kaulan murskavamma,,S1790,,"Crushing injury of neck, part unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T020,,Pään ja kaulan luiden murtumat,,T0200,,Fractures involving head with neck,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T021,,Rintakehän ja alaselän tai lantion murtumat,,T0210,,Fractures involving thorax with lower back and pelvis,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T029,,Lukuisat määrittämättömät murtumat,,T0290,,"Multiple fractures, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T040,,Pään ja kaulan murskavamma,,T0400,,Crushing injuries involving head with neck,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T048,,Muu murskavammojen yhdistelmä,,T0480,,Crushing injuries involving other combinations of body regions,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T049,,Lukuisat määrittämättömät murskavammat,,T0490,,"Multiple crushing injuries, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T060,,Aivojen tai aivohermojen sekä samanaikainen kaulan alueen hermon tai selkäytimen vamma,,T0600,,Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T08,,Sijainniltaan määrittämätön selkärankamurtuma,,T0800,,"Fracture of spine, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T093,,Sijainniltaan määrittämätön selkäydinvamma,,T0930,,"Injury of spinal cord, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T098,,"Muut määritetyt, tasoltaan määrittämättömät vartalon vammat",,T0980,,"Other specified injuries of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T099,,Sijainniltaan määrittämätön vartalon määrittämätön vamma,,T0990,,"Unspecified injury of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T142,,Määrittämättömän kehonosan murtuma,,T1420,,Fracture of unspecified body region,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T798,,Muu ulkoisen väkivallan varhainen komplikaatio,,T7980,,Other early complications of trauma,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T799,,Määrittämätön ulkoisen väkivallan varhainen komplikaatio,,T7990,,Unspecified early complication of trauma,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T911,,Selkärankamurtuman myöhäisvaikutukset,,T9110,,Sequelae of fracture of spine,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C02,Spinal injury at neck level,T913,,Selkäydinvamman myöhäisvaikutukset,,T9130,,Sequelae of injury of spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,PC_L76,,"Murtuma, muu",,T1420,,Fracture of unspecified body region,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,PC_L79,,"Nyrjähdys/venähdys, muu",,T1430,,"Dislocation, sprain and strain of unspecified body region",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,PC_L80,,Sijoiltaanmeno,,T1430,,"Dislocation, sprain and strain of unspecified body region",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S0270,,Useat pääkopan ja/tai kasvojen luiden murtumat ei avoimia murtumia,,S027A,,Multiple closed fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S0271,,Useat pääkopan ja/tai kasvojen luiden murtumat avoimia murtumia,,S027B,,Multiple open fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S0280,,Muun pääkopan tai kasvojen luun murtuma suljettu,,S028A,,Closed fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S0281,,Muun pääkopan tai kasvojen luun murtuma avoin,,S028B,,Open fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S0290,,Määrittämätön pääkopan ja/tai kasvojen luiden murtuma suljettu,,S029A,,"Closed fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S0291,,Määrittämätön pääkopan ja/tai kasvojen luiden murtuma avoin,,S029B,,"Open fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S220,,Rintanikaman murtuma,,S2200,,Fracture of thoracic vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S221,,Useat rintarangan murtumat,,S2210,,Multiple fractures of thoracic spine,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S231,,Rintanikaman sijoiltaanmeno,,S2310,,Dislocation of thoracic vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S240,,Selkäytimen rintakehäosan vamma ja turpoaminen,,S2400,,Concussion and oedema of thoracic spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,S241,,Muu tai määrittämätön selkäytimen rintakehäosan vamma,,S2410,,Other and unspecified injuries of thoracic spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T021,,Rintakehän ja alaselän tai lantion murtumat,,T0210,,Fractures involving thorax with lower back and pelvis,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T041,,"Rintakehän ja vatsan, alaselän tai lantion murskavamma",,T0410,,"Crushing injuries involving thorax with abdomen, lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T047,,"Rintakehän ja vatsan, alaselän tai lantion sekä raajojen murskavamma",,T0470,,"Crushing injuries of thorax with abdomen, lower back and pelvis with limb(s)",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T048,,Muu murskavammojen yhdistelmä,,T0480,,Crushing injuries involving other combinations of body regions,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T049,,Lukuisat määrittämättömät murskavammat,,T0490,,"Multiple crushing injuries, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T08,,Sijainniltaan määrittämätön selkärankamurtuma,,T0800,,"Fracture of spine, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T093,,Sijainniltaan määrittämätön selkäydinvamma,,T0930,,"Injury of spinal cord, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T098,,"Muut määritetyt, tasoltaan määrittämättömät vartalon vammat",,T0980,,"Other specified injuries of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T099,,Sijainniltaan määrittämätön vartalon määrittämätön vamma,,T0990,,"Unspecified injury of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T142,,Määrittämättömän kehonosan murtuma,,T1420,,Fracture of unspecified body region,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T143,,"Määrittämätön kehonosan sijoiltaanmeno, nyrjähdys tai venähdys",,T1430,,"Dislocation, sprain and strain of unspecified body region",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T798,,Muu ulkoisen väkivallan varhainen komplikaatio,,T7980,,Other early complications of trauma,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T799,,Määrittämätön ulkoisen väkivallan varhainen komplikaatio,,T7990,,Unspecified early complication of trauma,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T911,,Selkärankamurtuman myöhäisvaikutukset,,T9110,,Sequelae of fracture of spine,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C03,Spinal injury at thorax level,T913,,Selkäydinvamman myöhäisvaikutukset,,T9130,,Sequelae of injury of spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,PC_L76,,"Murtuma, muu",,T1420,,Fracture of unspecified body region,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,PC_L79,,"Nyrjähdys/venähdys, muu",,T1430,,"Dislocation, sprain and strain of unspecified body region",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,PC_L80,,Sijoiltaanmeno,,T1430,,"Dislocation, sprain and strain of unspecified body region",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S0270,,Useat pääkopan ja/tai kasvojen luiden murtumat ei avoimia murtumia,,S027A,,Multiple closed fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S0271,,Useat pääkopan ja/tai kasvojen luiden murtumat avoimia murtumia,,S027B,,Multiple open fractures involving skull and facial bones,,est/swe/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S0280,,Muun pääkopan tai kasvojen luun murtuma suljettu,,S028A,,Closed fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S0281,,Muun pääkopan tai kasvojen luun murtuma avoin,,S028B,,Open fracture of other skull and facial bones,,est/swe/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S0290,,Määrittämätön pääkopan ja/tai kasvojen luiden murtuma suljettu,,S029A,,"Closed fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S0291,,Määrittämätön pääkopan ja/tai kasvojen luiden murtuma avoin,,S029B,,"Open fracture of skull and facial bones, part unspecified",,est/swe/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S320,,Lannenikaman murtuma,,S3200,,Fracture of lumbar vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S327,,Useat lannerangan ja/tai lantion murtumat,,S3270,,Multiple fractures of lumbar spine and pelvis,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S328,,Muun tai määrittämättömän lannerangan tai lantion osan murtuma,,S3280,,Fracture of other and unspecified parts of lumbar spine and pelvis,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S331,,Lannenikaman sijoiltaanmeno,,S3310,,Dislocation of lumbar vertebra,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S340,,Selkäytimen lanneosan vamma ja turpoaminen,,S3400,,Concussion and oedema of lumbar spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S341,,Muu selkäytimen lanneosan vamma,,S3410,,Other injury of lumbar spinal cord,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S397,,"Muut useat vatsan, alaselän ja/tai lantion vammat",,S3970,,"Other multiple injuries of abdomen, lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S398,,"Muu vatsan, alaselän tai lantion vamma",,S3980,,"Other specified injuries of abdomen, lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,S399,,"Määrittämätön vatsan, alaselän ja/tai lantion alueen vamma",,S3990,,"Unspecified injury of abdomen, lower back and pelvis",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T021,,Rintakehän ja alaselän tai lantion murtumat,,T0210,,Fractures involving thorax with lower back and pelvis,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T027,,"Murtumat raajoissa ja rintakehässä, alaselässä tai lantiossa",,T0270,,Fractures involving thorax with lower back and pelvis with limb(s),,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T029,,Lukuisat määrittämättömät murtumat,,T0290,,"Multiple fractures, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T047,,"Rintakehän ja vatsan, alaselän tai lantion sekä raajojen murskavamma",,T0470,,"Crushing injuries of thorax with abdomen, lower back and pelvis with limb(s)",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T048,,Muu murskavammojen yhdistelmä,,T0480,,Crushing injuries involving other combinations of body regions,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T049,,Lukuisat määrittämättömät murskavammat,,T0490,,"Multiple crushing injuries, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T08,,Sijainniltaan määrittämätön selkärankamurtuma,,T0800,,"Fracture of spine, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T093,,Sijainniltaan määrittämätön selkäydinvamma,,T0930,,"Injury of spinal cord, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T098,,"Muut määritetyt, tasoltaan määrittämättömät vartalon vammat",,T0980,,"Other specified injuries of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T099,,Sijainniltaan määrittämätön vartalon määrittämätön vamma,,T0990,,"Unspecified injury of trunk, level unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T142,,Määrittämättömän kehonosan murtuma,,T1420,,Fracture of unspecified body region,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C04,Spinal injury at lumbal level,T143,,"Määrittämätön kehonosan sijoiltaanmeno, nyrjähdys tai venähdys",,T1430,,"Dislocation, sprain and strain of unspecified body region",,est/swe/lat/ice/den/fin/nor
