dgprop,varval_text_comb,nat_ver
10X03,Chronic complicated diabetes,swe/lat/ice/den/nor/est/fin
11K99,Diseases and disorders of the kidney and urinary tract,swe/lat/ice/est/fin
11X01,Nephritis or nephrosis,swe/lat/ice/den/nor/est/fin
11X02,Vesicointestinal fistula,swe/lat/ice/den/nor/est/fin
12K99,Diseases and disorders of the male reproductive system,swe/lat/ice/est/fin
13K99,Diseases and disorders of the female reproductive system,swe/lat/ice/est/fin
14K99,"Pregnancy, childbirth and puerperium",swe/lat/ice/est/fin
14X01,Mole,swe/lat/ice/den/nor/est/fin
14X03,Delivery this admission,swe/lat/ice/den/nor/est/fin
14X04,Intra- or postpartum,swe/lat/ice/den/nor/est/fin
14X05,Postpartum or postabortum,swe/lat/ice/den/nor/est/fin
14X10,Antepartum complication,swe/lat/ice/den/nor/est/fin
14X11,Complication of delivery,swe/lat/ice/den/nor/est/fin
14X12,Complication of cesarean section,swe/lat/ice/den/nor/est/fin
14X13,Forceps and vacuum delivery,lat/den/est/fin
14X15,Preeclampsia,swe/fin
14X31,Abortion,swe/lat/ice/den/nor/est/fin
14X32,Postabortum,swe/lat/ice/den/nor/est/fin
15K99,Newborns and other neonates with conditions originating in the delivery,swe/lat/ice/est/fin
15X23,"Newborn, birthweight below 1000 g",swe/lat/ice/den/nor/est/fin
15X24,"Newborn, birthweight 1000 - 1499 g",swe/lat/nor/est/fin
15X25,"Newborn, birthweight 1500 - 2499 g",swe/lat/ice/den/nor/est/fin
15X31,Neonatal respiratory problem,swe/lat/ice/den/nor/est/fin
15X32,Neonatal CNS problem,swe/lat/ice/den/nor/est/fin
15X33,Neonatal cardiac  or circulatory problem,swe/lat/ice/den/nor/est/fin
15X34,Neonatal abdominal or retroperitoneal problem,swe/lat/ice/den/nor/est/fin
15X35,Neonatal othopedic problem,swe/lat/ice/den/nor/est/fin
15X36,Neonatal infection or metab. problem,swe/lat/ice/den/nor/est/fin
15X37,Neonatal hematologic problem,swe/lat/ice/den/nor/est/fin
15X40,Severe respiratory problem of newborn,swe/lat/ice/den/nor/est/fin
15X91,Normal neontal finding,swe/lat/ice/den/nor/est/fin
15X98,Other significant problem of neonate,swe/lat/ice/den/nor/est/fin
16K99,Diseases and disorders of the blood and blood forming organs,swe/lat/ice/est/fin
17K99,"Myeloproliferative diseases and disorders, poorly differentiated",swe/lat/ice/est/fin
17X01,Acute leukemia,swe/lat/ice/den/est/fin
18K99,Infectious and parasitic diseases,swe/lat/ice/est/fin
18X01,HIV infection,swe/lat/ice/den/nor/est/fin
18X02,Major HIV related condition,lat/ice/den/nor/est/fin
19K99,Mental diseases and disorders,swe/lat/ice/est/fin
19X01,Psychosis,swe/lat/ice/nor/est/fin/den
21K99,"Injuries, poisonings and toxic effects of drugs",swe/lat/ice/est/fin
21X05,Complication of treatment,swe/lat/ice/den/nor/est/fin
21X06,Allergic reaction,swe/lat/ice/den/nor/est/fin
21X08,"Late effect off burn, corrosion or frostbite",swe/lat/ice/den/nor/est/fin
22K99,Burns,swe/lat/ice/est/fin
22X01,Extensive burn or corrosion (more than 50%),swe/lat/ice/den/nor/est/fin
22X02,Third degree burn and corrosion of head and neck,swe/lat/ice/den/nor/est/fin
22X03,Third degree burn and corrosion of upper limb and hand,swe/lat/ice/den/nor/est/fin
22X04,Third degree burn and corrosion of lower limb and foot,swe/lat/ice/den/nor/est/fin
22X05,Third degree burn and corrosion of unspecified body region,swe/lat/ice/den/nor/est/fin
22X10,Less extensive burn or corrosion (30-50%),swe/lat/ice/den/nor/est/fin
23F02,Severe dependency in eating,swe/ice/den/est/fin
23F11,Dependency in caring for body parts,swe/ice/den/est/fin
23F31,Dependency in toileting,swe/ice/den/est/fin
23F32,Severe dependency in toileting,swe/ice/den/est/fin
23F41,Impairment of defecations functions,swe/ice/den/est/fin
23F51,Dependency in transferring oneself,swe/ice/den/est/fin
23F52,Severe dependency in transferring oneself,swe/ice/den/est/fin
23F61,Dependency in walking,swe/ice/den/est/fin
23F62,Severe dependency in walking,swe/ice/den/est/fin
23F71,Dependency in moving around using equipment,swe/ice/den/est/fin
23F72,Severe dependency in moving around using equipment,swe/ice/den/est/fin
23F91,Dependency in interpersonal interactions and relationship,swe/ice/den/est/fin
23K01,History of malignancy,swe/lat/ice/est/fin
23X20,Rehabilitation,swe/lat/ice/den/est/fin
24K90,Multiple injury as second diagnosis,swe/lat/est/fin
24X11,Severe intracranial trauma,fin
24X21,Thorax major injury except spine,fin
24X22,Fracture or sprain of thoracic spine,fin
24X31,Intra-abdominal major trauma,fin
24X41,"Fracture, dislocation or sprain of lumbar spine",fin
24X61,Pelvic major trauma except spinal,fin
30K99,Breast problem,swe/lat/ice/est/fin
30X01,Malignant breast disorder,swe/lat/ice/den/nor/est/fin
30X02,Cosmetic problem of breast,swe/lat/ice/den/nor/est/fin
30X05,Procedure complicating breast surgery,fin/ice/nor/swe
90X01,Malignancy or history of malignancy,nor/fin
98K99,Diseases and disorders of male/female reproductive organs,swe/lat/ice/den/est/fin
99X00,Right,swe/lat/ice/nor/est/fin
99X02,Left,swe/lat/ice/nor/est/fin
99X04,Bilateral,swe/lat/ice/nor/est/fin
99X20,Medication delivered for home use,fin
