drg_nat,drg_text_nat,drg_text_short_nat,drg_comb,drg_text_comb,drg_text_short_comb,mdc,country
004O,"Selkäydinleikkaus, lyhyt hoito","Selkäydinleikkaus, lyhyt hoito",004O,"Spinal procedures, short therapy","Spinal procedures, short therapy",1,fin
005,Kallonulkoinen aivoverenkiertoon vaikuttava verisuonten leikkaus,Kallonulk aivover vaikuttava verisuonten leikk,005X,Extracranial vascular procedures,Extracranial vascular procedures,1,fin
005O,"Kallonulkoinen aivoverenkiertoon vaikuttava verisuonten leikkaus, lyhyt hoito","Kallonulk aivover vaik verisuonten leikk, lyh",005O,"Extracranial vascular procedures, short therapy","Extracranial vascular procedures, short therapy",1,fin
006,Rannekanavaoireyhtymän leikkaus,Rannekanavaoireyhtymän leikkaus,006X,Carpal tunnel release,Carpal tunnel release,1,fin
006O,"Rannekanavaoireyhtymän leikkaus, lyhyt hoito","Rannekanavaoireyhtymän leikkaus, lyhyt hoito",006O,"Carpal tunnel release, short therapy","Carpal tunnel release, short therapy",1,fin
007,"Ääreishermojen, aivohermojen tai muun hermoston toimenpide, komplisoitunut","Ääreishermojen, aivohermojen tai muun hermoston toimenpide, komplisoitunut",007X,"Peripheral and cranial nerve and other nervous system procedures, w CC","Peripheral and cranial nerve and other nervous system procedures, w CC",1,fin
008,"Ääreishermojen, aivohermojen tai muun hermoston toimenpide, ei komplisoitunut","Ääreishermojen, aivohermojen tai muun hermoston toimenpide, ei komplisoitunut",008X,"Peripheral and cranial nerve and other nervous system procedures, w/o CC","Peripheral and cranial nerve and other nervous system procedures, w/o CC",1,fin
008O,"Ääreishermojen, aivohermojen tai muun hermoston toimenpide, lyhyt hoito","Ääreishermojen, aivohermojen tai muun hermoston toimenpide, lyhyt hoito",008O,"Peripheral and cranial nerve and other nervous system procedures, short therapy","Peripheral and cranial nerve and other nervous system procedures, short therapy",1,fin
009,Selkäytimen sairaus tai vamma,Selkäytimen sairaus tai vamma,009X,Spinal disorders and injuries,Spinal disorders and injuries,1,fin
010,"Keskushermoston kasvain, komplisoitunut","Keskushermoston kasvain,kompl",010X,"Nervous system neoplasm, w CC","Nervous system neoplasm, w CC",1,fin
011A,"Keskushermoston kasvain, ei komplisoitunut, sädehoito","Kesk.herm kasv, ei kompl, sädeh",011FA,"Nervous system neoplasm w/o CC, radiotherapy","Nervous system neoplasm w/o CC, radiotherapy",1,fin
011B,"Keskushermoston kasvain, ei komplisoitunut, stereotaktinen sädehoito tai isotooppihoito","Kesk.herm kasv, ei kompl, stereotakt sädeh tai isot hoito",011FB,"Nervous system neoplasm w/o CC, stereotactic radiotherapy or isotope therapy","Nervous system neoplasm w/o CC, ste radioth or isot ther",1,fin
011C,"Keskushermoston kasvain, ei komplisoitunut, vaativa isotooppihoito","Kesk.herm kasv, ei kompl, vaat isot hoito",011FC,"Nervous system neoplasm w/o CC, demanding isotope therapy","Nervous system neoplasm w/o CC, demanding isotope therapy",1,fin
011D,"Keskushermoston kasvain, ei komplisoitunut, vaativa sytostaattihoito","Kesk.herm kasv, ei kompl, vaat sytost hoito",011FD,"Nervous system neoplasm w/o CC, cytostatic therapy","Nervous system neoplasm w/o CC, cytostatic therapy",1,fin
011F,"Keskushermoston kasvain, ei komplisoitunut","Keskushermoston kasvain, ei komplisoitunut",011FF,"Nervous system neoplasm, w/o CC","Nervous system neoplasm, w/o CC",1,fin
012,Etenevä keskushermoston sairaus,Etenevä keskushermoston sairaus,012X,Degenerative nervous system disorders,Degenerative nervous system disorders,1,fin
013,MS-tauti tai pikkuaivoataksia,MS-tauti tai pikkuaivoataksia,013X,Multiple sclerosis and cerebellar ataxia,Multiple sclerosis and cerebellar ataxia,1,fin
014A,"Aivoinfarkti tai muu pitkäkestoinen aivoverenkierron häiriö, ei trombolyysihoitoa, komplisoitunut","Aivoinf/muu pitkäkest aivoverkier häiriö,ei trombol.hoitoa,K",014A,"Specific cerebrovascular disorders except TIA, without thrombolysis, w CC","Specific cerebrovascular disorders except TIA, w/o thrombolysis, w cc",1,fin
014B,"Aivoinfarkti tai muu pitkäkestoinen aivoverenkierron häiriö, ei trombolyysihoitoa, ei komplisoitunut","Aivoinf/muu pitkäkest aivoverkier häir,ei trombol.hoitoa,ei",014B,"Specific cerebrovascular disorders except TIA, without thrombolysis, w/o CC","Specific cerebrovascular disorders except TIA, w/o thrombolysis, w/o CC",1,fin
014C,"Aivoinfarkti tai muu pitkäkestoinen aivoverenkierron häiriö, trombolyysihoito, ei komplisoitunut","Aivoinf/muu pitkäkest aivoverenkier häiriö,trombol.hoito,ei",014C,"Specific cerebrovascular disorders except TIA, with thrombolysis, w/o CC","Specific cerebrovascular disorders except TIA, with thrombolysis, w/o CC",1,fin
014D,"Aivoinfarkti tai muu pitkäkestoinen aivoverenkierron häiriö, trombolyysihoito, komplisoitunut","Aivoinf/muu pitkäkest aivoverenkier häiriö,trombol.hoito,kom",014D,"Specific cerebrovascular disorders except TIA, with thrombolysis, w CC","Specific cerebrovascular disorders except TIA, w thrombolysis, w cc",1,fin
015,Ohimenevä iskemia (TIA) tai muu aivoverenkierron häiriö ilman infarktia,Ohim iskem TIA/muu aivover häiriö ilm infarktia,015X,Transient ischemic attac and precerebral occlusions,Transient ischemic attac and precerebral occlusions,1,fin
016,"Aivoverenkierron häiriö, diffuusi, komplisoitunut","Aivoverenkierron häiriö, diffuusi, kompl",016X,"Nonspecific cerebrovascular disorders, w CC","Nonspecific cerebrovascular disorders, w CC",1,fin
017,"Aivoverenkierron häiriö, diffuusi, ei komplisoitunut","Aivoverenkierron häiiör, diffuusi, ei kompl",017X,"Nonspecific cerebrovascular disorders, w/o CC","Nonspecific cerebrovascular disorders, w/o CC",1,fin
018,"Ääreis- tai aivohermon sairaus, komplisoitunut","Ääreis- tai aivohermon sairaus,kompl",018X,"Cranial and peripheral nerve disorders, w CC","Cranial and peripheral nerve disorders, w CC",1,fin
019,"Ääreis- tai aivohermon sairaus, ei komplisoitunut","Ääreis- tai aivohermon sairaus,ei kompl",019X,"Cranial and peripheral nerve disorders, w/o CC","Cranial and peripheral nerve disorders, w/o CC",1,fin
020A,"Hermoston infektiosairaus, ei virusaivokalvontulehdus, komplisoitunut","Hermoston infektiosairaus, ei virusaivokalvontulehdus, komplisoitunut",020C,"Nervous system infection except viral meningitis, w CC","Nervoussystem infection except viral meningitis, w CC",1,fin
020B,"Hermoston infektiosairaus, ei virusaivokalvontulehdus, ei komplisoitunut","Hermoston infektiosairaus, ei virusaivokalvontulehdus, ei komplisoitunut",020N,"Nervous system infections except viral meningitis, w/o CC","Nervous system infections except viral meningitis, w/o CC",1,fin
021,Virusaivokalvontulehdus,Virusaivokalvontulehdus,021X,Viral meningitis,Viral meningitis,1,fin
023,Tajuttomuus muun kuin vamman takia,Tajuttomuus muun kuin vamman takia,023X,Nontraumatic stupor and coma,Nontraumatic stupor and coma,1,fin
024,"Kohtausoire tai päänsärky, aikuinen, komplisoitunut","Kohtausoire tai päänsärky,aik,kompl",024X,"Seizure and headache, age >17, w CC","Seizure and headache,age >17, w CC",1,fin
025,"Kohtausoire tai päänsärky, aikuinen, ei komplisoitunut","Kohtausoire tai päänsärky,aik,ei kompl",025X,"Seizure and headache age >17, w/o CC","Seizure and headache age >17, w/o CC",1,fin
026,"Kohtausoire tai päänsärky, lapsi","Kohtausoire tai päänsärky,lapsi",026X,Seizure and headache age 0-17,Seizure and headache age 0-17,1,fin
027M,"Vakava aivovamma, erittäin komplisoitunut","Vakava aivovamma, erittäin kompl",027M,"Severe traumatic brain injury, w MCC","Severe traumatic brain injury, w MCC",1,fin
027N,"Vakava aivovamma, ei komplisoitunut","Vakava aivovamma, ei kompl",027N,"Severe traumatic brain injury, w/o CC","Severe traumatic brain injury, w/o CC",1,fin
028,"Aivovamma, aikuinen, komplisoitunut","Aivovamma, aikuinen, komplisoitunut",028X,"Traumatic brain injury, age >17, w CC","Traumatic brain injury, age >17, w CC",1,fin
029,"Aivovamma, aikuinen, ei komplisoitunut","Aivovamma, aikuinen, ei komplisoitunut",029X,"Traumatic brain injury, age >17, w/o CC","Traumatic brain injury, age >17, w/o CC",1,fin
030,"Aivovamma, lapsi","Aivovamma, lapsi",030X,"Traumatic brain injury, age 0-17","Traumatic brain injury, age 0-17",1,fin
031,"Aivotärähdys, aikuinen, komplisoitunut","Aivotärähdys,aikuinen,komplisoitunut",031X,"Concussion, age >17 w CC","Concussion, age >17 w CC",1,fin
032,"Aivotärähdys, aikuinen, ei komplisoitunut","Aivotärähdys,aik,ei kompl",032X,"Concussion, age >17 w/o CC","Concussion, age >17 w/o CC",1,fin
033,"Aivotärähdys, lapsi","Aivotärähdys,lapsi",033X,"Concussion, age 0-17","Concussion, age 0-17",1,fin
034C,"Muu keskushermoston häiriö, komplisoitunut","Muu keskushermoston häiriö, komplisoitunut",034C,"Other disorders of the nervous system, w CC","Other disorders of the nervous system, w CC",1,fin
034M,"Muu keskushermoston häiriö, erittäin komplisoitunut","Muu keskushermoston häiriö, erittäin komplisoitunut",034M,"Other disorders of the nervous system, w MCC","Other disorders of the nervous system, w MCC",1,fin
035,"Muu keskushermoston häiriö, ei komplisoitunut","Muu keskushermoston häiriö, ei komplisoitunut",035X,"Other disorders of the nervous system, w/o CC","Other disorders of the nervous system, w/o CC",1,fin
036C,Silmän paikallinen sädehoito,Silmän paikallinen sädehoito,036C,Brachytherapy to eye,Brachytherapy to eye,2,fin
036D,Silmän laaja toimenpide,Silmän laaja toimenpide,036D,Major eye procedures,Major eye procedures,2,fin
036E,Verkkokalvon toimenpiteet,Verkkokalvon toimenpiteet,036E,Retinal procedures,Retinal procedures,2,fin
036O,"Verkkokalvon toimenpiteet, lyhyt hoito","Verkkokalvon toimenpiteet, lyhyt hoito",036O,"Retinal procedures, short therapy","Retinal procedures, short therapy",2,fin
036P,"Sarveiskalvon siirto, lyhyt hoito","Sarveiskalvon siirto, lyhyt hoito",036P,"Transplantation of cornea, short therapy","Transplantation of cornea, short therapy",2,fin
036R,"Värikalvon ja kammiokulmalasertoimenpiteet, lyhyt hoito","Värikalvon ja kammiokulmalasertoim, lyh hoi",036R,"Laser procedures on iris and chamber angle, short therapy","Laser procedures on iris and chamber angle, short therapy",2,fin
036S,"Silmänpaineleikkaukset, lyhyt hoito","Silmänpaineleikkaukset, lyhyt hoito",036S,"Major procedure on intraocular pressure, short therapy","Major procedure on intraocular pressure, short therapy",2,fin
037,Silmämunan ja silmäkuopan leikkaukset,Silmämunan ja silmäkuopan leikkaukset,037X,Orbital procedures,Orbital procedures,2,fin
037O,"Silmämunan ja silmäkuopan leikkaukset, lyhyt hoito","Silmämunan ja silmäkuopan leikkaukset, lyh hoito",037O,"Orbital OR procedures, short therapy","Orbital OR procedures, short therapy",2,fin
039,Kaihileikkaukset ja muut mykiön leikkaukset,Kaihileikkaukset ja muut mykiön leikkaukset,039X,Lens procedures with or without vitrectomy,Lens procedures with or without vitrectomy,2,fin
039O,"Mykiön leikkaus, toispuolinen, lyhyt hoito","Mykiön leikkaus, toispuol., lyh hoi",039FO,"Unilateral lens procedures with or without vitrectomy, short therapy","Unilateral lens procedures with or without vitrectomy, sh th",2,fin
039P,"Mykiön leikkaus, molemminpuolinen, lyhyt hoito","Mykiön leikkaus, mol. puol., lyhyt hoi",039FP,"Bilateral lens procedures, short therapy","Bilateral lens procedures, short therapy",2,fin
040,"Silmän ulkoinen toimenpide, paitsi silmäkuoppa","Silmän ulkoinen toimenpide, paitsi silmäkuoppa",040X,Extraocular procedures except orbit,Extraocular procedures except orbit,2,fin
041P,"Karsastustoimenpide, lyhyt hoito","Karsastustoimenpide, lyhyt hoito",041P,"Strabismus surgery, short therapy","Strabismus surgery, short therapy",2,fin
041Q,"Muu silmän alueen toimenpide, anestesia, lyhyt hoito","Muu silmän alueen toimenpide, anestesia, lyhyt hoito",041Q,"Other interventions for problems in eye region, with anestesia, short therapy","Other interventions for problems in eye region, with anestes",2,fin
041R,"Muu silmän alueen toimenpide ilman anestesiaa, lyhyt hoito","Muu silmän alueen toimenpide ilman anestesiaa, lyhyt hoito",041R,"Other interventions for problems in eye region, without anestesia, short therapy","Other interventions for problems in eye region, without anes",2,fin
042,Muu silmänsisäinen leikkaus,Muu silmänsisäinen leikkaus,042X,Intraocular procedures except retina and lens,Intraocular procedures except retina and lens,2,fin
042P,"Muu silmänsisäinen toimenpide, lyhyt hoito","Muu silmänsisäinen toimenpide, lyhyt hoito",042P,"Other intraocular procedures except on retina and lens, short therapy","Other intraocular procedures except on retina and lens, short therapy",2,fin
043,Silmän turpoaminen,Silmän turpoaminen,043X,Injury in the eye region,Injury in the eye region,2,fin
044,Äkilliset vakavat silmän infektiosairaudet,Äkilliset vakavat silmän inf.sairaudet,044X,Acute major eye infections,Acute major eye infections,2,fin
045,Silmän hermostolliset sairaudet,Silmän hermostolliset sairaudet,045X,Neurological eye diseases,Neurological eye diseases,2,fin
046,"Muu silmäsairaus aikuisella, komplisoitunut","Muu silmäsairaus aikuisella,kompl",046X,"Other disorders of the eye, age >17 w CC","Other disorders of the eye, age >17 w CC",2,fin
047,"Muu silmäsairaus aikuisella, ei komplisoitunut","Muu silmäsairaus aikuisella,ei kompl",047X,"Other disorders of the eye, age >17 w/o CC","Other disorders of the eye, age >17 w/o CC",2,fin
048,Muu silmäsairaus lapsella,Muu silmäsairaus lapsella,048X,"Other disorders of the eye, age 0-17","Other disorders of the eye, age 0-17",2,fin
049A,Muu pään ja kaulan alueen suuri leikkaus,Muu pään ja kaulan alueen suuri leikkaus,049A,Other major operations on head and neck,Other major operations on head and neck,3,fin
049B,Sisäkorvaistutteen asentaminen,Sisäkorvaistutteen asentaminen,049B,Insertion of cochlear implant,Insertion of cochlear implant,3,fin
050N,Korvasylkirauhasen poisto,Korvasylkirauhasen poisto,050N,Parotidectomy,Parotidectomy,3,fin
051N,Muu sylkirauhastoimenpide,Muu sylkirauhastoimenpide,051N,Salivary gland procedures except parotidectomy,Salivary gland procedures except parotidectomy,3,fin
051O,"Sylkirauhastoimenpide, lyhyt hoito","Sylkirauhastoimenpide, lyhyt hoito",051O,"Salivary gland procedures except parotidectomy, short therapy","Salivary gland procedures except parotidectomy, short therap",3,fin
052,Huuli-suulakihalkion korjaus,Huuli-suulakihalkion korjaus,052X,Cleft lip and palate repair,Cleft lip and palate repair,3,fin
053A,Nenänsivuontelon leikkaus,Nenänsivuontelon leikkaus,053A,Sinus procedures,Sinus procedures,3,fin
053B,Kartiolisäkkeen leikkaus,Kartiolisäkkeen leikkaus,053B,"Mastoid, temporal bone and inner ear procedures","Mastoid, temporal bone and inner ear procedures",3,fin
054O,"Nenänsivuontelon leikkaus, lyhyt hoito","Nenänsivuontelon leikkaus, lyhyt hoito",054O,"Sinus procedure, short therapy","Sinus procedure, short therapy",3,fin
054P,"Kartiolisäkkeen leikkaus, lyhyt hoito","Kartiolisäkkeen leikkaus, lyhyt hoito",054P,"Mastoid, temporal bone and inner ear procedures, short therapy","Mastoid, temporal bone and inner ear procedures, short thera",3,fin
055,"Muu korvan, nenän tai kurkun leikkaus","Muu korvan, nenän tai kurkun leikkaus",055X,"Miscellaneous ear, nose , mouth and throat procedures","Miscellaneous ear, nose , mouth and throat procedures",3,fin
055O,"Muu vaikea korvan nenän tai kurkun leikkaus, lyhyt hoito","Muu vaikea korvan nenän tai kurkun leikkaus, lyhyt hoito",055O,"Miscellaneous major ear, nose , mouth and throat procedures, short therapy","Miscellaneous major ear, nose , mouth and throat procedures, s",3,fin
055P,"Muu korvan, nenän tai kurkun leikkaus, llyhyt hoito","Muu korvan, nenän tai kurkun leikkaus, llyhyt hoito",055P,"Other minor ear, nose , mouth and throat procedures, short therapy","Other minor ear, nose , mouth and throat procedures, short the",3,fin
056,Nenän muovausleikkaus,Nenän muovausleikkaus,056X,Rhinoplasty,Rhinoplasty,3,fin
056O,"Nenän muovausleikkaus, lyhyt hoito","Nenän muovausleikkaus, lyhyt hoito",056O,"Rhinoplasty, short therapy","Rhinoplasty, short therapy",3,fin
060N,Risaleikkaus,Risaleikkaus,060N,Tonsilectomy and/or adenoidectomy,Tonsilectomy and/or adenoidectomy,3,fin
060O,"Risaleikkaus, ei muita toimenpiteitä, lyhyt hoito","Risaleikkaus, ei muita toimenpiteitä, lyhyt h",060O,"Operations on tonsils or adenoids, short therapy","Operations on tonsils or adenoids, short therapy",3,fin
063,"Muu kovan, nenän tai kurkun alueen laaja toimenpide","Muu kovan, nenän tai kurkun alueen laaja toimenpide",063X,"Other major ear, nose, mouth and throat OR procedures","Other major ear, nose, mouth and throat OR procedures",3,fin
063O,"Muu korvan, nenän tai kurkun alueen toimenpide, lyhyt hoito","Muu korvan, nenän tai kurkun alueen toimenpide, lyhyt hoito",063O,"Other major ear, nose, mouth and throat OR procedures, short therapy","Other major ear, nose, mouth and throat OR procedures, short therapy",3,fin
064A,"Korvan, nenän tai kurkun pahanlaatuisen kasvaimen sädehoito","Korvan,nenän tai kurkun pahanl kasv sädehoito",064FA,"Ear, nose, mouth and throat malignancy, radiotherapy","Ear, nose, mouth and throat malignancy, radiotherapy",3,fin
064B,"Korvan, nenän tai kurkun pahanlaatuinen kasvain, ei leikkausta","Korvan,nenän tai kurkun pahanl kasv, ei leikk",064FB,"Ear, nose, mouth and throat malignancy, cytostatic therapy","Ear, nose, mouth and throat malignancy, cytostatic therapy",3,fin
064E,"Korvan, nenän tai kurkun pahanlaatuinen kasvain","Korvan, nenän tai kurkun pahanlaatuinen kasvain",064FE,"Ear, nose, mouth and throat malignancy","Ear, nose, mouth and throat malignancy",3,fin
065C,"Tasapainohäiriö, komplisoitunut","Tasapainohäiriö, kompl",065C,"Dysequilibrium, w CC","Dysequilibrium, w CC",3,fin
065N,"Tasapainohäiriö, ei komplisoitunut","Tasapainohäiriö, ei kompl",065N,"Dysequilibrium, w/o CC","Dysequilibrium, w/o CC",3,fin
066,Nenäverenvuoto,Nenäverenvuoto,066X,Epistaxis,Epistaxis,3,fin
067,Kurkunkannentulehdus,Kurkunkannentulehdus,067X,Epiglottitis,Epiglottitis,3,fin
068,"Korvatulehdus tai ylähengitystieinfektio, komplisoitunut, aikuinen","Korvatul/ylähengitystieinf,kompl,aik",068X,"Otitis media and upper respiratory infection, age >17, w CC","Otitis media and upper respiratory infection, age >17, w CC",3,fin
069,"Korvatulehdus tai ylähengitystieinfektio, ei komplisoitunut, aikuinen","Korvatul/ylähengitystieinf,ei kompl,aik",069X,"Otitis media and upper respiratory infection, age >17, w/o CC","Otitis media and upper respiratory infection, age >17, w/o CC",3,fin
070A,"Korvatulehdus tai ylähengitystieinfektio, lapsi, komplisoitunut","Korvatul / yläheng.inf, lapsi, kompl",070A,"Otitis media and upper respiratory infection, age 0-17, w CC","Otitis media and upper respiratory infection, age 0-17, w CC",3,fin
070B,"Korvatulehdus tai ylähengitystieinfektio, lapsi, ei komplisoitunut","Korvatul / yläheng.inf, lapsi, ei kompl",070B,"Otitis media and upper respiratory infection, age 0-17, w/o CC","Otitis media and upper respiratory infection, age 0-17, w/o CC",3,fin
071,Kurkunpään ja henkitorven tulehdus,Kurkunpään ja henkitorven tulehdus,071X,Viral croup and laryngotracheitis,Viral croup and laryngotracheitis,3,fin
072,Nenän vamma tai epämuodostuma,Nenän vamma tai epämuodostuma,072X,Nasal trauma and deformity,Nasal trauma and deformity,3,fin
073,"Muu korvan nenän tai kurkun sairaus, aikuinen","Muu korvan nenän tai kurkun sairaus, aikuinen",073X,"Other ear, nose, mouth and throat diagnoses age >17","Other ear, nose, mouth and throat diagnoses age >17",3,fin
074,"Muu korvan nenän tai kurkun sairaus, lapsi","Muu korvan nenän tai kurkun sairaus, lapsi",074X,"Other ear, nose, mouth and throat diagnoses, age 0-17","Other ear, nose, mouth and throat diagnoses, age 0-17",3,fin
075,Laaja rintaontelon muu kuin sydänleikkaus,Laaja rintaontelon muu kuin sydänleikkaus,075X,Major chest procedures,Major chest procedures,4,fin
075O,"Laaja rintaontelon muu kuin sydänleikkaus, lyhyt hoito","Laaja rintaont muu leikkaus, lyh hoito",075O,"Major thorax procedures, short therapy","Major thorax procedures, short therapy",4,fin
076,"Suppea hengityselinten toimenpide, komplisoitunut","Suppea hengityselinten tp,kompl",076X,"Other resp system OR procedures, w CC","Other resp system OR procedures, w CC",4,fin
077,"Suppea hengityselinten toimenpide, ei komplisoitunut","Suppea hengityselinten tp,ei kompl",077X,"Other respiratory system OR procedures, w/o CC","Other respiratory system OR procedures, w/o CC",4,fin
077O,"Suppea hengityselinten toimenpide, lyhyt hoito","Suppea hengityselinten tp,lyh hoito",077O,"Other respiratory system OR procedures, short therapy","Other respiratory system OR procedures, short therapy",4,fin
078C,"Keuhkoembolia, komplisoitunut","Keuhkoembolia, kompl",078C,"Pulmonary embolism, w CC","Pulmonary embolism, w CC",4,fin
078N,"Keuhkoembolia, ei komplisoitunut","Keuhkoembolia, ei kompl",078N,"Pulmonary embolism, w/o CC","Pulmonary embolism, w/o CC",4,fin
079,"Alahengitystieinfektio tai inflammaatio, aikuinen, komplisoitunut","Alahengitystieinf/inflam,aik,kompl",079X,"Respiratory infections and inflammations, age >17, w CC","Respiratory infections and inflammations, age >17, w CC",4,fin
080,"Alahengitystieinfektio tai inflammaatio, aikuinen, ei komplisoitunut","Alahengitystieinf/inflam,aik,ei kompl",080X,"Respiratory infections and inflammations, age >17, w/o CC","Respiratory infections and inflammations, age >17, w/o CC",4,fin
081,"Alahengitystieinfektio tai inflammaatio, lapsi","Alahengitystieinf tai inflam,lapsi",081X,"Respiratory infections and inflammations, age 0-17","Respiratory infections and inflammations, age 0-17",4,fin
082A,"Hengityselinten kasvaimet, sädehoito","Hengityselinten kasvaimet, sädeh",082FA,"Respiratory neoplasms, radiotherapy","Respiratory neoplasms, radiotherapy",4,fin
082B,"Hengityselinten kasvaimet, sytostaattihoito","Hengityselinten kasvaimet, sytos hoito",082FB,"Respiratory neoplasms, cytostatic therapy","Respiratory neoplasms, cytostatic therapy",4,fin
082C,"Hengityselinten kasvaimet, komplisoitunut","Hengityselinten kasvaimet, kompl",082C,"Respiratory neoplasms, w CC","Respiratory neoplasms, w CC",4,fin
082N,"Hengityselinten kasvaimet, ei komplisoitunut","Hengityselinten kasvaimet, ei kompl",082N,"Respiratory neoplasms, w/o CC","Respiratory neoplasms, w/o CC",4,fin
083,"Vakava rintakehän vamma, komplisoitunut","Vakava rintakehän vamma,komplisoitunut",083X,"Major chest trauma, w CC","Major chest trauma, w CC",4,fin
084,"Vakava rintakehän vamma, ei komplisoitunut","Vakava rintakehän vamma,ei kompl",084X,"Major thorax trauma, w/o CC","Major thorax trauma, w/o CC",4,fin
085,"Pleuraeffuusio, komplisoitunut","Pleuraeffuusio,komplisoitunut",085X,"Pleural effusion, w CC","Pleural effusion, w CC",4,fin
086,"Pleuraeffuusio, ei komplisoitunut","Pleuraeffuusio,ei komplisoitunut",086X,"Pleural effusion, w/o CC","Pleural effusion, w/o CC",4,fin
087C,"Hengitysvajaus tai keuhkoödeema, komplisoitunut","Hengitysvajaus tai keuhkoödeema, kompl",087C,"Pulmonary edema and respiratory failure, w CC","Pulmonary edema and respiratory failure, w CC",4,fin
087N,"Hengitysvajaus tai keuhkoödeema, ei komplisoitunut","Hengitysvajaus tai keuhkoödeema, ei kompl",087N,"Pulmonary edema and respiratory failure, w/o CC","Pulmonary edema and respiratory failure, w/o CC",4,fin
088C,"Krooninen obstruktiivinen keuhkosairaus, komplisoitunut","Krooninen obstruktiivinen keuhkosairaus, kompl",088C,"Chronic obstructive pulmonary disease, w CC","Chronic obstructive pulmonary disease, w CC",4,fin
088N,"Krooninen obstruktiivinen keuhkosairaus, ei komplisoitunut","Krooninen obstruktiivinen keuhkosairaus, ei kompl",088N,"Chronic obstructive pulmonary disease, w/o CC","Chronic obstructive pulmonary disease, w/o CC",4,fin
089C,"Pneumonia tai pleuriitti, aikuinen, komplisoitunut","Pneumonia tai pleuriitti, aikuinen, erittäin kompl",089C,"Simple pneumonia and pleurisy, age >17, w CC","Simple pneumonia and pleurisy, age >17, w CC",4,fin
089M,"Pneumonia tai pleuriitti, aikuinen, erittäin komplisoitunut","Pneumonia tai pleuriitti, aikuinen, erittäin kompl",089M,"Simple pneumonia and pleurisy, age >17, w MCC","Simple pneumonia and pleurisy, age >17, w MCC",4,fin
090,"Pneumonia tai pleuriitti, aikuinen, ei komplisoitunut","Pneumonia tai pleuriitti,aik,ei kompl",090X,"Simple pneumonia and pleurisy, age >17, w/o CC","Simple pneumonia and pleurisy, age >17, w/o CC",4,fin
091A,"Pneumonia tai pleuriitti, lapsi, komplisoitunut","Pneumonia tai pleuriitti, lapsi, kompl",091A,"Simple pneumonia and pleurisy, age 0-17, w CC","Simple pneumonia and pleurisy, age 0-17, w CC",4,fin
091B,"Pneumonia tai pleuriitti, lapsi, ei komplisoitunut","Pneumonia tai pleuriitti, lapsi, ei kompl",091B,"Simple pneumonia and pleurisy, age 0-17, w/o CC","Simple pneumonia and pleurisy, age 0-17, w/o CC",4,fin
092,"Interstitielli keuhkosairaus, komplisoitunut","Interstitielli keuhkosairaus,kompl",092X,"Interstitial lung disease, w CC","Interstitial lung disease, w CC",4,fin
093,"Interstitielli keuhkosairaus, ei komplisoitunut","Interstitielli keuhkosairaus,ei kompl",093X,"Interstitial lung disease, w/o CC","Interstitial lung disease, w/o CC",4,fin
094,"Pneumothorax, komplisoitunut","Pneumothorax,komplisoitunut",094X,"Pneumothorax, w CC","Pneumothorax, w CC",4,fin
095,"Pneumothorax, ei komplisoitunut","Pneumothorax,ei komplisoitunut",095X,"Pneumothorax, w/o CC","Pneumothorax, w/o CC",4,fin
