ord,id,drg_nat,drg_text_nat,drg_comb,rtc,icd,mdc,dgcat,pdgprop,compl,or_proc,procpro,secpro,dgprop1,dgprop2,dgprop3,dgprop4,agelim,sex,dur,disch,nat_ver
10007001010,000D700101,470C,Potilas liian nuori diagnoosille,470C,4,+,,,,,S,14S01,,,,,,<4018,,,,fin/ice/swe/est
10007001101,000D7001101,470Q,"Potilas liian vanha diagnoosille, lyhyt hoito",470Q,5,+,,,,,S,14S01,,,,,,>21915,,<2,,fin/est
10007001110,000D700111,470B,Potilas liian vanha diagnoosille,470B,5,+,,,,,S,14S01,,,,,,>21915,,,,fin/swe/est
10007002201,000D7002201,470R,"Potilas liian nuori diagnoosille, lyhyt hoito",470R,4,+,13.0,,,,,,,14X01,,,,<4018,,<2,,fin/ice/est
10007002210,000D700221,470C,Potilas liian nuori diagnoosille,470C,4,+,13.0,,,,,,,14X01,,,,<4018,,,,fin/ice/swe/est
10007002301,000D7002301,470Q,"Potilas liian vanha diagnoosille, lyhyt hoito",470Q,5,+,13.0,,,,,,,14X01,,,,>21915,,<2,,fin/est
10007002310,000D700231,470B,Potilas liian vanha diagnoosille,470B,5,+,13.0,,,,,,,14X01,,,,>21915,,,,fin/swe/est
11407030001,014D7030001,470W,"Virheellinen pää- ja sivudiagnoosin yhdistelmä, lyhyt hoito",470W,8,+,14.0,,,,,,,14X04,14X01,,,,,<2,,fin/ice/est
11407030100,014D703010,470I,Virheellinen diagnoosien yhdistelmä,470I,9,+,14.0,,,,,,,14X04,14X01,,,,,,,fin/ice/swe/est
11407031001,014D7031001,470W,"Virheellinen pää- ja sivudiagnoosin yhdistelmä, lyhyt hoito",470W,8,+,14.0,,,,,,,14X05,14X01,,,,,<2,,fin/ice/est
11407031100,014D703110,470I,Virheellinen diagnoosien yhdistelmä,470I,9,+,14.0,,,,,,,14X05,14X01,,,,,,,fin/ice/swe/est
11407032001,014D7032001,470W,"Virheellinen pää- ja sivudiagnoosin yhdistelmä, lyhyt hoito",470W,8,+,13.0,,,,,,,14X04,14X01,,,,,<2,,fin/ice/est
11407032100,014D703210,470I,Virheellinen diagnoosien yhdistelmä,470I,9,+,13.0,,,,,,,14X04,14X01,,,,,,,fin/ice/swe/est
11407033001,014D7033001,470W,"Virheellinen pää- ja sivudiagnoosin yhdistelmä, lyhyt hoito",470W,8,+,13.0,,,,,,,14X05,14X01,,,,,<2,,fin/ice/est
11407033100,014D703310,470I,Virheellinen diagnoosien yhdistelmä,470I,9,+,13.0,,,,,,,14X05,14X01,,,,,,,fin/ice/swe/est
11407090001,014D7090001,470U,"Kelpaamaton päädiagnoosi, lyhyt hoito",470U,8,+,,,23P01,,S,,,,,,,,,<2,,fin/ice/est
11407090100,014D709010,470U,"Kelpaamaton päädiagnoosi, lyhyt hoito",470U,8,+,,,23P01,,,,,00X10,,,,,,<2,,fin/ice/est
11407091001,014D7091001,470E,Kelpaamaton päädiagnoosi,470E,8,+,,,23P01,,S,,,,,,,,,,,fin/ice/est
11407091100,014D709110,470E,Kelpaamaton päädiagnoosi,470E,8,+,,,23P01,,,,,00X10,,,,,,,,fin/ice/est
11508000001,015D8000001,470Q,"Potilas liian vanha diagnoosille, lyhyt hoito",470Q,5,+,15.0,,,,,,,,,,,>365,,<2,,fin/ice/est
11508000010,015D800001,470B,Potilas liian vanha diagnoosille,470B,5,+,15.0,,,,,,,,,,,>365,,,,fin/ice/swe/est
11508000101,015D8000101,470U,"Kelpaamaton päädiagnoosi, lyhyt hoito",470U,8,+,,15M01,,,,,,,,,,,,<2,,fin/ice/est
11508000110,015D800011,470E,Kelpaamaton päädiagnoosi,470E,8,+,15.0,15M01,,,,,,,,,,,,,,fin/swe/est
11508000201,015D8000201,470Y,"Virheellinen diagnoosin ja toimenpiteen yhdistelmä, lyhyt hoito",470Y,9,+,,15M02,,,,15S02,,,,,,,,<2,,fin/ice/est
11508000269,015D800021,470H,Virheellinen diagnoosin ja toimenpiteen yhdistelmä,470H,9,+,15.0,15M02,,,,15S02,,,,,,,,,,fin/ice/swe/est
11508000301,015D8000301,470W,"Virheellinen pää- ja sivudiagnoosin yhdistelmä, lyhyt hoito",470W,9,+,,15M02,,,,,,15X40,,,,,,<2,,fin/ice/est
11508000310,015D800031,470I,Virheellinen diagnoosien yhdistelmä,470I,9,+,15.0,15M02,,,,,,15X40,,,,,,,,fin/ice/swe/est
11508002000,015D800200,901Q,"Vaativa pään, niskan tai keskushermoston diagnostinen toimenpide",901FQ,0,+,15.0,,,,N,01D02,-15S02,,,,,,,<2,N,fin
11508002100,015D800210,901Q,"Vaativa pään, niskan tai keskushermoston diagnostinen toimenpide",901FQ,0,+,,,,,N,01D02,-15S02,,,,,<29,,<2,N,fin
11508002200,015D800220,905Q,"Sydän- ja verisuonisairaus, vaativa diagnostinen toimenpide",905FQ,0,+,15.0,,,,N,05D22,-15S02,,,,,,,<2,N,fin
11508002300,015D800230,905Q,"Sydän- ja verisuonisairaus, vaativa diagnostinen toimenpide",905FQ,0,+,,,,,N,05D22,-15S02,,,,,<29,,<2,N,fin
11508002400,015D800240,906Q,"Ruuansulatuskanavan sairaus, vaativa diagnostinen toimenpide",906FQ,0,+,15.0,,,,N,06D32,-15S02,,,,,,,<2,N,fin
11508002500,015D800250,906Q,"Ruuansulatuskanavan sairaus, vaativa diagnostinen toimenpide",906FQ,0,+,,,,,N,06D32,-15S02,,,,,<29,,<2,N,fin
11508002600,015D800260,908Q,"Tuki- ja liikuntaelinten sairaus, vaativa diagnostinen toimenpide",908FQ,0,+,15.0,,,,N,08D42,-15S02,,,,,,,<2,N,fin
11508002700,015D800270,908Q,"Tuki- ja liikuntaelinten sairaus, vaativa diagnostinen toimenpide",908FQ,0,+,,,,,N,08D42,-15S02,,,,,<29,,<2,N,fin
11508002800,015D800280,905S,Vaativa ääreisverenkierron diagnostinen toimenpide,905FS,0,+,15.0,,,,N,05D62,-15S02,,,,,,,<2,N,fin
11508002900,015D800290,905S,Vaativa ääreisverenkierron diagnostinen toimenpide,905FS,0,+,,,,,N,05D62,-15S02,,,,,<29,,<2,N,fin
11508003000,015D800300,905T,Imusuoniston diagnostinen toimenpide,905FT,0,+,15.0,,,,N,05D64,-15S02,,,,,,,<2,N,fin
11508003100,015D800310,905T,Imusuoniston diagnostinen toimenpide,905FT,0,+,,,,,N,05D64,-15S02,,,,,<29,,<2,N,fin
11508004000,015D800400,901P,"Pään, niskan tai keskushermoston diagnostinen toimenpide",901FP,0,+,15.0,,,,N,01D01,-15S02,,,,,,,<2,N,fin
11508004100,015D800410,901P,"Pään, niskan tai keskushermoston diagnostinen toimenpide",901FP,0,+,,,,,N,01D01,-15S02,,,,,<29,,<2,N,fin
11508004200,015D800420,905P,"Sydän- ja verisuonisairaus, diagnostinen toimenpide",905FP,0,+,15.0,,,,N,05D21,-15S02,,,,,,,<2,N,fin
11508004300,015D800430,905P,"Sydän- ja verisuonisairaus, diagnostinen toimenpide",905FP,0,+,,,,,N,05D21,-15S02,,,,,<29,,<2,N,fin
11508004400,015D800440,906P,"Ruuansulatuskanavan sairaus, diagnostinen toimenpide",906FP,0,+,15.0,,,,N,06D31,-15S02,,,,,,,<2,N,fin
11508004500,015D800450,906P,"Ruuansulatuskanavan sairaus, diagnostinen toimenpide",906FP,0,+,,,,,N,06D31,-15S02,,,,,<29,,<2,N,fin
11508004600,015D800460,908P,"Tuki- ja liikuntaelinten sairaus, diagnostinen toimenpide",908FP,0,+,15.0,,,,N,08D41,-15S02,,,,,,,<2,N,fin
11508004700,015D800470,908P,"Tuki- ja liikuntaelinten sairaus, diagnostinen toimenpide",908FP,0,+,,,,,N,08D41,-15S02,,,,,<29,,<2,N,fin
11508004800,015D800480,910P,Endokriininen diagnostinen toimenpide,910FP,0,+,15.0,,,,N,10D11,-15S02,,,,,,,<2,N,fin
11508004900,015D800490,910P,Endokriininen diagnostinen toimenpide,910FP,0,+,,,,,N,10D11,-15S02,,,,,<29,,<2,N,fin
11508005000,015D800500,905R,Ääreisverenkierron diagnostinen toimenpide,905FR,0,+,15.0,,,,N,05D61,-15S02,,,,,,,<2,N,fin
11508005100,015D800510,905R,Ääreisverenkierron diagnostinen toimenpide,905FR,0,+,,,,,N,05D61,-15S02,,,,,<29,,<2,N,fin
11508009400,015D800940,915O,Vastasyntyneen lyhyt hoito ilman merkittävää toimenpidettä,915O,0,+,15.0,,,,Z,,-15S02,,,,,,,<2,N,den/est/fin/ice/lat
11508009500,015D800950,915O,Vastasyntyneen lyhyt hoito ilman merkittävää toimenpidettä,915O,0,+,,,,,Z,,-15S02,,,,,<29,,<2,N,den/est/fin/ice/lat
11508009800,015D800980,815O,Neonatologinen pientoimenpide,815O,0,+,15.0,,,,N,,-15S02,,,,,,,<2,N,den/est/fin/lat
11508009900,015D800990,815O,Neonatologinen pientoimenpide,815O,0,+,,,,,N,,-15S02,,,,,<29,,<2,N,den/est/fin/lat
11508009934,015D8009750,385C,Alle 1000 g painavan vastasyntyneen jatkohoito,385C,0,+,,,10P05,,N,,,15X23,,,,>28,,>0,,swe/est/fin/ice/lat/nor
11508010000,015D801000,385C,Alle 1000 g painavan vastasyntyneen jatkohoito,385C,0,+,15.0,,,,N,,,15X23,,,,>28,,,,den/est/fin/lat/nor
11508010034,015D8009952,385C,Alle 1000 g painavan vastasyntyneen jatkohoito,385C,0,+,,,10P05,,N,,-15S02,15X23,,,,>7,,>0,,swe/est/fin/ice/lat/nor
11508010100,015D801010,385C,Alle 1000 g painavan vastasyntyneen jatkohoito,385C,0,+,15.0,,,,N,,-15S02,15X23,,,,>7,,,,den/est/fin/lat/nor
11508031000,015D803100,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,,,,,,,,<8,,<3,E,den/est/fin/ice/lat/swe
11508032000,015D803200,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,,15S02,,,,,,<29,,<3,E,den/est/fin/lat/swe
11508067000,015D8034003,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,,15S03,,,,,,<8,,<6,,fin
11508072500,015D8034004,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,,15S03,15S02,,,,,<29,,<6,,fin
11508075250,015D8034005,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,,,15X31,,,,<8,,<6,,fin
11508076625,015D8034006,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,,,15X32,,,,<8,,<6,,fin
11508077312,015D8034007,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,,,15X33,,,,<8,,<6,,fin
11508077656,015D8034008,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,,,15X34,,,,<8,,<6,,fin
11508077828,015D8034009,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,,,15X35,,,,<8,,<6,,fin
11508077914,015D8034010,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,,,15X36,,,,<8,,<6,,fin
11508077957,015D8034011,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,,,15X37,,,,<8,,<6,,fin
11508077978,015D8034012,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,,,03X04,,,,<8,,<6,,fin
11508077989,015D8034013,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,,,15X98,,,,<8,,<6,,fin
11508077994,015D8034014,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,15S02,,15X31,,,,<29,,<6,,fin
11508077997,015D8034015,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,15S02,,15X32,,,,<29,,<6,,fin
11508077998,015D8034016,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,15S02,,15X33,,,,<29,,<6,,fin
11508077999,015D8034017,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,15S02,,15X34,,,,<29,,<6,,fin
11508085332,015D8034018,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,15S02,,15X35,,,,<29,,<6,,fin
11508088999,015D8034019,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,15S02,,15X36,,,,<29,,<6,,fin
11508090832,015D8034020,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,15S02,,15X37,,,,<29,,<6,,fin
11508091749,015D8034021,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,15S02,,03X04,,,,<29,,<6,,fin
11508092207,015D8034022,385A,Vastasyntyneen lyhyt sairaalahoito,385A,0,+,,,,,N,15S02,,15X98,,,,<29,,<6,,fin
11508100000,015D810000,386N,"Vastasyntynyt, syntymäpaino alle 1000 g",386N,0,+,,,,,,,,15X23,,,,<8,,,,den/est/fin/ice/lat/nor
11508101000,015D810100,386N,"Vastasyntynyt, syntymäpaino alle 1000 g",386N,0,+,,,,,,15S02,,15X23,,,,<29,,,,den/est/fin/ice/lat/nor
11508110001,015D8110001,387N,"Vastasyntynyt, syntymäpaino 1000-1499 g",387N,0,+,,,,,,,,15X24,,,,<8,,,,fin
11508111001,015D8111001,387N,"Vastasyntynyt, syntymäpaino 1000-1499 g",387N,0,+,,,,,,15S02,,15X24,,,,<29,,,,fin
11508121000,015D812100,388C,Keskosen vakava hengitysongelma,388C,0,+,,,,,,,-15S01,15X25,15X40,,,<8,,,,den/est/fin/ice/lat/nor
11508123000,015D812300,388C,Keskosen vakava hengitysongelma,388C,0,+,,,,,,15S02,-15S01,15X25,15X40,,,<29,,,,den/est/fin/ice/lat/nor
11508160000,015D816000,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X31,15X32,,<8,,,,den/est/fin/ice/lat/nor
11508160100,015D816010,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X31,15X32,,<29,,,,den/est/fin/ice/lat/nor
11508160200,015D816020,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X31,15X33,,<8,,,,den/est/fin/ice/lat/nor
11508160300,015D816030,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X31,15X33,,<29,,,,den/est/fin/ice/lat/nor
11508160400,015D816040,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X31,15X34,,<8,,,,den/est/fin/ice/lat/nor
11508160500,015D816050,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X31,15X34,,<29,,,,den/est/fin/ice/lat/nor
11508160600,015D816060,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X31,15X35,,<8,,,,den/est/fin/ice/lat/nor
11508160700,015D816070,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X31,15X35,,<29,,,,den/est/fin/ice/lat/nor
11508160800,015D816080,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X31,15X36,,<8,,,,den/est/fin/ice/lat/nor
11508160900,015D816090,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X31,15X36,,<29,,,,den/est/fin/ice/lat/nor
11508161000,015D816100,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X31,15X37,,<8,,,,den/est/fin/ice/lat/nor
11508161100,015D816110,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X31,15X37,,<29,,,,den/est/fin/ice/lat/nor
11508161200,015D816120,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X31,03X04,,<8,,,,den/est/fin/ice/lat/nor
11508161300,015D816130,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X31,03X04,,<29,,,,den/est/fin/ice/lat/nor
11508161400,015D816140,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X32,15X33,,<8,,,,den/est/fin/ice/lat/nor
11508161500,015D816150,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X32,15X33,,<29,,,,den/est/fin/ice/lat/nor
11508161600,015D816160,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X32,15X34,,<8,,,,den/est/fin/ice/lat/nor
11508161700,015D816170,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X32,15X34,,<29,,,,den/est/fin/ice/lat/nor
11508161800,015D816180,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X32,15X35,,<8,,,,den/est/fin/ice/lat/nor
11508161900,015D816190,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X32,15X35,,<29,,,,den/est/fin/ice/lat/nor
11508162000,015D816200,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X32,15X36,,<8,,,,den/est/fin/ice/lat/nor
11508162100,015D816210,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X32,15X36,,<29,,,,den/est/fin/ice/lat/nor
11508162200,015D816220,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X32,15X37,,<8,,,,den/est/fin/ice/lat/nor
11508162300,015D816230,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X32,15X37,,<29,,,,den/est/fin/ice/lat/nor
11508162400,015D816240,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X32,03X04,,<8,,,,den/est/fin/ice/lat/nor
11508162500,015D816250,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X32,03X04,,<29,,,,den/est/fin/ice/lat/nor
11508162600,015D816260,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X33,15X34,,<8,,,,den/est/fin/ice/lat/nor
11508162700,015D816270,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X33,15X34,,<29,,,,den/est/fin/ice/lat/nor
11508162800,015D816280,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X33,15X35,,<8,,,,den/est/fin/ice/lat/nor
11508162900,015D816290,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X33,15X35,,<29,,,,den/est/fin/ice/lat/nor
11508163000,015D816300,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X33,15X36,,<8,,,,den/est/fin/ice/lat/nor
11508163100,015D816310,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X33,15X36,,<29,,,,den/est/fin/ice/lat/nor
11508163200,015D816320,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X33,15X37,,<8,,,,den/est/fin/ice/lat/nor
11508163300,015D816330,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X33,15X37,,<29,,,,den/est/fin/ice/lat/nor
11508163400,015D816340,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X33,03X04,,<8,,,,den/est/fin/ice/lat/nor
11508163500,015D816350,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X33,03X04,,<29,,,,den/est/fin/ice/lat/nor
11508163600,015D816360,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X34,15X35,,<8,,,,den/est/fin/ice/lat/nor
11508163700,015D816370,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X34,15X35,,<29,,,,den/est/fin/ice/lat/nor
11508163800,015D816380,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X34,15X36,,<8,,,,den/est/fin/ice/lat/nor
11508163900,015D816390,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X34,15X36,,<29,,,,den/est/fin/ice/lat/nor
11508164000,015D816400,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X34,15X37,,<8,,,,den/est/fin/ice/lat/nor
11508164100,015D816410,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X34,15X37,,<29,,,,den/est/fin/ice/lat/nor
11508164200,015D816420,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X34,03X04,,<8,,,,den/est/fin/ice/lat/nor
11508164300,015D816430,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X34,03X04,,<29,,,,den/est/fin/ice/lat/nor
11508164400,015D816440,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X35,15X36,,<8,,,,den/est/fin/ice/lat/nor
11508164500,015D816450,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X35,15X36,,<29,,,,den/est/fin/ice/lat/nor
11508164600,015D816460,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,,,15X25,15X35,15X37,,<8,,,,den/est/fin/ice/lat/nor
11508164700,015D816470,388A,"Vastasyntynyt, syntymäpaino 1500 - 2499 g, useiden elinjärjestelmien ongelmia",388A,0,+,,,,,,15S02,,15X25,15X35,15X37,,<29,,,,den/est/fin/ice/lat/nor
